subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
113-3-4,4,1,PRACTICE,-25,1,2,0,1,6830,2,506,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-24,1,1,1,1,8660,1,338,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-23,1,3,1,0,10317,1,348,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-22,1,4,0,0,11618,2,392,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-21,1,1,1,1,12944,1,335,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-20,1,2,0,1,14191,2,316,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-19,1,3,1,0,15766,1,400,1,NA,0,0,0
113-3-4,4,1,PRACTICE,-18,1,4,0,0,17079,2,304,1,NA,0,0,0
113-3-4,4,1,TEST,1,1,4,0,0,18409,2,418,1,NA,0,0,0
113-3-4,4,1,TEST,2,1,2,0,1,20092,2,412,1,NA,0,0,0
113-3-4,4,1,TEST,3,1,1,1,1,21684,1,417,1,NA,0,0,0
113-3-4,4,1,TEST,4,1,3,1,0,23407,1,429,1,NA,0,0,0
113-3-4,4,1,TEST,5,1,4,0,0,24675,2,375,1,NA,0,0,0
113-3-4,4,1,TEST,6,1,3,1,0,26270,1,360,1,NA,0,0,0
113-3-4,4,1,TEST,7,1,2,0,1,27790,2,378,1,NA,0,0,0
113-3-4,4,1,TEST,8,1,1,1,1,29393,1,380,1,NA,0,0,0
113-3-4,4,1,TEST,9,1,4,0,0,30939,2,357,1,NA,0,0,0
113-3-4,4,1,TEST,10,1,3,1,0,32587,1,349,1,NA,0,0,0
113-3-4,4,1,TEST,11,1,2,0,1,34186,2,332,1,NA,0,0,0
113-3-4,4,1,TEST,12,1,1,1,1,35635,1,271,1,NA,0,0,0
113-3-4,4,1,TEST,13,1,4,0,0,37200,2,417,1,NA,0,0,0
113-3-4,4,1,TEST,14,1,3,1,0,38727,1,334,1,NA,0,0,0
113-3-4,4,1,TEST,15,1,2,0,1,39921,2,450,1,NA,0,0,0
113-3-4,4,1,TEST,16,1,1,1,1,41406,1,322,1,NA,0,0,0
113-3-4,4,1,TEST,17,1,4,0,0,42647,2,367,1,NA,0,0,0
113-3-4,4,1,TEST,18,1,1,1,1,44228,1,356,1,NA,0,0,0
113-3-4,4,1,TEST,19,1,3,1,0,45857,1,382,1,NA,0,0,0
113-3-4,4,1,TEST,20,1,2,0,1,47455,2,342,1,NA,0,0,0
113-3-4,4,1,TEST,21,1,3,1,0,49119,1,322,1,NA,0,0,0
113-3-4,4,1,TEST,22,1,2,0,1,50499,2,330,1,NA,0,0,0
113-3-4,4,1,TEST,23,1,1,1,1,51715,1,301,1,NA,0,0,0
113-3-4,4,1,TEST,24,1,4,0,0,52940,2,310,1,NA,0,0,0
