subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
201-3-1,P,0,1,D,2,9452,3250,12709,13215,13216,576,<down>,<down>,1,1
201-3-1,P,0,1,R,1,13813,3000,16817,17322,17322,363,<right>,<right>,1,1
201-3-1,P,0,1,U,2,17711,2500,20219,20724,20725,592,<up>,<up>,1,1
201-3-1,P,0,-1,D,2,21335,2750,24090,24595,24596,625,<down>,<down>,1,1
201-3-1,P,0,-1,D,1,25248,1750,27002,27508,27508,500,<down>,<down>,1,1
201-3-1,P,0,1,R,1,28032,2250,30287,30792,30793,380,<right>,<right>,1,1
201-3-1,P,0,1,D,2,31196,1750,32950,33455,33456,571,<down>,<down>,1,1
201-3-1,P,0,-1,L,1,34077,2000,36082,36587,36587,432,<left>,<left>,1,1
201-3-1,P,0,1,U,2,39863,2500,42368,42573,42573,381,<up>,<right>,0,0
201-3-1,P,0,1,L,1,42979,2500,45484,45691,45692,554,<left>,<left>,1,1
201-3-1,P,0,1,R,2,46264,2000,48270,48475,48476,625,<right>,<right>,1,1
201-3-1,P,0,1,L,2,49115,2750,51869,52076,52076,521,<left>,<left>,1,1
201-3-1,P,0,-1,L,1,52615,2250,54871,55078,55079,411,<left>,<left>,1,1
201-3-1,P,0,1,L,2,55504,2000,57509,57716,57717,463,<left>,<left>,1,1
201-3-1,P,0,1,D,2,58203,2750,60957,61162,61163,569,<down>,<down>,1,1
201-3-1,P,0,-1,D,2,61752,2000,63757,63963,63964,643,<down>,<down>,1,1
201-3-1,T,1,1,R,1,67475,3500,70980,71187,71187,488,<right>,<right>,1,1
201-3-1,T,2,-1,U,1,71689,3250,74944,75151,75151,514,<up>,<up>,1,1
201-3-1,T,3,1,D,2,75681,3000,78686,78891,78892,517,<down>,<up>,0,1
201-3-1,T,4,-1,R,2,79427,2500,81932,82139,82139,597,<right>,<right>,1,1
201-3-1,T,5,1,D,2,82748,1750,84502,84707,84708,553,<down>,<down>,1,1
201-3-1,T,6,1,D,1,85285,2250,87540,87746,87746,467,<down>,<down>,1,1
201-3-1,T,7,-1,R,2,88232,2000,90237,90444,90444,465,<right>,<right>,1,1
201-3-1,T,8,1,R,1,90928,2750,93682,93888,93888,534,<right>,<right>,1,1
