subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
100-2-2,P,0,-1,L,1,6753,2500,9260,9768,9769,559,<left>,<left>,1,1
100-2-2,P,0,1,L,1,10351,2500,12859,13366,13367,614,<left>,<left>,1,1
100-2-2,P,0,1,D,2,14007,2750,16764,17270,17271,631,<down>,<down>,1,1
100-2-2,P,0,-1,L,2,17924,2500,20431,20939,20939,610,<left>,<left>,1,1
100-2-2,P,0,1,D,2,21572,1500,23078,23586,23587,664,<down>,<down>,1,1
100-2-2,P,0,-1,D,2,24278,1500,25784,26292,26293,522,<down>,<down>,1,1
100-2-2,P,0,1,D,1,26851,3000,29859,30367,30368,592,<down>,<down>,1,1
100-2-2,P,0,1,R,1,30988,3500,34495,35002,35003,522,<right>,<right>,1,1
100-2-2,P,0,1,L,2,38608,1750,40364,40573,40573,609,<left>,<left>,1,1
100-2-2,P,0,1,U,1,41199,2750,43955,44159,44159,619,<up>,<up>,1,1
100-2-2,P,0,1,U,2,44800,3000,47807,48015,48015,564,<up>,<up>,1,1
100-2-2,P,0,1,L,1,48599,3250,51856,52063,52064,548,<left>,<left>,1,1
100-2-2,P,0,1,U,1,52634,2750,55390,55598,55599,524,<up>,<up>,1,1
100-2-2,P,0,1,R,2,56143,2250,58399,58608,58608,564,<right>,<right>,1,1
100-2-2,P,0,1,L,1,59188,1500,60694,60902,60903,480,<left>,<left>,1,1
100-2-2,P,0,1,R,2,61404,3000,64410,64618,64619,738,<right>,<right>,1,1
100-2-2,T,1,1,U,1,67790,3500,71297,71505,71506,569,<up>,<up>,1,1
100-2-2,T,2,1,L,2,72089,1750,73846,74053,74053,561,<left>,<left>,1,1
100-2-2,T,3,-1,L,1,74636,2000,76641,76848,76848,559,<left>,<left>,1,1
100-2-2,T,4,1,D,1,77425,2250,79682,79891,79891,601,<down>,<down>,1,1
100-2-2,T,5,1,R,2,80512,3500,84018,84225,84226,602,<right>,<right>,1,1
100-2-2,T,6,1,U,2,84849,3250,88106,88313,88314,797,<up>,<up>,1,1
100-2-2,T,7,-1,L,1,89130,3250,92387,92594,92595,632,<left>,<left>,1,1
100-2-2,T,8,1,R,1,93246,3250,96503,96711,96711,538,<right>,<left>,0,1
100-2-2,T,9,1,U,2,97264,3250,100521,100728,100729,605,<up>,<up>,1,1
100-2-2,T,10,-1,L,2,101351,1750,103108,103317,103318,752,<left>,<left>,1,1
100-2-2,T,11,1,L,2,104087,3500,107593,107801,107802,635,<left>,<left>,1,1
100-2-2,T,12,1,R,2,108462,3000,111470,111678,111678,581,<right>,<right>,1,1
100-2-2,T,13,-1,D,2,112279,1750,114036,114243,114244,743,<down>,<down>,1,1
100-2-2,T,14,-1,R,2,115005,2000,117012,117220,117221,596,<right>,<right>,1,1
100-2-2,T,15,1,U,1,117836,2000,119842,120051,120052,612,<up>,<up>,1,1
100-2-2,T,16,1,U,1,120682,1750,122439,122647,122648,667,<up>,<up>,1,1
100-2-2,T,17,-1,R,2,123331,3250,126587,126796,126796,672,<right>,<right>,1,1
100-2-2,T,18,-1,U,2,127481,1750,129237,129446,129447,623,<up>,<up>,1,1
100-2-2,T,19,-1,D,1,130089,2000,132096,132304,132305,713,<down>,<down>,1,1
100-2-2,T,20,1,U,2,133036,3500,136543,136751,136752,654,<up>,<up>,1,1
100-2-2,T,21,1,R,2,137425,3500,140931,141138,141139,693,<right>,<right>,1,1
100-2-2,T,22,-1,U,1,141854,3500,145361,145568,145569,774,<up>,<up>,1,1
100-2-2,T,23,-1,R,1,146360,2250,148616,148825,148826,632,<right>,<right>,1,1
100-2-2,T,24,-1,D,1,149478,1500,150985,151194,151194,795,<down>,<down>,1,1
100-2-2,T,25,-1,R,2,152005,1500,153511,153720,153721,647,<right>,<right>,1,1
100-2-2,T,26,1,D,1,154392,1750,156147,156354,156355,618,<down>,<down>,1,1
100-2-2,T,27,-1,R,1,156995,3250,160251,160459,160460,556,<right>,<right>,1,1
100-2-2,T,28,-1,D,1,161036,3000,164042,164249,164249,622,<down>,<down>,1,1
100-2-2,T,29,1,D,2,164895,2500,167401,167610,167611,641,<down>,<down>,1,1
100-2-2,T,30,1,L,1,168268,3000,171274,171483,171483,568,<left>,<left>,1,1
100-2-2,T,31,-1,R,1,172077,2250,174334,174543,174544,611,<right>,<right>,1,1
100-2-2,T,32,1,L,2,175171,2000,177178,177387,177387,630,<left>,<left>,1,1
100-2-2,T,33,1,R,2,178034,2250,180290,180498,180499,542,<right>,<right>,1,1
