subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
103-2-2,P,0,-1,R,1,28951,2750,31706,32211,32212,646,<right>,<right>,1,1
103-2-2,P,0,-1,L,1,32882,2750,35636,36141,36142,647,<left>,<left>,1,1
103-2-2,P,0,1,L,1,36810,2000,38814,39320,39320,638,<left>,<left>,1,1
103-2-2,P,0,-1,L,1,39971,2750,42727,43233,43234,619,<left>,<left>,1,1
103-2-2,P,0,-1,D,2,43872,1750,45626,46131,46131,873,<down>,<down>,1,1
103-2-2,P,0,1,D,2,47018,1750,48773,49279,49279,741,<down>,<down>,1,1
103-2-2,P,0,-1,U,2,50035,2250,52289,52795,52795,683,<up>,<up>,1,1
103-2-2,P,0,1,L,2,53501,2250,55755,56262,56262,630,<left>,<left>,1,1
103-2-2,P,0,1,L,1,60099,1750,61854,62060,62060,674,<left>,<left>,1,1
103-2-2,P,0,1,D,2,62749,3000,65755,65962,65962,791,<down>,<down>,1,1
103-2-2,P,0,-1,L,1,66766,2750,69522,69729,69729,598,<left>,<left>,1,1
103-2-2,P,0,1,D,1,70341,3500,73847,74054,74054,590,<down>,<down>,1,1
103-2-2,P,0,1,U,1,74658,3000,77663,77868,77869,679,<up>,<up>,1,1
103-2-2,P,0,1,R,2,78562,2500,81066,81273,81274,677,<right>,<right>,1,1
103-2-2,P,0,1,U,2,81965,2250,84219,84424,84425,752,<up>,<up>,1,1
103-2-2,P,0,-1,L,1,85192,2750,87946,88151,88152,602,<left>,<left>,1,1
103-2-2,T,1,1,R,1,92251,1500,93757,93963,93964,689,<right>,<right>,1,1
103-2-2,T,2,-1,D,2,94667,3250,97922,98129,98129,1581,<down>,<down>,1,1
103-2-2,T,3,1,L,1,99725,2500,102230,102435,102435,581,<left>,<left>,1,1
103-2-2,T,4,1,L,1,103028,1500,104532,104737,104738,562,<left>,<left>,1,1
103-2-2,T,5,-1,D,2,105316,3250,108570,108775,108776,1030,<down>,<down>,1,1
103-2-2,T,6,1,U,2,109818,3250,113073,113280,113281,642,<up>,<up>,1,1
103-2-2,T,7,-1,D,2,113940,2500,116445,116652,116653,823,<down>,<down>,1,1
103-2-2,T,8,-1,R,2,117490,2250,119745,119950,119951,658,<right>,<right>,1,1
103-2-2,T,9,-1,R,2,120622,3000,123626,123831,123832,662,<right>,<right>,1,1
103-2-2,T,10,-1,L,1,124508,2250,126763,126968,126969,663,<left>,<left>,1,1
103-2-2,T,11,1,D,1,127646,3500,131150,131355,131356,852,<down>,<down>,1,1
103-2-2,T,12,-1,D,1,132222,1750,133976,134181,134181,749,<down>,<down>,1,1
103-2-2,T,13,1,L,2,134945,3000,137951,138158,138158,605,<left>,<left>,1,1
103-2-2,T,14,-1,R,1,138777,3500,142281,142488,142489,663,<right>,<right>,1,1
103-2-2,T,15,1,U,2,143169,3500,146675,146882,146882,774,<up>,<up>,1,1
103-2-2,T,16,-1,D,1,147674,3000,150678,150883,150883,999,<down>,<down>,1,1
103-2-2,T,17,1,L,1,151896,2250,154152,154358,154359,593,<left>,<left>,1,1
103-2-2,T,18,1,D,1,154965,3500,158471,158678,158678,895,<down>,<down>,1,1
103-2-2,T,19,1,R,2,159588,2250,161843,162050,162050,692,<right>,<right>,1,1
103-2-2,T,20,1,R,1,162755,3250,166010,166217,166217,581,<right>,<right>,1,1
103-2-2,T,21,-1,L,2,166814,1750,168570,168777,168777,540,<left>,<left>,1,1
103-2-2,T,22,-1,R,1,169331,1500,170835,171040,171041,616,<right>,<right>,1,1
103-2-2,T,23,1,D,2,171673,2500,174177,174382,174383,907,<down>,<down>,1,1
103-2-2,T,24,-1,R,1,175305,3500,178810,179017,179017,576,<right>,<right>,1,1
103-2-2,T,25,1,L,1,179609,2000,181615,181822,181822,594,<left>,<left>,1,1
103-2-2,T,26,-1,L,2,182429,2750,185183,185390,185390,582,<left>,<left>,1,1
103-2-2,T,27,-1,L,2,185987,3500,189493,189700,189700,527,<left>,<left>,1,1
103-2-2,T,28,-1,R,1,190240,3500,193746,193951,193951,635,<right>,<right>,1,1
103-2-2,T,29,-1,L,1,194600,2500,197106,197313,197313,616,<left>,<left>,1,1
103-2-2,T,30,1,L,1,197944,3500,201449,201655,201655,432,<left>,<right>,0,1
103-2-2,T,31,1,U,2,202106,2250,204362,204569,204569,642,<up>,<up>,1,1
103-2-2,T,32,-1,D,2,205224,2000,207229,207434,207434,963,<down>,<down>,1,1
103-2-2,T,33,1,L,2,208413,2500,210919,211125,211126,741,<left>,<left>,1,1
103-2-2,T,34,1,R,2,211881,3500,215387,215594,215594,686,<right>,<right>,1,1
103-2-2,T,35,1,L,1,216299,3250,219555,219762,219762,546,<left>,<left>,1,1
103-2-2,T,36,-1,R,1,220323,1500,221828,222034,222034,788,<right>,<right>,1,1
103-2-2,T,37,-1,L,1,222836,3500,226342,226549,226549,529,<left>,<left>,1,1
103-2-2,T,38,1,D,1,227093,1500,228598,228804,228804,901,<down>,<down>,1,1
103-2-2,T,39,-1,U,2,229721,1500,231227,231434,231434,710,<up>,<up>,1,1
103-2-2,T,40,-1,D,1,232158,2750,234913,235120,235120,883,<down>,<down>,1,1
103-2-2,T,41,-1,U,2,236017,2000,238022,238229,238229,787,<up>,<up>,1,1
103-2-2,T,42,-1,D,1,239031,3250,242287,242494,242494,913,<down>,<down>,1,1
103-2-2,T,43,1,L,2,243422,3250,246676,246882,246882,750,<left>,<left>,1,1
103-2-2,T,44,1,L,2,247649,3000,250655,250862,250862,638,<left>,<left>,1,1
103-2-2,T,45,1,D,1,251516,3250,254770,254975,254975,788,<down>,<down>,1,1
103-2-2,T,46,-1,U,1,255778,1750,257533,257739,257740,636,<up>,<up>,1,1
103-2-2,T,47,-1,U,1,258389,2500,260894,261101,261101,591,<up>,<up>,1,1
103-2-2,T,48,1,R,2,261708,1750,263463,263668,263668,639,<right>,<right>,1,1
103-2-2,T,49,-1,U,1,264322,2000,266327,266534,266534,593,<up>,<up>,1,1
103-2-2,T,50,1,R,1,267140,2750,269895,270102,270102,604,<right>,<right>,1,1
