subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
101-3-3,P,0,-1,U,1,4428,2500,6934,7440,7441,533,<up>,<up>,1,1
101-3-3,P,0,1,D,2,8001,2000,10006,10511,10512,1033,<down>,<up>,0,1
101-3-3,P,0,-1,L,1,11558,3000,14563,15071,15071,596,<left>,<left>,1,1
101-3-3,P,0,-1,L,2,15683,3500,19188,19694,19694,452,<left>,<left>,1,1
101-3-3,P,0,-1,D,1,20170,3250,23428,23935,23936,477,<down>,<up>,0,1
101-3-3,P,0,1,L,1,24439,3250,27694,28200,28200,472,<left>,<left>,1,1
101-3-3,P,0,1,R,1,28699,3000,31704,32211,32212,458,<right>,<right>,1,1
101-3-3,P,0,-1,U,2,32692,1500,34198,34704,34704,561,<up>,<up>,1,1
101-3-3,P,0,-1,U,2,36645,2750,39401,39608,39608,565,<up>,<up>,1,1
101-3-3,P,0,-1,U,1,40186,3000,43191,43397,43397,544,<up>,<up>,1,1
101-3-3,P,0,-1,R,2,43964,2500,46469,46675,46676,528,<right>,<right>,1,1
101-3-3,P,0,1,D,1,47216,2500,49721,49927,49928,576,<down>,<down>,1,1
101-3-3,P,0,1,D,1,50515,2000,52521,52727,52727,539,<down>,<down>,1,1
101-3-3,P,0,-1,D,2,53286,2250,55542,55748,55749,611,<down>,<down>,1,1
101-3-3,P,0,1,L,1,56372,3000,59378,59584,59585,563,<left>,<left>,1,1
101-3-3,P,0,-1,D,2,60167,2250,62423,62631,62632,688,<down>,<down>,1,1
101-3-3,T,1,-1,U,1,64694,3000,67699,67907,67908,528,<up>,<up>,1,1
101-3-3,T,2,-1,U,2,68454,1750,70210,70416,70417,652,<up>,<up>,1,1
101-3-3,T,3,1,D,1,71085,3500,74590,74796,74796,553,<down>,<down>,1,1
101-3-3,T,4,-1,L,1,75364,1500,76869,77075,77076,527,<left>,<left>,1,1
101-3-3,T,5,-1,R,1,77616,3250,80872,81079,81079,551,<right>,<right>,1,1
101-3-3,T,6,-1,D,1,81642,3250,84897,85104,85105,629,<down>,<down>,1,1
101-3-3,T,7,1,D,2,85748,3500,89253,89461,89461,569,<down>,<down>,1,1
101-3-3,T,8,-1,L,2,90044,2500,92549,92755,92755,563,<left>,<left>,1,1
101-3-3,T,9,-1,L,1,93331,1500,94836,95043,95043,507,<left>,<left>,1,1
101-3-3,T,10,1,U,2,95568,2750,98323,98531,98532,607,<up>,<down>,0,1
101-3-3,T,11,-1,D,2,99153,2750,101909,102115,102115,607,<down>,<down>,1,1
101-3-3,T,12,-1,D,2,102735,2250,104990,105196,105197,470,<down>,<down>,1,1
101-3-3,T,13,1,U,2,105682,2750,108438,108644,108645,621,<up>,<up>,1,1
101-3-3,T,14,1,L,1,109278,2500,111784,111992,111992,512,<left>,<left>,1,1
101-3-3,T,15,1,U,1,112517,2250,114772,114978,114978,612,<up>,<up>,1,1
101-3-3,T,16,1,U,1,115602,1500,117108,117314,117314,595,<up>,<up>,1,1
101-3-3,T,17,1,L,1,117927,2250,120183,120389,120390,519,<left>,<left>,1,1
101-3-3,T,18,-1,R,1,120920,3000,123925,124131,124132,517,<right>,<right>,1,1
101-3-3,T,19,1,D,2,124662,2000,126668,126873,126874,637,<down>,<down>,1,1
101-3-3,T,20,-1,R,1,127523,2250,129779,129986,129987,517,<right>,<right>,1,1
101-3-3,T,21,-1,U,1,130517,2750,133272,133478,133479,540,<up>,<up>,1,1
101-3-3,T,22,1,D,2,134031,2000,136037,136245,136245,540,<down>,<down>,1,1
