subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
203-4-3,4,1,PRACTICE,-25,1,3,1,0,8606,1,507,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-24,1,1,1,1,10216,1,498,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-23,1,4,0,0,11658,2,620,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-22,1,2,0,1,13342,2,392,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-21,1,3,1,0,14794,1,344,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-20,1,1,1,1,16020,1,516,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-19,1,4,0,0,17567,2,388,1,NA,0,0,0
203-4-3,4,1,PRACTICE,-18,1,2,0,1,19233,2,460,1,NA,0,0,0
203-4-3,4,1,TEST,1,1,2,0,1,20891,2,408,1,NA,0,0,0
203-4-3,4,1,TEST,2,1,3,1,0,22289,1,497,1,NA,0,0,0
203-4-3,4,1,TEST,3,1,4,0,0,23889,2,339,1,NA,0,0,0
203-4-3,4,1,TEST,4,1,1,1,1,25416,1,398,1,NA,0,0,0
203-4-3,4,1,TEST,5,1,4,0,0,27071,2,348,1,NA,0,0,0
203-4-3,4,1,TEST,6,1,2,0,1,28385,2,444,1,NA,0,0,0
203-4-3,4,1,TEST,7,1,3,1,0,30040,1,311,1,NA,0,0,0
203-4-3,4,1,TEST,8,1,1,1,1,31646,1,448,1,NA,0,0,0
203-4-3,4,1,TEST,9,1,4,0,0,33125,2,290,1,NA,0,0,0
203-4-3,4,1,TEST,10,1,3,1,0,34683,1,427,1,NA,0,0,0
203-4-3,4,1,TEST,11,1,1,1,1,36345,1,494,1,NA,0,0,0
203-4-3,4,1,TEST,12,1,2,0,1,37835,2,384,1,NA,0,0,0
203-4-3,4,1,TEST,13,1,4,0,0,39158,2,396,1,NA,0,0,0
203-4-3,4,1,TEST,14,1,3,1,0,40595,2,356,0,NA,0,0,0
203-4-3,4,1,TEST,15,1,1,1,1,42774,1,346,1,NA,0,0,0
203-4-3,4,1,TEST,16,1,2,0,1,43958,2,426,1,NA,0,0,0
203-4-3,4,1,TEST,17,1,1,1,1,45488,1,317,1,NA,0,0,0
203-4-3,4,1,TEST,18,1,3,1,0,46729,1,439,1,NA,0,0,0
203-4-3,4,1,TEST,19,1,2,0,1,48458,2,433,1,NA,0,0,0
203-4-3,4,1,TEST,20,1,4,0,0,49786,1,396,0,NA,0,0,0
203-4-3,4,1,TEST,21,1,3,1,0,51658,1,416,1,NA,0,0,0
203-4-3,4,1,TEST,22,1,2,0,1,53290,2,388,1,NA,0,0,0
203-4-3,4,1,TEST,23,1,1,1,1,54661,1,509,1,NA,0,0,0
203-4-3,4,1,TEST,24,1,4,0,0,56448,2,423,1,NA,0,0,0
203-4-3,4,1,TEST,25,1,1,1,1,58069,1,596,1,NA,0,0,0
203-4-3,4,2,PRACTICE,-25,2,1,1,1,63464,NA,0,0,9,483,1,0
203-4-3,4,2,PRACTICE,-24,2,3,1,0,65106,NA,0,0,0,282,1,0
203-4-3,4,2,PRACTICE,-23,2,4,0,0,66252,NA,0,0,0,417,1,0
203-4-3,4,2,PRACTICE,-22,2,2,0,1,67635,NA,0,0,9,323,1,0
203-4-3,4,2,PRACTICE,-21,2,4,0,0,68958,NA,0,0,0,290,1,0
203-4-3,4,2,PRACTICE,-20,2,3,1,0,70430,NA,0,0,0,392,1,0
203-4-3,4,2,PRACTICE,-19,2,1,1,1,71912,NA,0,0,9,491,1,0
203-4-3,4,2,PRACTICE,-18,2,2,0,1,73716,NA,0,0,0,228,0,0
203-4-3,4,2,TEST,1,2,3,1,0,75577,NA,0,0,0,412,1,0
203-4-3,4,2,TEST,2,2,1,1,1,76996,NA,0,0,9,372,1,0
203-4-3,4,2,TEST,3,2,4,0,0,78613,NA,0,0,0,280,1,0
203-4-3,4,2,TEST,4,2,2,0,1,79953,NA,0,0,9,374,1,0
203-4-3,4,2,TEST,5,2,3,1,0,81191,NA,0,0,0,378,1,0
203-4-3,4,2,TEST,6,2,1,1,1,82553,NA,0,0,9,363,1,0
203-4-3,4,2,TEST,7,2,2,0,1,84067,NA,0,0,9,464,1,0
203-4-3,4,2,TEST,8,2,4,0,0,85510,NA,0,0,0,463,1,0
203-4-3,4,2,TEST,9,2,3,1,0,87042,NA,0,0,0,434,1,0
203-4-3,4,2,TEST,10,2,1,1,1,88599,NA,0,0,9,314,1,0
203-4-3,4,2,TEST,11,2,2,0,1,89960,NA,0,0,9,444,1,0
203-4-3,4,2,TEST,12,2,4,0,0,91481,NA,0,0,0,319,1,0
203-4-3,4,2,TEST,13,2,2,0,1,92847,NA,0,0,9,276,1,0
203-4-3,4,2,TEST,14,2,4,0,0,94450,NA,0,0,0,364,1,0
203-4-3,4,2,TEST,15,2,3,1,0,95910,NA,0,0,0,497,1,0
203-4-3,4,2,TEST,16,2,1,1,1,97583,NA,0,0,9,416,1,0
203-4-3,4,2,TEST,17,2,4,0,0,99323,NA,0,0,0,296,1,0
203-4-3,4,2,TEST,18,2,2,0,1,100928,NA,0,0,9,310,1,0
203-4-3,4,2,TEST,19,2,3,1,0,102307,NA,0,0,0,326,1,0
203-4-3,4,2,TEST,20,2,1,1,1,103584,NA,0,0,9,272,1,0
203-4-3,4,2,TEST,21,2,2,0,1,104965,NA,0,0,9,469,1,0
203-4-3,4,2,TEST,22,2,4,0,0,106439,NA,0,0,0,380,1,0
203-4-3,4,2,TEST,23,2,3,1,0,108020,NA,0,0,0,427,1,0
203-4-3,4,2,TEST,24,2,1,1,1,109745,NA,0,0,9,450,1,0
203-4-3,4,2,TEST,25,2,2,0,1,111453,NA,0,0,0,231,0,0
203-4-3,4,3,PRACTICE,-25,3,3,1,0,116713,1,487,1,0,509,1,0
203-4-3,4,3,PRACTICE,-24,3,4,0,0,118424,2,491,1,0,494,1,0
203-4-3,4,3,PRACTICE,-23,3,2,0,1,119759,2,596,1,9,544,1,0
203-4-3,4,3,PRACTICE,-22,3,1,1,1,121197,1,483,1,9,521,1,0
203-4-3,4,3,PRACTICE,-21,3,1,1,1,122771,1,456,1,9,508,1,0
203-4-3,4,3,PRACTICE,-20,3,2,0,1,124344,2,416,1,9,422,1,0
203-4-3,4,3,PRACTICE,-19,3,4,0,0,125684,2,439,1,0,436,1,0
203-4-3,4,3,PRACTICE,-18,3,3,1,0,127100,1,329,1,9,349,0,0
203-4-3,4,3,TEST,1,3,2,0,1,128813,2,426,1,9,430,1,0
203-4-3,4,3,TEST,2,3,1,1,1,130315,1,354,1,0,358,0,0
203-4-3,4,3,TEST,3,3,3,1,0,132089,1,470,1,0,499,1,0
203-4-3,4,3,TEST,4,3,4,0,0,133575,2,425,1,0,413,1,0
203-4-3,4,3,TEST,5,3,3,1,0,135238,1,297,1,9,321,0,0
203-4-3,4,3,TEST,6,3,1,1,1,137106,1,463,1,9,483,1,0
203-4-3,4,3,TEST,7,3,2,0,1,138816,2,463,1,9,475,1,0
203-4-3,4,3,TEST,8,3,4,0,0,140582,2,491,1,0,487,1,0
203-4-3,4,3,TEST,9,3,1,1,1,142375,1,478,1,9,495,1,0
203-4-3,4,3,TEST,10,3,4,0,0,144138,2,398,1,0,393,1,0
203-4-3,4,3,TEST,11,3,3,1,0,145849,1,518,1,0,534,1,0
203-4-3,4,3,TEST,12,3,2,0,1,147229,2,479,1,9,457,1,0
203-4-3,4,3,TEST,13,3,3,1,0,148738,1,350,1,0,356,1,0
203-4-3,4,3,TEST,14,3,4,0,0,150121,2,509,1,0,517,1,0
203-4-3,4,3,TEST,15,3,1,1,1,151533,1,535,1,9,541,1,0
203-4-3,4,3,TEST,16,3,2,0,1,153067,2,380,1,9,392,1,0
203-4-3,4,3,TEST,17,3,1,1,1,154477,1,341,1,9,652,1,0
203-4-3,4,3,TEST,18,3,3,1,0,156041,1,545,1,0,549,1,0
203-4-3,4,3,TEST,19,3,4,0,0,157906,2,477,1,0,481,1,0
203-4-3,4,3,TEST,20,3,2,0,1,159462,2,765,1,9,775,1,0
203-4-3,4,3,TEST,21,3,3,1,0,161185,1,393,1,0,400,1,0
203-4-3,4,3,TEST,22,3,4,0,0,162533,2,478,1,0,489,1,0
203-4-3,4,3,TEST,23,3,2,0,1,164066,2,494,1,9,512,1,0
203-4-3,4,3,TEST,24,3,1,1,1,165457,1,483,1,9,507,1,0
203-4-3,4,3,TEST,25,3,4,0,0,167083,2,414,1,0,442,1,0
