subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
100-3-2,4,1,PRACTICE,-25,1,2,0,1,10035,2,554,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-24,1,3,1,0,11586,1,414,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-23,1,1,1,1,12867,1,396,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-22,1,4,0,0,14566,2,392,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-21,1,3,1,0,16189,1,389,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-20,1,2,0,1,17493,2,500,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-19,1,4,0,0,19132,2,435,1,NA,0,0,0
100-3-2,4,1,PRACTICE,-18,1,1,1,1,20416,1,420,1,NA,0,0,0
100-3-2,4,1,TEST,1,1,4,0,0,22035,2,443,1,NA,0,0,0
100-3-2,4,1,TEST,2,1,1,1,1,23590,1,362,1,NA,0,0,0
100-3-2,4,1,TEST,3,1,3,1,0,25004,1,481,1,NA,0,0,0
100-3-2,4,1,TEST,4,1,2,0,1,26329,2,590,1,NA,0,0,0
100-3-2,4,1,TEST,5,1,1,1,1,27832,1,438,1,NA,0,0,0
100-3-2,4,1,TEST,6,1,4,0,0,29458,2,361,1,NA,0,0,0
100-3-2,4,1,TEST,7,1,3,1,0,31053,1,380,1,NA,0,0,0
100-3-2,4,1,TEST,8,1,2,0,1,32711,2,319,1,NA,0,0,0
100-3-2,4,1,TEST,9,1,1,1,1,34074,1,367,1,NA,0,0,0
100-3-2,4,1,TEST,10,1,4,0,0,35369,2,363,1,NA,0,0,0
100-3-2,4,1,TEST,11,1,3,1,0,37017,1,353,1,NA,0,0,0
100-3-2,4,1,TEST,12,1,2,0,1,38633,2,404,1,NA,0,0,0
100-3-2,4,1,TEST,13,1,1,1,1,40214,1,375,1,NA,0,0,0
100-3-2,4,1,TEST,14,1,3,1,0,41666,1,423,1,NA,0,0,0
100-3-2,4,1,TEST,15,1,4,0,0,43269,2,442,1,NA,0,0,0
100-3-2,4,1,TEST,16,1,2,0,1,44717,2,434,1,NA,0,0,0
100-3-2,4,1,TEST,17,1,3,1,0,46342,1,352,1,NA,0,0,0
100-3-2,4,1,TEST,18,1,4,0,0,48016,2,419,1,NA,0,0,0
100-3-2,4,1,TEST,19,1,1,1,1,49649,1,436,1,NA,0,0,0
100-3-2,4,1,TEST,20,1,2,0,1,50988,2,394,1,NA,0,0,0
100-3-2,4,1,TEST,21,1,3,1,0,52604,1,347,1,NA,0,0,0
100-3-2,4,1,TEST,22,1,2,0,1,53842,2,429,1,NA,0,0,0
100-3-2,4,1,TEST,23,1,4,0,0,55154,2,537,1,NA,0,0,0
100-3-2,4,1,TEST,24,1,1,1,1,56711,1,404,1,NA,0,0,0
100-3-2,4,1,TEST,25,1,2,0,1,58266,2,376,1,NA,0,0,0
100-3-2,4,2,PRACTICE,-25,2,2,0,1,63958,NA,0,0,0,557,0,0
100-3-2,4,2,PRACTICE,-24,2,3,1,0,65921,NA,0,0,0,496,1,0
100-3-2,4,2,PRACTICE,-23,2,1,1,1,67608,NA,0,0,9,442,1,0
100-3-2,4,2,PRACTICE,-22,2,4,0,0,68994,NA,0,0,0,415,1,0
100-3-2,4,2,PRACTICE,-21,2,4,0,0,70590,NA,0,0,0,432,1,0
100-3-2,4,2,PRACTICE,-20,2,2,0,1,72260,NA,0,0,9,446,1,0
100-3-2,4,2,PRACTICE,-19,2,3,1,0,73575,NA,0,0,0,499,1,0
100-3-2,4,2,PRACTICE,-18,2,1,1,1,75144,NA,0,0,9,463,1,0
100-3-2,4,2,TEST,1,2,4,0,0,76514,NA,0,0,0,396,1,0
100-3-2,4,2,TEST,2,2,2,0,1,77995,NA,0,0,9,417,1,0
100-3-2,4,2,TEST,3,2,1,1,1,79614,NA,0,0,9,458,1,0
100-3-2,4,2,TEST,4,2,3,1,0,81116,NA,0,0,0,391,1,0
100-3-2,4,2,TEST,5,2,4,0,0,82759,NA,0,0,0,429,1,0
100-3-2,4,2,TEST,6,2,2,0,1,84367,NA,0,0,9,410,1,0
100-3-2,4,2,TEST,7,2,1,1,1,86035,NA,0,0,9,442,1,0
100-3-2,4,2,TEST,8,2,3,1,0,87650,NA,0,0,0,364,1,0
100-3-2,4,2,TEST,9,2,1,1,1,89125,NA,0,0,9,386,1,0
100-3-2,4,2,TEST,10,2,3,1,0,90626,NA,0,0,0,378,1,0
100-3-2,4,2,TEST,11,2,4,0,0,92167,NA,0,0,0,420,1,0
100-3-2,4,2,TEST,12,2,2,0,1,93655,NA,0,0,9,564,1,0
100-3-2,4,2,TEST,13,2,3,1,0,95498,NA,0,0,0,333,1,0
100-3-2,4,2,TEST,14,2,2,0,1,96712,NA,0,0,9,455,1,0
100-3-2,4,2,TEST,15,2,4,0,0,98206,NA,0,0,0,343,1,0
100-3-2,4,2,TEST,16,2,1,1,1,99865,NA,0,0,9,437,1,0
100-3-2,4,2,TEST,17,2,4,0,0,101283,NA,0,0,0,404,1,0
100-3-2,4,2,TEST,18,2,3,1,0,102789,NA,0,0,0,412,1,0
100-3-2,4,2,TEST,19,2,2,0,1,104142,NA,0,0,9,415,1,0
100-3-2,4,2,TEST,20,2,1,1,1,105447,NA,0,0,9,386,1,0
100-3-2,4,2,TEST,21,2,2,0,1,107035,NA,0,0,9,414,1,0
100-3-2,4,2,TEST,22,2,1,1,1,108289,NA,0,0,9,477,1,0
100-3-2,4,2,TEST,23,2,3,1,0,109606,NA,0,0,0,374,1,0
100-3-2,4,2,TEST,24,2,4,0,0,110946,NA,0,0,0,418,1,0
100-3-2,4,2,TEST,25,2,2,0,1,112210,NA,0,0,9,420,1,0
100-3-2,4,3,PRACTICE,-25,3,3,1,0,118656,1,636,1,0,652,1,0
100-3-2,4,3,PRACTICE,-24,3,4,0,0,120618,2,617,1,0,621,1,0
100-3-2,4,3,PRACTICE,-23,3,1,1,1,122232,1,576,1,9,598,1,0
100-3-2,4,3,PRACTICE,-22,3,2,0,1,123786,2,640,1,9,658,1,0
100-3-2,4,3,PRACTICE,-21,3,1,1,1,125694,1,672,1,9,682,1,0
100-3-2,4,3,PRACTICE,-20,3,4,0,0,127349,2,471,1,0,467,1,0
100-3-2,4,3,PRACTICE,-19,3,2,0,1,128663,2,618,1,9,639,1,0
100-3-2,4,3,PRACTICE,-18,3,3,1,0,130172,1,517,1,0,514,1,0
100-3-2,4,3,TEST,1,3,2,0,1,131995,2,426,1,9,436,1,0
100-3-2,4,3,TEST,2,3,1,1,1,133321,1,711,1,9,707,1,0
100-3-2,4,3,TEST,3,3,3,1,0,134906,1,568,1,0,572,1,0
100-3-2,4,3,TEST,4,3,4,0,0,136762,2,528,1,0,532,1,0
100-3-2,4,3,TEST,5,3,3,1,0,138343,1,662,1,0,690,1,0
100-3-2,4,3,TEST,6,3,2,0,1,140258,2,468,1,9,474,1,0
100-3-2,4,3,TEST,7,3,1,1,1,141928,1,491,1,9,483,1,0
100-3-2,4,3,TEST,8,3,4,0,0,143734,2,428,1,0,434,1,0
100-3-2,4,3,TEST,9,3,1,1,1,145233,1,444,1,9,440,1,0
100-3-2,4,3,TEST,10,3,3,1,0,146804,1,534,1,0,566,1,0
100-3-2,4,3,TEST,11,3,2,0,1,148221,2,472,1,9,468,1,0
100-3-2,4,3,TEST,12,3,4,0,0,149820,2,499,1,0,512,1,0
100-3-2,4,3,TEST,13,3,2,0,1,151548,2,599,1,9,615,1,0
100-3-2,4,3,TEST,14,3,3,1,0,153369,1,437,1,0,454,1,0
100-3-2,4,3,TEST,15,3,1,1,1,155014,1,660,1,9,674,1,0
100-3-2,4,3,TEST,16,3,4,0,0,156576,2,544,1,0,560,1,0
100-3-2,4,3,TEST,17,3,1,1,1,158202,1,470,1,9,502,1,0
100-3-2,4,3,TEST,18,3,2,0,1,160002,2,571,1,9,587,1,0
100-3-2,4,3,TEST,19,3,4,0,0,161459,2,528,1,0,538,1,0
100-3-2,4,3,TEST,20,3,3,1,0,162849,1,523,1,0,545,1,0
100-3-2,4,3,TEST,21,3,4,0,0,164360,2,493,1,0,506,1,0
100-3-2,4,3,TEST,22,3,2,0,1,166117,2,625,1,9,643,1,0
100-3-2,4,3,TEST,23,3,1,1,1,167622,1,496,1,9,520,1,0
100-3-2,4,3,TEST,24,3,3,1,0,169001,1,502,1,0,514,1,0
100-3-2,4,3,TEST,25,3,2,0,1,170376,2,496,1,9,516,1,0
