subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
109-2-1,P,0,-1,R,2,24076,2250,26331,26837,26838,1121,<right>,<left>,0,1
109-2-1,P,0,1,R,2,27971,3500,31476,31984,31985,572,<right>,<right>,1,1
109-2-1,P,0,1,U,1,32568,3000,35574,36081,36082,532,<up>,<up>,1,1
109-2-1,P,0,-1,R,2,36629,3500,40134,40640,40640,397,<right>,<left>,0,1
109-2-1,P,0,-1,U,2,41057,1500,42563,43069,43069,503,<up>,<up>,1,1
109-2-1,P,0,1,R,2,43600,1500,45106,45612,45613,468,<right>,<right>,1,1
109-2-1,P,0,-1,R,2,46105,3250,49360,49867,49868,381,<right>,<left>,0,1
109-2-1,P,0,1,R,2,50277,3500,53784,54292,54292,393,<right>,<right>,1,1
109-2-1,P,0,-1,R,2,58182,2250,60438,60644,60644,403,<right>,<left>,0,1
109-2-1,P,0,1,U,1,61058,3000,64064,64271,64272,510,<up>,<up>,1,1
109-2-1,P,0,1,R,1,64794,1500,66301,66509,66509,476,<right>,<right>,1,1
109-2-1,P,0,1,R,2,66995,1750,68751,68960,68960,572,<right>,<left>,0,1
109-2-1,P,0,1,L,2,69541,2000,71548,71753,71754,617,<left>,<left>,1,1
109-2-1,P,0,-1,D,1,72383,3000,75389,75595,75596,456,<down>,<up>,0,1
109-2-1,P,0,-1,R,1,76063,2750,78819,79025,79026,471,<right>,<right>,1,1
109-2-1,P,0,-1,L,1,79508,1750,81264,81470,81470,542,<left>,<left>,1,1
109-2-1,T,1,1,R,2,88036,2250,90292,90501,90501,513,<right>,<right>,1,1
109-2-1,T,2,-1,L,2,91025,3000,94032,94239,94240,526,<left>,<left>,1,1
109-2-1,T,3,-1,R,1,94778,1750,96534,96740,96741,473,<right>,<right>,1,1
109-2-1,T,4,1,U,2,97228,2500,99734,99940,99941,441,<up>,<up>,1,1
109-2-1,T,5,1,D,2,100392,2500,102897,103104,103104,568,<down>,<down>,1,1
109-2-1,T,6,1,R,1,103684,3250,106940,107148,107148,393,<right>,<right>,1,1
109-2-1,T,7,1,R,1,107558,3250,110813,111019,111020,410,<right>,<right>,1,1
109-2-1,T,8,-1,L,1,111444,2000,113450,113657,113657,539,<left>,<left>,1,1
109-2-1,T,9,1,U,1,114208,3250,117463,117669,117670,551,<up>,<up>,1,1
109-2-1,T,10,-1,R,1,118234,1750,119989,120195,120196,514,<right>,<right>,1,1
109-2-1,T,11,-1,L,2,120720,1750,122475,122681,122681,566,<left>,<left>,1,1
109-2-1,T,12,1,U,1,123259,3500,126766,126974,126974,471,<up>,<up>,1,1
109-2-1,T,13,-1,R,1,127457,1750,129212,129418,129419,521,<right>,<right>,1,1
109-2-1,T,14,1,L,1,129951,1500,131457,131663,131663,546,<left>,<left>,1,1
109-2-1,T,15,-1,U,2,132219,3500,135725,135931,135932,471,<up>,<up>,1,1
109-2-1,T,16,1,D,1,136417,2250,138673,138879,138879,541,<down>,<down>,1,1
109-2-1,T,17,-1,D,2,139431,1500,140937,141143,141144,489,<down>,<down>,1,1
109-2-1,T,18,-1,L,1,141645,1750,143400,143608,143608,390,<left>,<left>,1,1
109-2-1,T,19,1,L,1,144008,3500,147515,147721,147721,516,<left>,<left>,1,1
109-2-1,T,20,-1,L,2,148248,3500,151754,151962,151962,505,<left>,<left>,1,1
109-2-1,T,21,-1,U,1,152479,3250,155736,155942,155942,533,<up>,<up>,1,1
109-2-1,T,22,1,R,1,156486,2500,158991,159198,159198,404,<right>,<right>,1,1
109-2-1,T,23,-1,R,1,159615,2500,162121,162327,162328,532,<right>,<right>,1,1
109-2-1,T,24,1,R,2,162870,2000,164877,165085,165085,508,<right>,<left>,0,1
109-2-1,T,25,1,L,2,165608,2500,168113,168319,168320,561,<left>,<left>,1,1
109-2-1,T,26,-1,D,2,168894,2500,171400,171607,171607,650,<down>,<down>,1,1
109-2-1,T,27,1,R,2,172268,2750,175023,175231,175232,506,<right>,<left>,0,1
109-2-1,T,28,1,L,1,175752,1500,177257,177463,177463,592,<left>,<left>,1,1
109-2-1,T,29,-1,R,2,178066,2750,180821,181027,181027,537,<right>,<right>,1,1
109-2-1,T,30,1,R,1,181577,3000,184584,184792,184792,451,<right>,<right>,1,1
109-2-1,T,31,-1,U,2,185254,3000,188260,188466,188467,582,<up>,<up>,1,1
109-2-1,T,32,1,D,1,189064,3000,192070,192276,192277,575,<down>,<down>,1,1
109-2-1,T,33,-1,U,1,192862,1750,194617,194823,194824,506,<up>,<up>,1,1
109-2-1,T,34,-1,U,1,195341,2500,197846,198052,198052,485,<up>,<up>,1,1
109-2-1,T,35,-1,L,2,198552,3500,202058,202264,202264,566,<left>,<left>,1,1
109-2-1,T,36,-1,U,1,202839,2250,205095,205303,205303,471,<up>,<up>,1,1
109-2-1,T,37,-1,D,1,205784,2500,208291,208497,208497,562,<down>,<down>,1,1
109-2-1,T,38,1,U,2,209072,2250,211328,211535,211535,643,<up>,<up>,1,1
109-2-1,T,39,-1,U,1,212189,3250,215444,215650,215650,467,<up>,<up>,1,1
109-2-1,T,40,1,L,2,216132,1750,217887,218094,218094,646,<left>,<left>,1,1
109-2-1,T,41,1,D,1,218754,1750,220509,220715,220716,542,<down>,<down>,1,1
109-2-1,T,42,-1,L,1,221268,2750,224021,224242,224243,430,<left>,<left>,1,1
109-2-1,T,43,1,U,1,224682,2750,227435,227642,227642,518,<up>,<up>,1,1
109-2-1,T,44,1,R,2,228171,2750,230926,231132,231132,583,<right>,<right>,1,1
109-2-1,T,45,1,U,1,231724,3250,234980,235187,235187,479,<up>,<up>,1,1
109-2-1,T,46,-1,R,1,235677,3500,239183,239389,239390,573,<right>,<right>,1,1
109-2-1,T,47,1,L,2,239974,3500,243480,243687,243687,571,<left>,<left>,1,1
109-2-1,T,48,1,L,2,244271,1500,245776,245982,245983,521,<left>,<left>,1,1
109-2-1,T,49,1,D,1,246517,3000,249522,249729,249729,571,<down>,<down>,1,1
109-2-1,T,50,1,R,1,250313,3250,253569,253775,253775,489,<right>,<right>,1,1
