subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
106-2-2,4,1,PRACTICE,-25,1,1,1,1,7471,1,582,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-24,1,2,0,1,9328,2,523,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-23,1,3,1,0,10927,1,519,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-22,1,4,0,0,12306,2,456,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-21,1,4,0,0,13825,2,425,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-20,1,1,1,1,15439,1,445,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-19,1,3,1,0,17105,1,446,1,NA,0,0,0
106-2-2,4,1,PRACTICE,-18,1,2,0,1,18815,2,427,1,NA,0,0,0
106-2-2,4,1,TEST,1,1,4,0,0,20149,2,416,1,NA,0,0,0
106-2-2,4,1,TEST,2,1,1,1,1,21405,1,432,1,NA,0,0,0
106-2-2,4,1,TEST,3,1,3,1,0,22968,1,392,1,NA,0,0,0
106-2-2,4,1,TEST,4,1,2,0,1,24664,2,395,1,NA,0,0,0
106-2-2,4,1,TEST,5,1,4,0,0,26111,2,366,1,NA,0,0,0
106-2-2,4,1,TEST,6,1,3,1,0,27407,1,374,1,NA,0,0,0
106-2-2,4,1,TEST,7,1,1,1,1,29081,1,425,1,NA,0,0,0
106-2-2,4,1,TEST,8,1,2,0,1,30833,2,363,1,NA,0,0,0
106-2-2,4,1,TEST,9,1,3,1,0,32402,1,389,1,NA,0,0,0
106-2-2,4,1,TEST,10,1,1,1,1,33645,1,358,1,NA,0,0,0
106-2-2,4,1,TEST,11,1,4,0,0,35336,2,400,1,NA,0,0,0
106-2-2,4,1,TEST,12,1,2,0,1,36761,2,442,1,NA,0,0,0
106-2-2,4,1,TEST,13,1,3,1,0,38245,1,407,1,NA,0,0,0
106-2-2,4,1,TEST,14,1,2,0,1,39641,2,397,1,NA,0,0,0
106-2-2,4,1,TEST,15,1,4,0,0,41061,2,409,1,NA,0,0,0
106-2-2,4,1,TEST,16,1,1,1,1,42454,1,398,1,NA,0,0,0
106-2-2,4,1,TEST,17,1,3,1,0,44033,1,399,1,NA,0,0,0
106-2-2,4,1,TEST,18,1,2,0,1,45649,2,346,1,NA,0,0,0
106-2-2,4,1,TEST,19,1,4,0,0,46869,2,469,1,NA,0,0,0
106-2-2,4,1,TEST,20,1,1,1,1,48286,1,488,1,NA,0,0,0
106-2-2,4,1,TEST,21,1,3,1,0,49644,1,528,1,NA,0,0,0
106-2-2,4,1,TEST,22,1,1,1,1,51212,1,703,1,NA,0,0,0
106-2-2,4,1,TEST,23,1,2,0,1,52767,2,570,1,NA,0,0,0
106-2-2,4,1,TEST,24,1,4,0,0,54195,2,418,1,NA,0,0,0
106-2-2,4,1,TEST,25,1,2,0,1,55620,2,350,1,NA,0,0,0
106-2-2,4,2,PRACTICE,-25,2,2,0,1,60939,NA,0,0,9,394,1,0
106-2-2,4,2,PRACTICE,-24,2,1,1,1,62198,NA,0,0,9,390,1,0
106-2-2,4,2,PRACTICE,-23,2,3,1,0,63703,NA,0,0,0,332,1,0
106-2-2,4,2,PRACTICE,-22,2,4,0,0,65284,NA,0,0,0,303,1,0
106-2-2,4,2,PRACTICE,-21,2,4,0,0,66653,NA,0,0,0,365,1,0
106-2-2,4,2,PRACTICE,-20,2,3,1,0,68048,NA,0,0,0,290,1,0
106-2-2,4,2,PRACTICE,-19,2,2,0,1,69202,NA,0,0,9,380,1,0
106-2-2,4,2,PRACTICE,-18,2,1,1,1,70646,NA,0,0,9,321,1,0
106-2-2,4,2,TEST,1,2,3,1,0,71959,NA,0,0,0,274,1,0
106-2-2,4,2,TEST,2,2,1,1,1,73163,NA,0,0,9,398,1,0
106-2-2,4,2,TEST,3,2,2,0,1,74864,NA,0,0,9,422,1,0
106-2-2,4,2,TEST,4,2,4,0,0,76220,NA,0,0,0,742,1,0
106-2-2,4,2,TEST,5,2,3,1,0,78084,NA,0,0,0,430,1,0
106-2-2,4,2,TEST,6,2,1,1,1,79521,NA,0,0,9,423,1,0
106-2-2,4,2,TEST,7,2,2,0,1,81087,NA,0,0,9,380,1,0
106-2-2,4,2,TEST,8,2,4,0,0,82767,NA,0,0,0,487,1,0
106-2-2,4,2,TEST,9,2,1,1,1,84388,NA,0,0,9,430,1,0
106-2-2,4,2,TEST,10,2,2,0,1,85798,NA,0,0,9,569,1,0
106-2-2,4,2,TEST,11,2,3,1,0,87639,NA,0,0,0,418,1,0
106-2-2,4,2,TEST,12,2,4,0,0,89178,NA,0,0,0,422,1,0
106-2-2,4,2,TEST,13,2,2,0,1,90493,NA,0,0,9,386,1,0
106-2-2,4,2,TEST,14,2,4,0,0,92085,NA,0,0,0,340,1,0
106-2-2,4,2,TEST,15,2,3,1,0,93328,NA,0,0,0,568,1,0
106-2-2,4,2,TEST,16,2,1,1,1,95037,NA,0,0,9,616,1,0
106-2-2,4,2,TEST,17,2,2,0,1,96669,NA,0,0,9,556,1,0
106-2-2,4,2,TEST,18,2,4,0,0,98372,NA,0,0,0,366,1,0
106-2-2,4,2,TEST,19,2,3,1,0,99844,NA,0,0,0,542,1,0
106-2-2,4,2,TEST,20,2,1,1,1,101516,NA,0,0,9,465,1,0
106-2-2,4,2,TEST,21,2,4,0,0,102869,NA,0,0,0,484,1,0
106-2-2,4,2,TEST,22,2,1,1,1,104641,NA,0,0,9,395,1,0
106-2-2,4,2,TEST,23,2,3,1,0,106242,NA,0,0,0,356,1,0
106-2-2,4,2,TEST,24,2,2,0,1,107471,NA,0,0,9,381,1,0
106-2-2,4,2,TEST,25,2,4,0,0,108897,NA,0,0,0,376,1,0
106-2-2,4,3,PRACTICE,-25,3,1,1,1,114016,1,568,1,9,571,1,0
106-2-2,4,3,PRACTICE,-24,3,4,0,0,115611,2,448,1,0,428,1,0
106-2-2,4,3,PRACTICE,-23,3,3,1,0,117022,1,468,1,0,462,1,0
106-2-2,4,3,PRACTICE,-22,3,2,0,1,118626,2,411,1,9,390,1,0
106-2-2,4,3,PRACTICE,-21,3,2,0,1,119942,2,678,1,9,674,1,0
106-2-2,4,3,PRACTICE,-20,3,3,1,0,121866,1,535,1,0,539,1,0
106-2-2,4,3,PRACTICE,-19,3,1,1,1,123404,1,604,1,9,630,1,0
106-2-2,4,3,PRACTICE,-18,3,4,0,0,124967,2,422,1,0,398,1,0
106-2-2,4,3,TEST,1,3,2,0,1,126586,2,564,1,9,552,1,0
106-2-2,4,3,TEST,2,3,1,1,1,128184,1,685,1,9,677,1,0
106-2-2,4,3,TEST,3,3,4,0,0,129879,2,482,1,0,468,1,0
106-2-2,4,3,TEST,4,3,3,1,0,131630,1,512,1,0,516,1,0
106-2-2,4,3,TEST,5,3,4,0,0,133310,2,621,1,0,585,1,0
106-2-2,4,3,TEST,6,3,3,1,0,134926,1,733,1,0,738,1,0
106-2-2,4,3,TEST,7,3,2,0,1,136808,2,674,1,9,652,1,0
106-2-2,4,3,TEST,8,3,1,1,1,138491,1,755,1,9,750,1,0
106-2-2,4,3,TEST,9,3,2,0,1,140255,2,968,1,9,972,1,0
106-2-2,4,3,TEST,10,3,3,1,0,142131,1,696,1,0,690,1,0
106-2-2,4,3,TEST,11,3,1,1,1,144023,1,655,1,9,651,1,0
106-2-2,4,3,TEST,12,3,4,0,0,145818,2,649,1,0,630,1,0
106-2-2,4,3,TEST,13,3,3,1,0,147320,1,642,1,0,631,1,0
106-2-2,4,3,TEST,14,3,1,1,1,148843,1,528,1,9,544,1,0
106-2-2,4,3,TEST,15,3,4,0,0,150528,2,412,1,0,402,1,0
106-2-2,4,3,TEST,16,3,2,0,1,151950,2,570,1,9,538,1,0
106-2-2,4,3,TEST,17,3,3,1,0,153619,1,490,1,0,523,1,0
