subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
102-4-4,4,1,PRACTICE,-25,1,3,1,0,8380,1,431,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-24,1,1,1,1,9751,1,368,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-23,1,2,0,1,11018,2,412,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-22,1,4,0,0,12427,2,377,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-21,1,3,1,0,13683,1,316,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-20,1,2,0,1,15039,2,266,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-19,1,1,1,1,16196,1,325,1,NA,0,0,0
102-4-4,4,1,PRACTICE,-18,1,4,0,0,17386,2,277,1,NA,0,0,0
102-4-4,4,1,TEST,1,1,1,1,1,18660,1,91,1,NA,0,0,0
102-4-4,4,1,TEST,2,1,4,0,0,20049,2,294,1,NA,0,0,0
102-4-4,4,1,TEST,3,1,3,1,0,21373,1,259,1,NA,0,0,0
102-4-4,4,1,TEST,4,1,2,0,1,22711,2,247,1,NA,0,0,0
102-4-4,4,1,TEST,5,1,1,1,1,23943,1,247,1,NA,0,0,0
102-4-4,4,1,TEST,6,1,3,1,0,25108,2,259,0,NA,0,0,0
102-4-4,4,1,TEST,7,1,4,0,0,26882,2,382,1,NA,0,0,0
102-4-4,4,1,TEST,8,1,2,0,1,28471,1,246,0,NA,0,0,0
102-4-4,4,1,TEST,9,1,3,1,0,30104,1,409,1,NA,0,0,0
102-4-4,4,1,TEST,10,1,1,1,1,31768,2,280,0,NA,0,0,0
102-4-4,4,1,TEST,11,1,2,0,1,33646,2,528,1,NA,0,0,0
102-4-4,4,1,TEST,12,1,4,0,0,35048,2,469,1,NA,0,0,0
102-4-4,4,1,TEST,13,1,1,1,1,36433,1,462,1,NA,0,0,0
102-4-4,4,1,TEST,14,1,3,1,0,38068,1,516,1,NA,0,0,0
102-4-4,4,1,TEST,15,1,2,0,1,39574,2,319,1,NA,0,0,0
102-4-4,4,1,TEST,16,1,4,0,0,40775,2,363,1,NA,0,0,0
102-4-4,4,1,TEST,17,1,2,0,1,42311,1,299,0,NA,0,0,0
102-4-4,4,1,TEST,18,1,1,1,1,44289,1,466,1,NA,0,0,0
102-4-4,4,1,TEST,19,1,4,0,0,45696,2,443,1,NA,0,0,0
102-4-4,4,1,TEST,20,1,3,1,0,47374,1,372,1,NA,0,0,0
102-4-4,4,1,TEST,21,1,4,0,0,48786,2,476,1,NA,0,0,0
102-4-4,4,1,TEST,22,1,1,1,1,50312,1,414,1,NA,0,0,0
102-4-4,4,1,TEST,23,1,3,1,0,51831,1,367,1,NA,0,0,0
102-4-4,4,1,TEST,24,1,2,0,1,53126,1,288,0,NA,0,0,0
102-4-4,4,1,TEST,25,1,3,1,0,54936,1,457,1,NA,0,0,0
102-4-4,4,2,PRACTICE,-25,2,3,1,0,61655,NA,0,0,9,546,0,0
102-4-4,4,2,PRACTICE,-24,2,4,0,0,63742,NA,0,0,0,487,1,0
102-4-4,4,2,PRACTICE,-23,2,2,0,1,65535,NA,0,0,9,437,1,0
102-4-4,4,2,PRACTICE,-22,2,1,1,1,66984,NA,0,0,9,403,1,0
102-4-4,4,2,PRACTICE,-21,2,4,0,0,68318,NA,0,0,0,342,1,0
102-4-4,4,2,PRACTICE,-20,2,3,1,0,69852,NA,0,0,0,395,1,0
102-4-4,4,2,PRACTICE,-19,2,1,1,1,71436,NA,0,0,9,330,1,0
102-4-4,4,2,PRACTICE,-18,2,2,0,1,72885,NA,0,0,9,368,1,0
102-4-4,4,2,TEST,1,2,3,1,0,74301,NA,0,0,0,300,1,0
102-4-4,4,2,TEST,2,2,4,0,0,75516,NA,0,0,0,416,1,0
102-4-4,4,2,TEST,3,2,2,0,1,77164,NA,0,0,9,273,1,0
102-4-4,4,2,TEST,4,2,1,1,1,78579,NA,0,0,9,358,1,0
102-4-4,4,2,TEST,5,2,3,1,0,80143,NA,0,0,0,308,1,0
102-4-4,4,2,TEST,6,2,4,0,0,81705,NA,0,0,0,390,1,0
102-4-4,4,2,TEST,7,2,2,0,1,83354,NA,0,0,9,321,1,0
102-4-4,4,2,TEST,8,2,1,1,1,84673,NA,0,0,9,390,1,0
102-4-4,4,2,TEST,9,2,3,1,0,86291,NA,0,0,0,780,1,0
102-4-4,4,2,TEST,10,2,4,0,0,87918,NA,0,0,0,483,1,0
102-4-4,4,2,TEST,11,2,2,0,1,89230,NA,0,0,9,397,1,0
102-4-4,4,2,TEST,12,2,1,1,1,90910,NA,0,0,9,403,1,0
102-4-4,4,2,TEST,13,2,2,0,1,92476,NA,0,0,0,425,0,0
102-4-4,4,2,TEST,14,2,3,1,0,94565,NA,0,0,0,461,1,0
102-4-4,4,2,TEST,15,2,4,0,0,95901,NA,0,0,0,477,1,0
102-4-4,4,2,TEST,16,2,1,1,1,97361,NA,0,0,9,402,1,0
102-4-4,4,2,TEST,17,2,4,0,0,98852,NA,0,0,0,299,1,0
102-4-4,4,2,TEST,18,2,2,0,1,100402,NA,0,0,9,764,1,0
102-4-4,4,2,TEST,19,2,3,1,0,102422,NA,0,0,0,382,1,0
102-4-4,4,2,TEST,20,2,1,1,1,104076,NA,0,0,9,319,1,0
102-4-4,4,2,TEST,21,2,2,0,1,105302,NA,0,0,0,298,0,0
102-4-4,4,2,TEST,22,2,3,1,0,107411,NA,0,0,0,404,1,0
102-4-4,4,2,TEST,23,2,4,0,0,109136,NA,0,0,0,464,1,0
102-4-4,4,2,TEST,24,2,1,1,1,110566,NA,0,0,9,487,1,0
102-4-4,4,2,TEST,25,2,3,1,0,111940,NA,0,0,0,667,1,0
102-4-4,4,3,PRACTICE,-25,3,1,1,1,119202,1,977,1,9,994,1,0
102-4-4,4,3,PRACTICE,-24,3,3,1,0,121156,1,449,1,0,446,1,0
102-4-4,4,3,PRACTICE,-23,3,2,0,1,122861,2,453,1,9,451,1,0
102-4-4,4,3,PRACTICE,-22,3,4,0,0,124257,2,629,1,0,631,1,0
102-4-4,4,3,PRACTICE,-21,3,2,0,1,125775,2,454,1,9,438,1,0
102-4-4,4,3,PRACTICE,-20,3,3,1,0,127325,1,433,1,0,430,1,0
102-4-4,4,3,PRACTICE,-19,3,1,1,1,128670,1,505,1,9,496,1,0
102-4-4,4,3,PRACTICE,-18,3,4,0,0,130385,2,576,1,0,568,1,0
102-4-4,4,3,TEST,1,3,2,0,1,132144,2,451,1,9,422,1,0
102-4-4,4,3,TEST,2,3,1,1,1,133782,1,520,1,9,503,1,0
102-4-4,4,3,TEST,3,3,3,1,0,135335,1,618,1,0,632,1,0
102-4-4,4,3,TEST,4,3,4,0,0,137278,2,436,1,0,447,1,0
102-4-4,4,3,TEST,5,3,3,1,0,138851,1,446,1,0,440,1,0
102-4-4,4,3,TEST,6,3,2,0,1,140492,2,378,1,9,367,1,0
102-4-4,4,3,TEST,7,3,1,1,1,142188,1,491,1,9,528,1,0
102-4-4,4,3,TEST,8,3,4,0,0,143815,2,596,1,0,610,1,0
102-4-4,4,3,TEST,9,3,1,1,1,145529,1,463,1,9,442,1,0
102-4-4,4,3,TEST,10,3,3,1,0,146839,1,518,1,0,522,1,0
102-4-4,4,3,TEST,11,3,2,0,1,148517,2,480,1,9,442,1,0
102-4-4,4,3,TEST,12,3,4,0,0,149971,1,435,0,0,410,1,0
102-4-4,4,3,TEST,13,3,2,0,1,151920,2,610,1,9,637,1,0
102-4-4,4,3,TEST,14,3,3,1,0,153587,1,486,1,0,484,1,0
102-4-4,4,3,TEST,15,3,4,0,0,155056,2,407,1,0,449,1,0
102-4-4,4,3,TEST,16,3,1,1,1,156635,1,377,1,9,382,1,0
102-4-4,4,3,TEST,17,3,3,1,0,157993,2,377,0,0,380,1,0
102-4-4,4,3,TEST,18,3,2,0,1,159774,2,539,1,9,530,1,0
102-4-4,4,3,TEST,19,3,1,1,1,161276,1,517,1,9,595,1,0
102-4-4,4,3,TEST,20,3,4,0,0,163184,2,575,1,0,436,1,0
102-4-4,4,3,TEST,21,3,3,1,0,165001,1,614,1,0,587,1,0
