subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
200-3-1,P,0,1,L,1,3068,3250,6324,6830,6830,462,<left>,<left>,1,1
200-3-1,P,0,-1,U,1,7317,3250,10574,11079,11080,412,<up>,<up>,1,1
200-3-1,P,0,1,R,2,11517,2750,14275,14781,14781,594,<right>,<right>,1,1
200-3-1,P,0,-1,D,1,15400,3500,18906,19412,19413,460,<down>,<down>,1,1
200-3-1,P,0,1,D,1,19894,2000,21900,22406,22406,429,<down>,<down>,1,1
200-3-1,P,0,-1,R,1,22858,2250,25112,25620,25621,578,<right>,<right>,1,1
200-3-1,P,0,-1,U,1,26221,2500,28726,29233,29233,479,<up>,<up>,1,1
200-3-1,P,0,1,U,1,29738,1500,31243,31749,31750,456,<up>,<up>,1,1
200-3-1,P,0,1,U,1,34762,1750,36519,36725,36726,587,<up>,<up>,1,1
200-3-1,P,0,-1,D,2,37331,2000,39337,39543,39543,683,<down>,<down>,1,1
200-3-1,P,0,-1,U,2,40237,2750,42992,43199,43199,629,<up>,<up>,1,1
200-3-1,P,0,-1,R,1,43840,3500,47346,47552,47552,475,<right>,<right>,1,1
200-3-1,P,0,-1,U,1,48052,3250,51307,51513,51513,472,<up>,<up>,1,1
200-3-1,P,0,-1,U,2,51996,2250,54252,54459,54459,452,<up>,<up>,1,1
200-3-1,P,0,-1,U,2,54924,1750,56679,56886,56886,493,<up>,<up>,1,1
200-3-1,P,0,-1,U,2,57390,2000,59396,59602,59602,481,<up>,<up>,1,1
200-3-1,T,1,-1,L,2,62508,3000,65514,65721,65722,472,<left>,<up>,0,0
200-3-1,T,2,1,L,2,66208,2000,68215,68422,68423,553,<left>,<left>,1,1
200-3-1,T,3,1,D,2,68992,2750,71747,71953,71954,444,<down>,<up>,0,1
200-3-1,T,4,-1,R,2,72416,3500,75921,76127,76128,489,<right>,<right>,1,1
200-3-1,T,5,1,L,2,76630,1750,78384,78593,78593,596,<left>,<left>,1,1
200-3-1,T,6,-1,D,2,79206,1500,80712,80919,80919,651,<down>,<down>,1,1
200-3-1,T,7,1,R,2,81585,2250,83841,84048,84048,609,<right>,<right>,1,1
200-3-1,T,8,-1,U,1,84669,2500,87175,87381,87382,500,<up>,<up>,1,1
200-3-1,T,9,-1,R,2,87903,3500,91408,91615,91615,474,<right>,<right>,1,1
200-3-1,T,10,-1,U,1,92109,1750,93865,94071,94072,526,<up>,<up>,1,1
200-3-1,T,11,-1,L,2,94613,2750,97368,97576,97576,592,<left>,<left>,1,1
200-3-1,T,12,-1,D,2,98182,2500,100687,100894,100894,615,<down>,<down>,1,1
200-3-1,T,13,-1,D,2,101522,1750,103277,103483,103484,572,<down>,<down>,1,1
200-3-1,T,14,-1,D,2,104070,3250,107325,107532,107532,555,<down>,<down>,1,1
200-3-1,T,15,-1,R,2,108100,2500,110605,110811,110812,505,<right>,<right>,1,1
200-3-1,T,16,-1,R,1,111329,2750,114085,114291,114291,481,<right>,<left>,0,1
200-3-1,T,17,1,U,1,114793,1500,116299,116505,116506,704,<up>,<up>,1,1
200-3-1,T,18,1,U,2,117224,3250,120479,120686,120687,928,<up>,<up>,1,1
200-3-1,T,19,-1,R,1,121629,3500,125135,125344,125344,561,<right>,<right>,1,1
200-3-1,T,20,1,R,2,125919,2500,128424,128630,128631,544,<right>,<right>,1,1
200-3-1,T,21,-1,D,1,129188,1750,130944,131150,131150,556,<down>,<down>,1,1
200-3-1,T,22,-1,D,2,131718,2250,133974,134181,134181,558,<down>,<down>,1,1
200-3-1,T,23,1,D,2,134758,1750,136513,136719,136719,514,<down>,<down>,1,1
200-3-1,T,24,1,D,2,137249,1500,138753,138960,138960,500,<down>,<down>,1,1
200-3-1,T,25,1,L,1,139477,3250,142733,142939,142940,516,<left>,<left>,1,1
200-3-1,T,26,-1,D,2,143482,3250,146738,146944,146945,487,<down>,<down>,1,1
200-3-1,T,27,1,R,1,147449,3000,150455,150662,150662,471,<right>,<right>,1,1
200-3-1,T,28,-1,D,1,151146,3250,154401,154608,154608,484,<down>,<down>,1,1
200-3-1,T,29,1,R,1,155108,1750,156863,157072,157072,456,<right>,<right>,1,1
200-3-1,T,30,-1,D,2,157539,2750,160295,160502,160503,592,<down>,<down>,1,1
200-3-1,T,31,-1,U,1,161110,3000,164115,164321,164322,540,<up>,<up>,1,1
200-3-1,T,32,1,U,1,164877,1500,166382,166588,166588,573,<up>,<up>,1,1
200-3-1,T,33,-1,D,2,167174,2000,169179,169385,169386,569,<down>,<down>,1,1
200-3-1,T,34,-1,U,2,169970,2500,172476,172682,172683,673,<up>,<up>,1,1
200-3-1,T,35,-1,U,2,173371,2000,175376,175582,175582,671,<up>,<up>,1,1
200-3-1,T,36,-1,D,1,176269,3500,179774,179980,179981,552,<down>,<down>,1,1
200-3-1,T,37,1,L,1,180546,2750,183304,183512,183512,547,<left>,<left>,1,1
200-3-1,T,38,-1,R,2,184073,2750,186829,187035,187035,504,<right>,<right>,1,1
200-3-1,T,39,1,D,2,187553,2750,190309,190518,190518,681,<down>,<down>,1,1
200-3-1,T,40,1,R,2,191230,3250,194486,194692,194693,503,<right>,<right>,1,1
200-3-1,T,41,-1,L,1,195207,2500,197713,197921,197921,530,<left>,<left>,1,1
200-3-1,T,42,1,L,2,198471,3250,201727,201934,201934,540,<left>,<left>,1,1
200-3-1,T,43,1,R,2,202489,3000,205495,205701,205701,658,<right>,<right>,1,1
200-3-1,T,44,-1,U,1,206376,3250,209632,209839,209839,607,<up>,<up>,1,1
200-3-1,T,45,-1,R,2,210458,3000,213463,213669,213669,585,<right>,<right>,1,1
200-3-1,T,46,-1,D,1,214270,3000,217275,217481,217482,545,<down>,<down>,1,1
200-3-1,T,47,1,D,1,218046,2750,220801,221008,221008,506,<down>,<down>,1,1
200-3-1,T,48,1,L,1,221529,3500,225034,225241,225241,513,<left>,<left>,1,1
200-3-1,T,49,1,D,2,225774,2500,228279,228485,228486,590,<down>,<down>,1,1
200-3-1,T,50,1,U,2,229090,2500,231596,231805,231805,607,<up>,<up>,1,1
