subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
100-3-3,P,0,1,R,2,5756,3000,8760,9266,9266,1114,<right>,<right>,1,1
100-3-3,P,0,-1,U,2,10402,3000,13407,13912,13913,445,<up>,<up>,1,1
100-3-3,P,0,-1,D,1,14384,2250,16640,17146,17147,487,<down>,<down>,1,1
100-3-3,P,0,-1,D,1,17662,3500,21167,21672,21673,558,<down>,<down>,1,1
100-3-3,P,0,-1,L,2,22257,1750,24013,24520,24520,537,<left>,<left>,1,1
100-3-3,P,0,-1,R,2,25077,2500,27581,28089,28089,496,<right>,<right>,1,1
100-3-3,P,0,-1,L,1,28606,2750,31362,31867,31868,474,<left>,<left>,1,1
100-3-3,P,0,1,L,1,32365,3250,35621,36129,36129,535,<left>,<left>,1,1
100-3-3,P,0,-1,L,1,40485,2250,42743,42948,42948,505,<left>,<left>,1,1
100-3-3,P,0,1,L,1,43469,1500,44974,45181,45181,490,<left>,<left>,1,1
100-3-3,P,0,-1,U,2,45690,2750,48445,48652,48653,616,<up>,<up>,1,1
100-3-3,P,0,1,D,1,49286,3250,52541,52748,52748,647,<down>,<down>,1,1
100-3-3,P,0,-1,L,2,53424,2500,55929,56134,56135,593,<left>,<left>,1,1
100-3-3,P,0,-1,U,2,56754,3250,60009,60216,60217,561,<up>,<up>,1,1
100-3-3,P,0,-1,D,2,60796,2000,62802,63007,63008,662,<down>,<down>,1,1
100-3-3,P,0,1,U,2,63683,2250,65937,66142,66143,669,<up>,<up>,1,1
100-3-3,T,1,1,D,2,71659,3500,75164,75371,75371,642,<down>,<down>,1,1
100-3-3,T,2,-1,L,1,76030,2500,78536,78741,78742,540,<left>,<left>,1,1
100-3-3,T,3,-1,D,1,79298,2250,81555,81762,81762,600,<down>,<down>,1,1
100-3-3,T,4,-1,D,1,82376,2750,85131,85336,85337,514,<down>,<down>,1,1
100-3-3,T,5,1,D,1,85870,1750,87626,87831,87832,591,<down>,<down>,1,1
100-3-3,T,6,-1,D,2,88441,2500,90947,91152,91152,626,<down>,<down>,1,1
100-3-3,T,7,-1,R,2,91800,2250,94054,94259,94260,612,<right>,<right>,1,1
100-3-3,T,8,1,L,1,94887,1750,96642,96850,96850,531,<left>,<left>,1,1
100-3-3,T,9,1,L,2,97401,1750,99156,99363,99364,558,<left>,<left>,1,1
100-3-3,T,10,-1,U,1,99937,1750,101692,101897,101898,611,<up>,<up>,1,1
100-3-3,T,11,-1,R,1,102520,3250,105775,105980,105981,598,<right>,<right>,1,1
100-3-3,T,12,-1,D,1,106601,1500,108105,108310,108311,584,<down>,<down>,1,1
100-3-3,T,13,1,D,1,108918,2000,110922,111127,111128,554,<down>,<down>,1,1
100-3-3,T,14,-1,U,1,111708,1750,113463,113669,113669,574,<up>,<up>,1,1
100-3-3,T,15,1,U,2,114255,2750,117011,117217,117218,523,<up>,<up>,1,1
100-3-3,T,16,1,U,1,117767,3500,121273,121479,121480,523,<up>,<up>,1,1
100-3-3,T,17,1,R,2,122019,2750,124775,124982,124982,575,<right>,<right>,1,1
100-3-3,T,18,1,L,2,125577,3500,129083,129290,129290,562,<left>,<left>,1,1
