subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
103-2-3,P,0,1,R,1,8878,3250,12134,12639,12639,531,<right>,<right>,1,1
103-2-3,P,0,-1,L,1,13195,3500,16701,17207,17208,547,<left>,<left>,1,1
103-2-3,P,0,-1,D,2,17773,3500,21278,21783,21783,925,<down>,<down>,1,1
103-2-3,P,0,1,R,1,22722,3250,25977,26484,26484,545,<right>,<right>,1,1
103-2-3,P,0,1,D,1,27059,1500,28565,29072,29072,732,<down>,<down>,1,1
103-2-3,P,0,1,U,1,29815,2500,32321,32827,32828,605,<up>,<up>,1,1
103-2-3,P,0,-1,L,2,33451,1500,34956,35461,35461,538,<left>,<left>,1,1
103-2-3,P,0,1,U,2,36024,2500,38529,39035,39035,562,<up>,<up>,1,1
103-2-3,P,0,1,R,2,42185,2500,44689,44894,44895,735,<right>,<right>,1,1
103-2-3,P,0,1,L,2,45644,1750,47398,47605,47605,654,<left>,<left>,1,1
103-2-3,P,0,1,U,2,48274,1500,49780,49987,49987,488,<up>,<right>,0,0
103-2-3,P,0,-1,L,1,50490,3250,53745,53950,53951,461,<left>,<left>,1,1
103-2-3,P,0,-1,L,1,54428,2250,56683,56889,56889,487,<left>,<left>,1,1
103-2-3,P,0,1,R,1,57393,2750,60147,60354,60354,492,<right>,<right>,1,1
103-2-3,P,0,1,U,2,60859,2500,63364,63569,63569,657,<up>,<up>,1,1
103-2-3,P,0,1,R,1,64241,2250,66496,66701,66702,545,<right>,<right>,1,1
103-2-3,T,1,1,R,1,71023,2250,73277,73482,73483,498,<right>,<right>,1,1
103-2-3,T,2,-1,R,1,74003,3000,77008,77213,77213,737,<right>,<right>,1,1
103-2-3,T,3,1,D,2,77966,2500,80470,80675,80676,980,<down>,<down>,1,1
103-2-3,T,4,1,U,1,81670,3250,84925,85133,85133,586,<up>,<up>,1,1
103-2-3,T,5,-1,U,1,85735,2000,87740,87945,87946,645,<up>,<up>,1,1
103-2-3,T,6,-1,D,1,88607,2750,91362,91568,91569,1007,<down>,<down>,1,1
