subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
207-2-4,P,0,-1,D,2,6173,3500,9682,10193,10195,587,<down>,<down>,1,1
207-2-4,P,0,1,D,1,10845,2500,13354,13866,13868,611,<down>,<down>,1,1
207-2-4,P,0,1,D,1,14539,3250,17800,18311,18312,776,<down>,<down>,1,1
207-2-4,P,0,-1,U,1,19144,1750,20903,21415,21416,729,<up>,<up>,1,1
207-2-4,P,0,1,U,1,22210,2000,24220,24733,24735,572,<up>,<up>,1,1
207-2-4,P,0,1,D,2,25377,1750,27137,27650,27652,640,<down>,<down>,1,1
207-2-4,P,0,1,D,2,28348,2250,30607,31118,31120,631,<down>,<down>,1,1
207-2-4,P,0,1,L,2,31819,1500,33328,33841,33842,572,<left>,<left>,1,1
207-2-4,P,0,-1,L,2,36397,2250,38658,38869,38871,678,<left>,<left>,1,1
207-2-4,P,0,-1,R,1,39608,2250,41868,42079,42080,640,<right>,<right>,1,1
207-2-4,P,0,-1,D,1,42783,1750,44542,44756,44757,520,<down>,<down>,1,1
207-2-4,P,0,1,L,2,45337,3500,48848,49059,49061,572,<left>,<left>,1,1
207-2-4,P,0,1,U,1,49679,3000,52690,52902,52903,574,<up>,<up>,1,1
207-2-4,P,0,1,L,2,53544,2500,56054,56268,56269,660,<left>,<left>,1,1
207-2-4,P,0,-1,R,2,56992,3000,60002,60213,60214,571,<right>,<right>,1,1
207-2-4,P,0,1,D,1,60849,3250,64109,64320,64322,666,<down>,<down>,1,1
207-2-4,T,1,-1,U,2,66667,3250,69928,70139,70140,716,<up>,<up>,1,1
207-2-4,T,2,1,R,2,70906,3250,74168,74380,74381,569,<right>,<right>,1,1
207-2-4,T,3,1,D,2,75019,2500,77528,77740,77742,563,<down>,<down>,1,1
207-2-4,T,4,1,R,1,78364,3500,81873,82086,82087,553,<right>,<right>,1,1
207-2-4,T,5,1,R,2,82698,1500,84208,84419,84420,591,<right>,<right>,1,1
207-2-4,T,6,1,D,1,85067,2500,87579,87791,87793,614,<down>,<down>,1,1
207-2-4,T,7,1,L,1,88472,2750,91232,91443,91445,501,<left>,<left>,1,1
207-2-4,T,8,-1,L,2,92008,3500,95517,95728,95729,620,<left>,<right>,0,1
207-2-4,T,9,1,D,2,96406,2250,98667,98880,98881,635,<down>,<down>,1,1
207-2-4,T,10,1,R,2,99572,2750,102331,102543,102544,577,<right>,<right>,1,1
207-2-4,T,11,1,U,2,103183,2500,105692,105904,105905,635,<up>,<up>,1,1
207-2-4,T,12,1,R,2,106607,3000,109617,109828,109829,618,<right>,<right>,1,1
207-2-4,T,13,1,R,1,110504,1500,112013,112226,112227,604,<right>,<right>,1,1
207-2-4,T,14,-1,R,2,112883,3500,116392,116603,116604,799,<right>,<right>,1,1
207-2-4,T,15,-1,D,2,117467,2750,120226,120439,120441,667,<down>,<down>,1,1
207-2-4,T,16,1,D,1,121172,2750,123932,124145,124146,684,<down>,<down>,1,1
207-2-4,T,17,-1,U,1,124880,3000,127889,128101,128103,709,<up>,<up>,1,1
207-2-4,T,18,-1,D,1,128869,3500,132378,132591,132592,595,<down>,<down>,1,1
207-2-4,T,19,-1,R,2,133248,1500,134759,134971,134972,730,<right>,<right>,1,1
207-2-4,T,20,-1,L,1,135759,2250,138017,138229,138230,513,<left>,<left>,1,1
207-2-4,T,21,1,L,1,138791,2750,141550,141762,141763,601,<left>,<left>,1,1
207-2-4,T,22,1,L,1,142426,2250,144686,144898,144900,587,<left>,<left>,1,1
207-2-4,T,23,1,R,1,145545,2250,147805,148017,148019,508,<right>,<right>,1,1
207-2-4,T,24,1,L,1,148583,2000,150593,150805,150807,664,<left>,<left>,1,1
207-2-4,T,25,1,L,1,151533,2750,154293,154504,154505,639,<left>,<left>,1,1
207-2-4,T,26,-1,D,1,155204,2500,157714,157926,157927,614,<down>,<down>,1,1
207-2-4,T,27,1,U,2,158610,2000,160619,160833,160834,752,<up>,<up>,1,1
207-2-4,T,28,1,U,2,161642,3500,165152,165365,165366,832,<up>,<up>,1,1
207-2-4,T,29,-1,R,1,166261,3250,169523,169735,169736,629,<right>,<right>,1,1
207-2-4,T,30,1,U,2,170434,2500,172945,173157,173158,719,<up>,<up>,1,1
207-2-4,T,31,1,R,1,173941,1750,175700,175911,175913,517,<right>,<right>,1,1
