subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
115-2-3,P,0,1,U,2,8548,2250,10804,11311,11311,643,<up>,<up>,1,1
115-2-3,P,0,-1,U,2,11973,2250,14230,14737,14737,471,<up>,<up>,1,1
115-2-3,P,0,-1,L,2,15235,3250,18491,18997,18997,474,<left>,<left>,1,1
115-2-3,P,0,-1,R,1,19496,3500,23003,23512,23513,532,<right>,<right>,1,1
115-2-3,P,0,-1,U,1,24068,2750,26823,27329,27330,490,<up>,<up>,1,1
115-2-3,P,0,-1,D,2,27845,3250,31102,31608,31608,695,<down>,<down>,1,1
115-2-3,P,0,1,D,1,32316,2750,35071,35579,35580,630,<down>,<down>,1,1
115-2-3,P,0,1,U,2,36222,3250,39479,39986,39986,521,<up>,<down>,0,1
115-2-3,P,0,1,D,1,44200,1500,45705,45911,45912,560,<down>,<down>,1,1
115-2-3,P,0,-1,D,1,46483,1750,48238,48444,48445,492,<down>,<left>,0,0
115-2-3,P,0,1,L,1,48950,2750,51706,51912,51913,569,<left>,<left>,1,1
115-2-3,P,0,1,L,1,52493,3250,55749,55955,55955,539,<left>,<left>,1,1
115-2-3,P,0,-1,D,2,56507,2000,58513,58719,58720,629,<down>,<down>,1,1
115-2-3,P,0,-1,L,2,59358,2000,61364,61573,61573,532,<left>,<left>,1,1
115-2-3,P,0,-1,L,1,62116,3000,65122,65331,65331,524,<left>,<left>,1,1
115-2-3,P,0,1,L,1,65866,2250,68121,68327,68327,536,<left>,<left>,1,1
115-2-3,T,1,1,L,1,72265,1500,73772,73978,73979,488,<left>,<left>,1,1
115-2-3,T,2,-1,D,1,74479,2750,77235,77441,77442,527,<down>,<down>,1,1
115-2-3,T,3,1,L,1,77982,2250,80237,80443,80444,487,<left>,<left>,1,1
115-2-3,T,4,-1,R,1,80944,2250,83199,83405,83406,697,<right>,<right>,1,1
115-2-3,T,5,1,U,2,84114,2000,86120,86328,86328,738,<up>,<up>,1,1
115-2-3,T,6,-1,U,2,87077,1500,88583,88791,88791,593,<up>,<up>,1,1
115-2-3,T,7,-1,D,2,89396,3000,92402,92610,92610,690,<down>,<down>,1,1
115-2-3,T,8,1,D,2,93311,1750,95067,95273,95274,665,<down>,<down>,1,1
115-2-3,T,9,1,L,1,95949,3250,99204,99410,99411,588,<left>,<left>,1,1
115-2-3,T,10,-1,L,2,100011,3250,103267,103473,103473,634,<left>,<left>,1,1
115-2-3,T,11,-1,L,1,104119,3000,107125,107331,107332,476,<left>,<left>,1,1
115-2-3,T,12,-1,U,2,107817,1750,109572,109778,109778,651,<up>,<up>,1,1
115-2-3,T,13,-1,R,1,110440,2500,112946,113152,113152,729,<right>,<right>,1,1
115-2-3,T,14,1,D,1,113892,1750,115647,115855,115856,813,<down>,<down>,1,1
115-2-3,T,15,1,D,1,116682,1500,118188,118394,118394,629,<down>,<down>,1,1
115-2-3,T,16,1,R,2,119037,3250,122293,122501,122502,634,<right>,<right>,1,1
115-2-3,T,17,1,R,2,123148,1500,124654,124862,124863,898,<right>,<right>,1,1
115-2-3,T,18,1,L,2,125772,2000,127778,127985,127985,678,<left>,<left>,1,1
115-2-3,T,19,-1,L,2,128674,2250,130930,131136,131137,601,<left>,<left>,1,1
115-2-3,T,20,1,R,1,131750,3000,134757,134965,134965,653,<right>,<right>,1,1
115-2-3,T,21,1,U,1,135631,3500,139136,139345,139345,629,<up>,<up>,1,1
115-2-3,T,22,-1,R,1,139986,2250,142241,142449,142449,537,<right>,<right>,1,1
115-2-3,T,23,1,U,1,142996,3000,146002,146210,146210,530,<up>,<up>,1,1
115-2-3,T,24,1,D,2,146751,2000,148756,148962,148963,638,<down>,<up>,0,1
115-2-3,T,25,1,U,2,149614,3500,153120,153326,153327,678,<up>,<up>,1,1
115-2-3,T,26,-1,D,1,154017,2750,156773,156979,156980,678,<down>,<down>,1,1
115-2-3,T,27,1,R,2,157671,3250,160927,161133,161134,622,<right>,<right>,1,1
115-2-3,T,28,-1,U,2,161768,2500,164274,164480,164480,717,<up>,<up>,1,1
115-2-3,T,29,1,D,1,165210,2250,167466,167674,167674,687,<down>,<down>,1,1
115-2-3,T,30,-1,L,1,168374,2000,170379,170585,170585,527,<left>,<left>,1,1
115-2-3,T,31,-1,D,2,171123,2500,173631,173839,173839,744,<down>,<down>,1,1
115-2-3,T,32,-1,D,2,174594,3500,178101,178307,178307,585,<down>,<down>,1,1
115-2-3,T,33,1,R,1,178901,3250,182159,182367,182367,698,<right>,<right>,1,1
115-2-3,T,34,-1,L,2,183076,2750,185831,186037,186037,681,<left>,<left>,1,1
115-2-3,T,35,1,D,1,186727,1500,188232,188438,188438,637,<down>,<down>,1,1
115-2-3,T,36,1,L,1,189087,3000,192095,192303,192303,682,<left>,<left>,1,1
115-2-3,T,37,1,U,1,192998,1750,194754,194960,194960,697,<up>,<up>,1,1
115-2-3,T,38,-1,D,2,195666,1750,197421,197627,197628,781,<down>,<down>,1,1
115-2-3,T,39,1,U,2,198421,3500,201927,202136,202136,762,<up>,<up>,1,1
115-2-3,T,40,-1,U,2,202907,1750,204663,204871,204871,665,<up>,<up>,1,1
115-2-3,T,41,-1,L,1,205549,2000,207554,207761,207761,519,<left>,<left>,1,1
115-2-3,T,42,-1,L,2,208295,3000,211301,211507,211508,539,<left>,<left>,1,1
115-2-3,T,43,1,U,1,212058,2000,214064,214271,214272,1039,<up>,<up>,1,1
115-2-3,T,44,1,U,2,215323,1500,216828,217035,217035,655,<up>,<up>,1,1
115-2-3,T,45,1,L,2,217701,3250,220957,221165,221165,682,<left>,<left>,1,1
115-2-3,T,46,-1,D,1,221860,1500,223366,223575,223575,776,<down>,<down>,1,1
115-2-3,T,47,-1,L,2,224363,2250,226620,226828,226828,616,<left>,<left>,1,1
115-2-3,T,48,-1,U,1,227457,3500,230963,231169,231170,588,<up>,<up>,1,1
115-2-3,T,49,1,D,2,231770,2250,234026,234232,234233,721,<down>,<down>,1,1
115-2-3,T,50,-1,R,1,234965,1750,236721,236928,236929,585,<right>,<right>,1,1
