subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
114-4-1,4,1,PRACTICE,-25,1,1,1,1,5782,1,593,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-24,1,4,0,0,7538,2,417,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-23,1,3,1,0,9074,1,336,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-22,1,2,0,1,10420,2,434,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-21,1,4,0,0,12095,2,505,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-20,1,1,1,1,13583,1,388,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-19,1,2,0,1,15301,2,519,1,NA,0,0,0
114-4-1,4,1,PRACTICE,-18,1,3,1,0,16965,1,333,1,NA,0,0,0
114-4-1,4,1,TEST,1,1,1,1,1,18544,1,413,1,NA,0,0,0
114-4-1,4,1,TEST,2,1,4,0,0,19811,2,501,1,NA,0,0,0
114-4-1,4,1,TEST,3,1,3,1,0,21203,1,474,1,NA,0,0,0
114-4-1,4,1,TEST,4,1,2,0,1,22853,2,421,1,NA,0,0,0
114-4-1,4,1,TEST,5,1,3,1,0,24250,1,493,1,NA,0,0,0
114-4-1,4,1,TEST,6,1,4,0,0,26023,2,376,1,NA,0,0,0
114-4-1,4,1,TEST,7,1,1,1,1,27386,1,438,1,NA,0,0,0
114-4-1,4,1,TEST,8,1,2,0,1,28884,2,387,1,NA,0,0,0
114-4-1,4,1,TEST,9,1,3,1,0,30118,1,569,1,NA,0,0,0
114-4-1,4,1,TEST,10,1,4,0,0,31625,2,500,1,NA,0,0,0
114-4-1,4,1,TEST,11,1,1,1,1,33245,1,518,1,NA,0,0,0
114-4-1,4,1,TEST,12,1,2,0,1,34774,2,452,1,NA,0,0,0
114-4-1,4,1,TEST,13,1,4,0,0,36520,2,363,1,NA,0,0,0
