subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
208-1-3,4,1,PRACTICE,-25,1,1,1,1,12169,1,453,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-24,1,3,1,0,13651,1,451,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-23,1,4,0,0,15396,2,395,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-22,1,2,0,1,16862,2,399,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-21,1,3,1,0,18324,1,461,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-20,1,2,0,1,19941,2,402,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-19,1,1,1,1,21576,1,418,1,NA,0,0,0
208-1-3,4,1,PRACTICE,-18,1,4,0,0,22954,2,303,1,NA,0,0,0
208-1-3,4,1,TEST,1,1,2,0,1,24398,2,359,1,NA,0,0,0
208-1-3,4,1,TEST,2,1,1,1,1,25901,1,391,1,NA,0,0,0
208-1-3,4,1,TEST,3,1,3,1,0,27614,1,404,1,NA,0,0,0
208-1-3,4,1,TEST,4,1,4,0,0,29119,2,377,1,NA,0,0,0
208-1-3,4,1,TEST,5,1,2,0,1,30580,2,346,1,NA,0,0,0
208-1-3,4,1,TEST,6,1,1,1,1,32020,1,386,1,NA,0,0,0
208-1-3,4,1,TEST,7,1,3,1,0,33556,1,391,1,NA,0,0,0
208-1-3,4,1,TEST,8,1,4,0,0,34995,2,328,1,NA,0,0,0
208-1-3,4,1,TEST,9,1,1,1,1,36258,1,398,1,NA,0,0,0
208-1-3,4,1,TEST,10,1,2,0,1,37581,2,374,1,NA,0,0,0
208-1-3,4,1,TEST,11,1,4,0,0,39017,2,399,1,NA,0,0,0
208-1-3,4,1,TEST,12,1,3,1,0,40750,1,568,1,NA,0,0,0
208-1-3,4,1,TEST,13,1,4,0,0,42522,2,401,1,NA,0,0,0
208-1-3,4,1,TEST,14,1,2,0,1,43971,2,396,1,NA,0,0,0
208-1-3,4,1,TEST,15,1,1,1,1,45681,1,403,1,NA,0,0,0
208-1-3,4,1,TEST,16,1,3,1,0,47081,1,496,1,NA,0,0,0
208-1-3,4,1,TEST,17,1,2,0,1,48707,2,398,1,NA,0,0,0
208-1-3,4,1,TEST,18,1,4,0,0,50199,2,338,1,NA,0,0,0
208-1-3,4,1,TEST,19,1,1,1,1,51732,1,399,1,NA,0,0,0
208-1-3,4,1,TEST,20,1,3,1,0,53460,1,334,1,NA,0,0,0
208-1-3,4,1,TEST,21,1,4,0,0,54875,2,424,1,NA,0,0,0
208-1-3,4,1,TEST,22,1,1,1,1,56598,1,358,1,NA,0,0,0
208-1-3,4,1,TEST,23,1,3,1,0,58204,1,408,1,NA,0,0,0
208-1-3,4,1,TEST,24,1,2,0,1,59848,1,385,0,NA,0,0,0
