subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
207-3-4,P,0,-1,U,1,4655,2000,6660,7166,7166,466,<up>,<up>,1,1
207-3-4,P,0,-1,L,1,7659,1500,9164,9670,9670,501,<left>,<left>,1,1
207-3-4,P,0,1,U,1,10193,2500,12698,13204,13205,482,<up>,<up>,1,1
207-3-4,P,0,1,U,1,13709,2750,16465,16972,16972,470,<up>,<up>,1,1
207-3-4,P,0,-1,D,2,17466,2500,19970,20475,20475,610,<down>,<down>,1,1
207-3-4,P,0,-1,L,2,21098,1500,22605,23111,23112,568,<left>,<left>,1,1
207-3-4,P,0,-1,R,2,23706,3000,26712,27218,27219,536,<right>,<right>,1,1
207-3-4,P,0,-1,R,1,27773,3500,31279,31786,31786,719,<right>,<right>,1,1
207-3-4,P,0,-1,L,1,34468,2750,37224,37431,37432,598,<left>,<left>,1,1
207-3-4,P,0,-1,U,1,38041,3500,41546,41753,41753,525,<up>,<up>,1,1
207-3-4,P,0,1,D,1,42291,3250,45546,45751,45752,587,<down>,<down>,1,1
207-3-4,P,0,1,R,1,46352,1750,48107,48314,48315,518,<right>,<right>,1,1
207-3-4,P,0,-1,R,2,48848,3000,51853,52060,52060,606,<right>,<right>,1,1
207-3-4,P,0,-1,L,1,52676,2750,55430,55635,55636,616,<left>,<left>,1,1
207-3-4,P,0,1,D,2,56263,3500,59769,59976,59976,703,<down>,<down>,1,1
207-3-4,P,0,1,U,2,60688,2750,63442,63647,63648,556,<up>,<up>,1,1
207-3-4,T,1,1,D,2,65861,2000,67865,68070,68070,624,<down>,<down>,1,1
207-3-4,T,2,-1,U,2,68705,2500,71209,71414,71415,1143,<up>,<down>,0,1
207-3-4,T,3,1,R,1,72569,2500,75075,75282,75282,546,<right>,<right>,1,1
207-3-4,T,4,1,L,1,75840,2750,78596,78802,78802,616,<left>,<left>,1,1
207-3-4,T,5,1,U,1,79428,1500,80932,81137,81138,525,<up>,<up>,1,1
207-3-4,T,6,1,U,1,81674,2750,84428,84635,84635,489,<up>,<up>,1,1
207-3-4,T,7,1,D,2,85142,1750,86896,87103,87103,562,<down>,<down>,1,1
207-3-4,T,8,-1,R,2,87684,3500,91190,91397,91397,910,<right>,<right>,1,1
207-3-4,T,9,1,R,2,92320,3250,95574,95779,95780,580,<right>,<right>,1,1
207-3-4,T,10,1,D,1,96373,2500,98878,99085,99085,565,<down>,<down>,1,1
207-3-4,T,11,1,U,2,99662,3000,102668,102875,102875,598,<up>,<up>,1,1
207-3-4,T,12,1,R,1,103485,2250,105741,105948,105948,522,<right>,<right>,1,1
207-3-4,T,13,1,D,2,106484,2500,108988,109193,109194,613,<down>,<down>,1,1
207-3-4,T,14,1,R,1,109816,1750,111571,111778,111778,613,<right>,<right>,1,1
207-3-4,T,15,-1,U,2,112403,3500,115908,116115,116115,643,<up>,<up>,1,1
207-3-4,T,16,1,D,1,116769,3000,119774,119981,119981,638,<down>,<down>,1,1
207-3-4,T,17,1,U,1,120631,3000,123636,123842,123842,505,<up>,<up>,1,1
