subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
202-3-1,4,1,PRACTICE,-25,1,3,1,0,7620,1,506,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-24,1,2,0,1,9019,2,290,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-23,1,1,1,1,10319,1,256,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-22,1,4,0,0,11432,2,297,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-21,1,4,0,0,12873,2,449,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-20,1,1,1,1,14520,1,327,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-19,1,2,0,1,16154,2,408,1,NA,0,0,0
202-3-1,4,1,PRACTICE,-18,1,3,1,0,17413,1,374,1,NA,0,0,0
202-3-1,4,1,TEST,1,1,2,0,1,18971,2,351,1,NA,0,0,0
202-3-1,4,1,TEST,2,1,1,1,1,20454,1,326,1,NA,0,0,0
202-3-1,4,1,TEST,3,1,4,0,0,21876,2,652,1,NA,0,0,0
202-3-1,4,1,TEST,4,1,3,1,0,23605,1,376,1,NA,0,0,0
202-3-1,4,1,TEST,5,1,2,0,1,24927,2,487,1,NA,0,0,0
202-3-1,4,1,TEST,6,1,1,1,1,26507,1,537,1,NA,0,0,0
202-3-1,4,1,TEST,7,1,4,0,0,27925,2,517,1,NA,0,0,0
202-3-1,4,1,TEST,8,1,3,1,0,29542,1,380,1,NA,0,0,0
202-3-1,4,1,TEST,9,1,2,0,1,31238,2,458,1,NA,0,0,0
202-3-1,4,1,TEST,10,1,3,1,0,32849,1,337,1,NA,0,0,0
202-3-1,4,1,TEST,11,1,1,1,1,34434,1,468,1,NA,0,0,0
202-3-1,4,1,TEST,12,1,4,0,0,36186,2,339,1,NA,0,0,0
202-3-1,4,1,TEST,13,1,1,1,1,37601,1,325,1,NA,0,0,0
202-3-1,4,1,TEST,14,1,2,0,1,38793,2,397,1,NA,0,0,0
202-3-1,4,1,TEST,15,1,3,1,0,40412,1,406,1,NA,0,0,0
202-3-1,4,1,TEST,16,1,4,0,0,41782,2,318,1,NA,0,0,0
202-3-1,4,1,TEST,17,1,3,1,0,43154,1,377,1,NA,0,0,0
202-3-1,4,1,TEST,18,1,2,0,1,44422,2,312,1,NA,0,0,0
202-3-1,4,1,TEST,19,1,1,1,1,45935,1,524,1,NA,0,0,0
202-3-1,4,1,TEST,20,1,4,0,0,47556,2,326,1,NA,0,0,0
202-3-1,4,1,TEST,21,1,1,1,1,49202,1,320,1,NA,0,0,0
202-3-1,4,1,TEST,22,1,2,0,1,50607,2,340,1,NA,0,0,0
202-3-1,4,1,TEST,23,1,3,1,0,52122,1,300,1,NA,0,0,0
202-3-1,4,1,TEST,24,1,4,0,0,53698,2,356,1,NA,0,0,0
202-3-1,4,1,TEST,25,1,1,1,1,55093,1,367,1,NA,0,0,0
202-3-1,4,2,PRACTICE,-25,2,1,1,1,60026,NA,0,0,9,564,1,0
202-3-1,4,2,PRACTICE,-24,2,2,0,1,61723,NA,0,0,0,330,0,0
202-3-1,4,2,PRACTICE,-23,2,4,0,0,63461,NA,0,0,0,422,1,0
202-3-1,4,2,PRACTICE,-22,2,3,1,0,65125,NA,0,0,0,423,1,0
202-3-1,4,2,PRACTICE,-21,2,4,0,0,66834,NA,0,0,0,434,1,0
202-3-1,4,2,PRACTICE,-20,2,3,1,0,68404,NA,0,0,0,472,1,0
202-3-1,4,2,PRACTICE,-19,2,2,0,1,69944,NA,0,0,9,459,1,0
202-3-1,4,2,PRACTICE,-18,2,1,1,1,71679,NA,0,0,9,516,1,0
202-3-1,4,2,TEST,1,2,2,0,1,73259,NA,0,0,9,610,1,0
