subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
115-3-3,4,1,PRACTICE,-25,1,2,0,1,9866,2,464,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-24,1,4,0,0,11347,2,405,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-23,1,1,1,1,13083,1,334,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-22,1,3,1,0,14572,1,356,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-21,1,3,1,0,15846,1,474,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-20,1,2,0,1,17417,2,478,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-19,1,4,0,0,18841,2,556,1,NA,0,0,0
115-3-3,4,1,PRACTICE,-18,1,1,1,1,20518,1,487,1,NA,0,0,0
115-3-3,4,1,TEST,1,1,2,0,1,22011,2,361,1,NA,0,0,0
115-3-3,4,1,TEST,2,1,4,0,0,23471,2,358,1,NA,0,0,0
115-3-3,4,1,TEST,3,1,1,1,1,24774,1,358,1,NA,0,0,0
115-3-3,4,1,TEST,4,1,3,1,0,25974,1,478,1,NA,0,0,0
115-3-3,4,1,TEST,5,1,4,0,0,27600,2,325,1,NA,0,0,0
115-3-3,4,1,TEST,6,1,2,0,1,28892,2,436,1,NA,0,0,0
115-3-3,4,1,TEST,7,1,3,1,0,30644,1,392,1,NA,0,0,0
115-3-3,4,1,TEST,8,1,1,1,1,32066,2,365,0,NA,0,0,0
115-3-3,4,1,TEST,9,1,3,1,0,33834,1,337,1,NA,0,0,0
115-3-3,4,1,TEST,10,1,4,0,0,35325,2,451,1,NA,0,0,0
115-3-3,4,1,TEST,11,1,2,0,1,36998,2,347,1,NA,0,0,0
115-3-3,4,1,TEST,12,1,1,1,1,38355,1,392,1,NA,0,0,0
115-3-3,4,1,TEST,13,1,2,0,1,39788,1,330,0,NA,0,0,0
115-3-3,4,1,TEST,14,1,1,1,1,41489,1,504,1,NA,0,0,0
115-3-3,4,1,TEST,15,1,3,1,0,43140,1,393,1,NA,0,0,0
115-3-3,4,1,TEST,16,1,4,0,0,44713,2,482,1,NA,0,0,0
115-3-3,4,1,TEST,17,1,3,1,0,46375,1,366,1,NA,0,0,0
115-3-3,4,1,TEST,18,1,4,0,0,47764,2,420,1,NA,0,0,0
115-3-3,4,1,TEST,19,1,1,1,1,49449,2,382,0,NA,0,0,0
115-3-3,4,1,TEST,20,1,2,0,1,51424,1,301,0,NA,0,0,0
115-3-3,4,1,TEST,21,1,3,1,0,53371,1,584,1,NA,0,0,0
115-3-3,4,1,TEST,22,1,4,0,0,54985,2,339,1,NA,0,0,0
115-3-3,4,1,TEST,23,1,2,0,1,56327,2,398,1,NA,0,0,0
115-3-3,4,1,TEST,24,1,1,1,1,57877,1,418,1,NA,0,0,0
115-3-3,4,1,TEST,25,1,3,1,0,59180,1,406,1,NA,0,0,0
115-3-3,4,2,PRACTICE,-25,2,1,1,1,64168,NA,0,0,9,516,1,0
115-3-3,4,2,PRACTICE,-24,2,2,0,1,65678,NA,0,0,0,290,0,0
115-3-3,4,2,PRACTICE,-23,2,3,1,0,67652,NA,0,0,0,373,1,0
115-3-3,4,2,PRACTICE,-22,2,4,0,0,68958,NA,0,0,0,397,1,0
115-3-3,4,2,PRACTICE,-21,2,4,0,0,70274,NA,0,0,0,288,1,0
115-3-3,4,2,PRACTICE,-20,2,1,1,1,71576,NA,0,0,9,630,1,0
115-3-3,4,2,PRACTICE,-19,2,2,0,1,73250,NA,0,0,9,614,1,0
115-3-3,4,2,PRACTICE,-18,2,3,1,0,75160,NA,0,0,0,298,1,0
115-3-3,4,2,TEST,1,2,3,1,0,76401,NA,0,0,0,374,1,0
115-3-3,4,2,TEST,2,2,1,1,1,78019,NA,0,0,9,435,1,0
115-3-3,4,2,TEST,3,2,4,0,0,79425,NA,0,0,0,408,1,0
115-3-3,4,2,TEST,4,2,2,0,1,80972,NA,0,0,0,268,0,0
115-3-3,4,2,TEST,5,2,1,1,1,82942,NA,0,0,9,433,1,0
115-3-3,4,2,TEST,6,2,3,1,0,84563,NA,0,0,9,315,0,0
115-3-3,4,2,TEST,7,2,4,0,0,86215,NA,0,0,0,268,1,0
115-3-3,4,2,TEST,8,2,2,0,1,87392,NA,0,0,0,264,0,0
115-3-3,4,2,TEST,9,2,1,1,1,89078,NA,0,0,9,505,1,0
115-3-3,4,2,TEST,10,2,3,1,0,90693,NA,0,0,0,301,1,0
115-3-3,4,2,TEST,11,2,4,0,0,92233,NA,0,0,0,262,1,0
115-3-3,4,2,TEST,12,2,2,0,1,93404,NA,0,0,9,393,1,0
115-3-3,4,2,TEST,13,2,1,1,1,94872,NA,0,0,9,416,1,0
115-3-3,4,2,TEST,14,2,4,0,0,96590,NA,0,0,0,444,1,0
115-3-3,4,2,TEST,15,2,3,1,0,97996,NA,0,0,0,498,1,0
115-3-3,4,2,TEST,16,2,2,0,1,99595,NA,0,0,9,396,1,0
