subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
100-3-1,4,1,PRACTICE,-25,1,4,0,0,9132,2,466,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-24,1,2,0,1,10803,2,502,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-23,1,3,1,0,12323,1,462,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-22,1,1,1,1,13834,1,401,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-21,1,3,1,0,15094,1,440,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-20,1,1,1,1,16627,1,358,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-19,1,2,0,1,17999,2,411,1,NA,0,0,0
100-3-1,4,1,PRACTICE,-18,1,4,0,0,19688,2,374,1,NA,0,0,0
100-3-1,4,1,TEST,1,1,2,0,1,21000,2,430,1,NA,0,0,0
100-3-1,4,1,TEST,2,1,3,1,0,22622,1,386,1,NA,0,0,0
100-3-1,4,1,TEST,3,1,1,1,1,24261,1,408,1,NA,0,0,0
100-3-1,4,1,TEST,4,1,4,0,0,25600,2,394,1,NA,0,0,0
100-3-1,4,1,TEST,5,1,2,0,1,27042,2,440,1,NA,0,0,0
100-3-1,4,1,TEST,6,1,4,0,0,28722,2,439,1,NA,0,0,0
100-3-1,4,1,TEST,7,1,1,1,1,30432,1,359,1,NA,0,0,0
100-3-1,4,1,TEST,8,1,3,1,0,32098,1,398,1,NA,0,0,0
100-3-1,4,1,TEST,9,1,2,0,1,33712,2,404,1,NA,0,0,0
100-3-1,4,1,TEST,10,1,4,0,0,35135,2,408,1,NA,0,0,0
100-3-1,4,1,TEST,11,1,1,1,1,36557,1,393,1,NA,0,0,0
100-3-1,4,1,TEST,12,1,3,1,0,38038,1,395,1,NA,0,0,0
100-3-1,4,1,TEST,13,1,4,0,0,39592,2,406,1,NA,0,0,0
100-3-1,4,1,TEST,14,1,3,1,0,40953,1,406,1,NA,0,0,0
