subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
110-3-4,P,0,-1,L,1,2969,1500,4474,4981,4981,605,<left>,<left>,1,1
110-3-4,P,0,-1,R,2,5605,2250,7860,8366,8366,545,<right>,<right>,1,1
110-3-4,P,0,-1,D,1,8932,2500,11436,11942,11942,570,<down>,<down>,1,1
110-3-4,P,0,-1,D,2,12538,2000,14543,15050,15051,1025,<down>,<down>,1,1
110-3-4,P,0,1,D,2,16090,2250,18345,18851,18852,629,<down>,<down>,1,1
110-3-4,P,0,-1,L,1,19497,2500,22003,22511,22511,583,<left>,<left>,1,1
110-3-4,P,0,1,U,2,23108,1750,24865,25371,25371,639,<up>,<up>,1,1
110-3-4,P,0,1,L,2,26035,3000,29042,29548,29548,489,<left>,<left>,1,1
110-3-4,P,0,-1,L,1,31970,1750,33725,33932,33932,601,<left>,<left>,1,1
110-3-4,P,0,-1,L,2,34545,1750,36300,36506,36507,596,<left>,<left>,1,1
110-3-4,P,0,1,U,2,37118,1750,38874,39080,39080,614,<up>,<up>,1,1
110-3-4,P,0,1,D,1,39708,3500,43214,43420,43421,624,<down>,<down>,1,1
110-3-4,P,0,-1,R,2,44062,2750,46818,47024,47025,685,<right>,<right>,1,1
110-3-4,P,0,1,R,2,47724,3250,50978,51185,51186,855,<right>,<right>,1,1
110-3-4,P,0,-1,U,1,52053,3000,55059,55267,55267,559,<up>,<up>,1,1
110-3-4,P,0,-1,U,1,55843,2000,57850,58056,58056,606,<up>,<up>,1,1
110-3-4,T,1,1,D,1,60629,2500,63135,63341,63342,614,<down>,<down>,1,1
110-3-4,T,2,-1,L,2,63969,1750,65725,65933,65933,638,<left>,<left>,1,1
110-3-4,T,3,-1,L,2,66587,1750,68343,68551,68551,621,<left>,<left>,1,1
110-3-4,T,4,-1,R,2,69184,3500,72690,72896,72896,733,<right>,<right>,1,1
110-3-4,T,5,-1,U,2,73642,2500,76147,76353,76353,612,<up>,<up>,1,1
110-3-4,T,6,-1,U,1,76982,2000,78987,79194,79194,569,<up>,<up>,1,1
110-3-4,T,7,-1,D,2,79775,1500,81281,81488,81488,839,<down>,<down>,1,1
110-3-4,T,8,1,U,1,82340,3250,85597,85805,85805,566,<up>,<up>,1,1
110-3-4,T,9,-1,R,1,86383,3250,89638,89844,89844,591,<right>,<right>,1,1
110-3-4,T,10,1,U,1,90450,3500,93956,94162,94162,570,<up>,<up>,1,1
110-3-4,T,11,-1,L,1,94742,3500,98247,98453,98453,535,<left>,<left>,1,1
110-3-4,T,12,1,L,2,99000,1500,100506,100712,100712,691,<left>,<left>,1,1
110-3-4,T,13,-1,D,2,101416,2000,103421,103627,103628,820,<down>,<down>,1,1
110-3-4,T,14,-1,D,1,104460,1500,105967,106173,106174,672,<down>,<down>,1,1
110-3-4,T,15,-1,L,1,106861,2750,109616,109822,109822,531,<left>,<left>,1,1
110-3-4,T,16,-1,U,2,110370,2500,112876,113082,113083,603,<up>,<up>,1,1
110-3-4,T,17,1,R,1,113701,2750,116457,116663,116664,621,<right>,<right>,1,1
110-3-4,T,18,-1,L,1,117297,1500,118803,119010,119010,561,<left>,<left>,1,1
110-3-4,T,19,-1,L,1,119584,3250,122839,123045,123046,487,<left>,<left>,1,1
110-3-4,T,20,1,L,1,123552,3500,127058,127264,127264,536,<left>,<left>,1,1
110-3-4,T,21,-1,D,1,127814,2500,130320,130526,130526,679,<down>,<down>,1,1
110-3-4,T,22,1,D,2,131222,3000,134228,134434,134435,782,<down>,<down>,1,1
110-3-4,T,23,-1,L,1,135233,1500,136739,136945,136946,593,<left>,<left>,1,1
110-3-4,T,24,-1,U,1,137555,2500,140060,140267,140267,649,<up>,<up>,1,1
110-3-4,T,25,-1,R,2,140934,3250,144189,144395,144396,656,<right>,<right>,1,1
