subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
108-1-1,4,1,PRACTICE,-25,1,2,0,1,72972,NA,0,0,NA,0,0,1
108-1-1,4,1,PRACTICE,-24,1,4,0,0,79494,2,2876,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-23,1,1,1,1,83268,1,691,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-22,1,3,1,0,84799,1,909,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-21,1,2,0,1,86975,2,821,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-20,1,4,0,0,88835,2,1251,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-19,1,1,1,1,90993,1,431,1,NA,0,0,0
108-1-1,4,1,PRACTICE,-18,1,3,1,0,92427,1,837,1,NA,0,0,0
108-1-1,4,1,TEST,1,1,1,1,1,94338,1,732,1,NA,0,0,0
108-1-1,4,1,TEST,2,1,3,1,0,96188,1,570,1,NA,0,0,0
108-1-1,4,1,TEST,3,1,2,0,1,97813,1,738,0,NA,0,0,0
108-1-1,4,1,TEST,4,1,4,0,0,99959,1,1034,0,NA,0,0,0
108-1-1,4,1,TEST,5,1,1,1,1,102484,1,641,1,NA,0,0,0
108-1-1,4,1,TEST,6,1,2,0,1,104216,1,1054,0,NA,0,0,0
108-1-1,4,1,TEST,7,1,4,0,0,106975,2,786,1,NA,0,0,0
108-1-1,4,1,TEST,8,1,3,1,0,108767,2,711,0,NA,0,0,0
108-1-1,4,1,TEST,9,1,4,0,0,111155,2,784,1,NA,0,0,0
108-1-1,4,1,TEST,10,1,1,1,1,113067,1,517,1,NA,0,0,0
108-1-1,4,1,TEST,11,1,2,0,1,114785,2,1100,1,NA,0,0,0
108-1-1,4,1,TEST,12,1,3,1,0,116980,1,779,1,NA,0,0,0
108-1-1,4,1,TEST,13,1,4,0,0,118880,2,657,1,NA,0,0,0
108-1-1,4,1,TEST,14,1,2,0,1,120445,1,740,0,NA,0,0,0
108-1-1,4,1,TEST,15,1,1,1,1,122957,1,630,1,NA,0,0,0
108-1-1,4,1,TEST,16,1,3,1,0,124888,2,1174,0,NA,0,0,0
108-1-1,4,1,TEST,17,1,1,1,1,127760,1,511,1,NA,0,0,0
108-1-1,4,1,TEST,18,1,4,0,0,129541,2,522,1,NA,0,0,0
108-1-1,4,1,TEST,19,1,2,0,1,131362,2,532,1,NA,0,0,0
108-1-1,4,1,TEST,20,1,3,1,0,133038,2,847,0,NA,0,0,0
108-1-1,4,1,TEST,21,1,2,0,1,135473,2,576,1,NA,0,0,0
108-1-1,4,1,TEST,22,1,1,1,1,137350,1,582,1,NA,0,0,0
108-1-1,4,1,TEST,23,1,3,1,0,138904,2,583,0,NA,0,0,0
108-1-1,4,1,TEST,24,1,4,0,0,140896,1,711,0,NA,0,0,0
108-1-1,4,1,TEST,25,1,3,1,0,143239,2,838,0,NA,0,0,0
108-1-1,4,2,PRACTICE,-25,2,2,0,1,182511,NA,0,0,9,731,1,0
108-1-1,4,2,PRACTICE,-24,2,4,0,0,184104,NA,0,0,0,497,1,0
108-1-1,4,2,PRACTICE,-23,2,3,1,0,185598,NA,0,0,0,559,1,0
108-1-1,4,2,PRACTICE,-22,2,1,1,1,187204,NA,0,0,9,746,1,0
108-1-1,4,2,PRACTICE,-21,2,4,0,0,188995,NA,0,0,0,653,1,0
108-1-1,4,2,PRACTICE,-20,2,3,1,0,190484,NA,0,0,9,571,0,0
108-1-1,4,2,PRACTICE,-19,2,2,0,1,192700,NA,0,0,0,708,0,0
108-1-1,4,2,PRACTICE,-18,2,1,1,1,195175,NA,0,0,9,655,1,0
108-1-1,4,2,TEST,1,2,3,1,0,197072,NA,0,0,0,515,1,0
108-1-1,4,2,TEST,2,2,1,1,1,198774,NA,0,0,9,474,1,0
108-1-1,4,2,TEST,3,2,2,0,1,200575,NA,0,0,9,541,1,0
108-1-1,4,2,TEST,4,2,4,0,0,202085,NA,0,0,0,525,1,0
108-1-1,4,2,TEST,5,2,2,0,1,203787,NA,0,0,9,450,1,0
108-1-1,4,2,TEST,6,2,1,1,1,205080,NA,0,0,9,525,1,0
108-1-1,4,2,TEST,7,2,3,1,0,206680,NA,0,0,0,444,1,0
108-1-1,4,2,TEST,8,2,4,0,0,208361,NA,0,0,0,650,1,0
108-1-1,4,2,TEST,9,2,2,0,1,209865,NA,0,0,9,521,1,0
108-1-1,4,2,TEST,10,2,3,1,0,211311,NA,0,0,0,474,1,0
108-1-1,4,2,TEST,11,2,1,1,1,212730,NA,0,0,9,498,1,0
108-1-1,4,2,TEST,12,2,4,0,0,214184,NA,0,0,0,481,1,0
108-1-1,4,2,TEST,13,2,3,1,0,215767,NA,0,0,0,594,1,0
108-1-1,4,2,TEST,14,2,1,1,1,217461,NA,0,0,9,562,1,0
108-1-1,4,2,TEST,15,2,2,0,1,219184,NA,0,0,9,761,1,0
108-1-1,4,2,TEST,16,2,4,0,0,220966,NA,0,0,0,541,1,0
108-1-1,4,2,TEST,17,2,2,0,1,222437,NA,0,0,9,486,1,0
108-1-1,4,2,TEST,18,2,4,0,0,224067,NA,0,0,0,371,1,0
108-1-1,4,2,TEST,19,2,3,1,0,225744,NA,0,0,0,704,1,0
108-1-1,4,2,TEST,20,2,1,1,1,227668,NA,0,0,9,456,1,0
108-1-1,4,2,TEST,21,2,3,1,0,229151,NA,0,0,0,433,1,0
108-1-1,4,2,TEST,22,2,4,0,0,230516,NA,0,0,0,438,1,0
108-1-1,4,2,TEST,23,2,2,0,1,232085,NA,0,0,9,536,1,0
108-1-1,4,2,TEST,24,2,1,1,1,233565,NA,0,0,9,679,1,0
108-1-1,4,2,TEST,25,2,4,0,0,235364,NA,0,0,0,423,1,0
