subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
205-2-3,4,1,PRACTICE,-25,1,2,0,1,6965,2,757,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-24,1,3,1,0,8869,1,458,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-23,1,4,0,0,10417,2,384,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-22,1,1,1,1,12063,1,420,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-21,1,2,0,1,13366,2,472,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-20,1,4,0,0,14685,2,462,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-19,1,3,1,0,16074,1,426,1,NA,0,0,0
205-2-3,4,1,PRACTICE,-18,1,1,1,1,17659,1,386,1,NA,0,0,0
205-2-3,4,1,TEST,1,1,1,1,1,19133,1,387,1,NA,0,0,0
205-2-3,4,1,TEST,2,1,3,1,0,20621,1,412,1,NA,0,0,0
205-2-3,4,1,TEST,3,1,2,0,1,22013,2,427,1,NA,0,0,0
205-2-3,4,1,TEST,4,1,4,0,0,23445,2,363,1,NA,0,0,0
205-2-3,4,1,TEST,5,1,2,0,1,24790,2,423,1,NA,0,0,0
205-2-3,4,1,TEST,6,1,3,1,0,26078,1,381,1,NA,0,0,0
205-2-3,4,1,TEST,7,1,1,1,1,27563,1,645,1,NA,0,0,0
205-2-3,4,1,TEST,8,1,4,0,0,29249,2,353,1,NA,0,0,0
205-2-3,4,1,TEST,9,1,3,1,0,30714,1,380,1,NA,0,0,0
205-2-3,4,1,TEST,10,1,1,1,1,32069,1,381,1,NA,0,0,0
205-2-3,4,1,TEST,11,1,2,0,1,33654,2,390,1,NA,0,0,0
205-2-3,4,1,TEST,12,1,4,0,0,35266,2,419,1,NA,0,0,0
205-2-3,4,1,TEST,13,1,2,0,1,37007,2,418,1,NA,0,0,0
205-2-3,4,1,TEST,14,1,4,0,0,38393,2,420,1,NA,0,0,0
205-2-3,4,1,TEST,15,1,3,1,0,39938,1,448,1,NA,0,0,0
205-2-3,4,1,TEST,16,1,1,1,1,41239,1,359,1,NA,0,0,0
205-2-3,4,1,TEST,17,1,4,0,0,42537,2,342,1,NA,0,0,0
205-2-3,4,1,TEST,18,1,1,1,1,43802,2,308,0,NA,0,0,0
205-2-3,4,1,TEST,19,1,2,0,1,45871,2,424,1,NA,0,0,0
205-2-3,4,1,TEST,20,1,3,1,0,47369,1,327,1,NA,0,0,0
205-2-3,4,1,TEST,21,1,1,1,1,48586,1,368,1,NA,0,0,0
205-2-3,4,1,TEST,22,1,4,0,0,49814,2,328,1,NA,0,0,0
205-2-3,4,1,TEST,23,1,2,0,1,51107,2,369,1,NA,0,0,0
205-2-3,4,1,TEST,24,1,3,1,0,52380,1,323,1,NA,0,0,0
205-2-3,4,1,TEST,25,1,2,0,1,53721,2,323,1,NA,0,0,0
205-2-3,4,2,PRACTICE,-25,2,2,0,1,58346,NA,0,0,9,1107,1,0
205-2-3,4,2,PRACTICE,-24,2,4,0,0,60333,NA,0,0,0,394,1,0
205-2-3,4,2,PRACTICE,-23,2,1,1,1,61595,NA,0,0,9,383,1,0
205-2-3,4,2,PRACTICE,-22,2,3,1,0,63252,NA,0,0,0,367,1,0
205-2-3,4,2,PRACTICE,-21,2,3,1,0,64909,NA,0,0,0,386,1,0
205-2-3,4,2,PRACTICE,-20,2,2,0,1,66554,NA,0,0,9,524,1,0
205-2-3,4,2,PRACTICE,-19,2,4,0,0,67957,NA,0,0,0,729,1,0
205-2-3,4,2,PRACTICE,-18,2,1,1,1,69661,NA,0,0,9,568,1,0
