subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
111-1-3,4,1,PRACTICE,-25,1,4,0,0,12621,2,440,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-24,1,3,1,0,13936,1,434,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-23,1,1,1,1,15506,1,380,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-22,1,2,0,1,17209,2,383,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-21,1,4,0,0,18666,2,366,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-20,1,3,1,0,20043,1,407,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-19,1,1,1,1,21463,1,420,1,NA,0,0,0
111-1-3,4,1,PRACTICE,-18,1,2,0,1,22998,2,335,1,NA,0,0,0
111-1-3,4,1,TEST,1,1,2,0,1,24495,2,352,1,NA,0,0,0
111-1-3,4,1,TEST,2,1,3,1,0,26121,1,409,1,NA,0,0,0
111-1-3,4,1,TEST,3,1,1,1,1,27495,1,380,1,NA,0,0,0
111-1-3,4,1,TEST,4,1,4,0,0,29028,2,385,1,NA,0,0,0
111-1-3,4,1,TEST,5,1,2,0,1,30465,2,395,1,NA,0,0,0
111-1-3,4,1,TEST,6,1,3,1,0,31800,2,342,0,NA,0,0,0
111-1-3,4,1,TEST,7,1,1,1,1,33565,1,382,1,NA,0,0,0
111-1-3,4,1,TEST,8,1,4,0,0,35060,2,343,1,NA,0,0,0
111-1-3,4,1,TEST,9,1,3,1,0,36564,1,362,1,NA,0,0,0
111-1-3,4,1,TEST,10,1,1,1,1,38090,1,347,1,NA,0,0,0
111-1-3,4,1,TEST,11,1,2,0,1,39349,2,355,1,NA,0,0,0
111-1-3,4,1,TEST,12,1,4,0,0,40811,2,390,1,NA,0,0,0
111-1-3,4,1,TEST,13,1,3,1,0,42464,1,314,1,NA,0,0,0
111-1-3,4,1,TEST,14,1,1,1,1,43888,1,421,1,NA,0,0,0
111-1-3,4,1,TEST,15,1,2,0,1,45603,2,374,1,NA,0,0,0
111-1-3,4,1,TEST,16,1,4,0,0,46880,2,367,1,NA,0,0,0
111-1-3,4,1,TEST,17,1,3,1,0,48101,1,387,1,NA,0,0,0
111-1-3,4,1,TEST,18,1,4,0,0,49630,2,384,1,NA,0,0,0
111-1-3,4,1,TEST,19,1,1,1,1,51132,1,330,1,NA,0,0,0
111-1-3,4,1,TEST,20,1,2,0,1,52501,2,315,1,NA,0,0,0
111-1-3,4,1,TEST,21,1,3,1,0,53670,1,370,1,NA,0,0,0
111-1-3,4,1,TEST,22,1,4,0,0,55105,2,322,1,NA,0,0,0
111-1-3,4,1,TEST,23,1,1,1,1,56519,1,344,1,NA,0,0,0
111-1-3,4,1,TEST,24,1,2,0,1,57749,2,343,1,NA,0,0,0
111-1-3,4,1,TEST,25,1,1,1,1,59181,1,352,1,NA,0,0,0
111-1-3,4,2,PRACTICE,-25,2,2,0,1,69515,NA,0,0,9,444,1,0
111-1-3,4,2,PRACTICE,-24,2,3,1,0,71281,NA,0,0,0,405,1,0
111-1-3,4,2,PRACTICE,-23,2,4,0,0,72567,NA,0,0,0,406,1,0
111-1-3,4,2,PRACTICE,-22,2,1,1,1,73952,NA,0,0,9,374,1,0
111-1-3,4,2,PRACTICE,-21,2,1,1,1,75195,NA,0,0,9,384,1,0
