subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
111-1-1,P,0,1,R,2,56730,1500,58235,58742,58742,1219,<right>,<right>,1,1
111-1-1,P,0,-1,U,1,59976,2750,62732,63238,63239,2832,<up>,<up>,1,1
111-1-1,P,0,1,U,1,66085,2750,68841,69347,69348,803,<up>,<up>,1,1
111-1-1,P,0,-1,D,1,70170,2000,72176,72684,72685,1070,<down>,<down>,1,1
111-1-1,P,0,1,L,2,73770,2500,76275,76781,76781,8335,<left>,<right>,0,1
111-1-1,P,0,1,R,2,85130,3250,88386,88894,88895,1912,<right>,<left>,0,1
111-1-1,P,0,-1,D,1,90820,3250,94075,94581,94582,1323,<down>,<down>,1,1
111-1-1,P,0,-1,U,2,95920,3500,99425,99934,99934,1617,<up>,<down>,0,1
111-1-1,P,0,-1,L,2,126574,2000,128579,128785,128786,613,<left>,<left>,1,1
111-1-1,P,0,1,L,1,129418,1500,130923,131129,131130,529,<left>,<left>,1,1
111-1-1,P,0,-1,R,1,131671,2500,134177,134383,134384,625,<right>,<right>,1,1
111-1-1,P,0,-1,U,1,135022,3000,138028,138235,138235,545,<up>,<up>,1,1
111-1-1,P,0,-1,D,1,138794,3500,142299,142505,142506,513,<down>,<down>,1,1
111-1-1,P,0,1,D,2,143035,2750,145791,145998,145999,962,<down>,<down>,1,1
111-1-1,P,0,-1,D,1,146972,2000,148977,149185,149185,699,<down>,<down>,1,1
111-1-1,P,0,-1,D,1,149902,1500,151407,151613,151614,777,<down>,<down>,1,1
111-1-1,T,1,1,L,2,175858,2500,178364,178570,178570,731,<left>,<left>,1,1
111-1-1,T,2,-1,U,2,179317,2000,181323,181529,181530,869,<up>,<up>,1,1
111-1-1,T,3,1,L,2,182418,2000,184424,184632,184632,684,<left>,<left>,1,1
111-1-1,T,4,1,U,1,185329,3500,188834,189040,189041,588,<up>,<up>,1,1
111-1-1,T,5,-1,U,2,189643,3000,192649,192856,192856,703,<up>,<up>,1,1
111-1-1,T,6,1,D,2,193572,3000,196577,196783,196783,813,<down>,<down>,1,1
111-1-1,T,7,1,U,2,197610,2250,199866,200072,200073,833,<up>,<up>,1,1
111-1-1,T,8,-1,R,1,200918,3500,204424,204630,204631,657,<right>,<right>,1,1
111-1-1,T,9,-1,L,1,205306,3250,208562,208768,208769,735,<left>,<left>,1,1
111-1-1,T,10,-1,D,1,209517,2750,212272,212479,212479,794,<down>,<down>,1,1
111-1-1,T,11,-1,D,2,213288,1750,215043,215249,215250,781,<down>,<down>,1,1
111-1-1,T,12,1,D,2,216048,1500,217554,217760,217760,837,<down>,<down>,1,1
111-1-1,T,13,1,D,2,218614,2500,221120,221327,221327,731,<down>,<down>,1,1
111-1-1,T,14,1,U,2,222071,1500,223577,223785,223785,819,<up>,<up>,1,1
111-1-1,T,15,1,D,1,224618,3000,227624,227831,227832,2784,<down>,<down>,1,1
111-1-1,T,16,-1,D,1,230628,2250,232884,233091,233092,695,<down>,<down>,1,1
111-1-1,T,17,1,L,1,233800,2000,235806,236012,236012,612,<left>,<left>,1,1
111-1-1,T,18,-1,D,2,236639,3250,239895,240101,240101,819,<down>,<down>,1,1
111-1-1,T,19,-1,L,2,240933,1500,242438,242644,242645,654,<left>,<left>,1,1
111-1-1,T,20,-1,R,2,243316,2500,245822,246028,246029,695,<right>,<right>,1,1
111-1-1,T,21,1,U,1,246736,2000,248742,248948,248949,628,<up>,<up>,1,1
111-1-1,T,22,-1,U,1,249590,1500,251095,251302,251302,573,<up>,<up>,1,1
111-1-1,T,23,-1,U,2,251889,3250,255146,255352,255352,672,<up>,<up>,1,1
111-1-1,T,24,-1,U,2,256034,2250,258290,258496,258497,681,<up>,<up>,1,1
111-1-1,T,25,-1,R,1,259191,3250,262447,262653,262653,609,<right>,<right>,1,1
111-1-1,T,26,1,L,2,263276,2000,265281,265487,265487,732,<left>,<right>,0,1
111-1-1,T,27,1,D,1,266233,2750,268989,269195,269195,741,<down>,<down>,1,1
111-1-1,T,28,1,D,2,269949,2500,272456,272662,272662,1154,<down>,<down>,1,1
111-1-1,T,29,1,R,2,273830,2000,275836,276043,276044,693,<right>,<right>,1,1
111-1-1,T,30,1,D,2,276753,3000,279759,279966,279966,801,<down>,<down>,1,1
111-1-1,T,31,1,L,1,280782,3250,284038,284244,284245,702,<left>,<left>,1,1
111-1-1,T,32,1,U,2,284965,2250,287220,287428,287429,631,<up>,<up>,1,1
111-1-1,T,33,1,U,1,288077,2750,290833,291039,291040,575,<up>,<up>,1,1
111-1-1,T,34,1,L,2,291631,2000,293637,293843,293843,688,<left>,<right>,0,1
111-1-1,T,35,1,D,1,294550,3250,297806,298012,298013,953,<down>,<down>,1,1
111-1-1,T,36,1,D,2,298978,2000,300983,301189,301190,886,<down>,<down>,1,1
111-1-1,T,37,1,L,1,302094,3250,305350,305556,305556,807,<left>,<left>,1,1
