subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
101-3-1,P,0,-1,U,1,2671,3500,6176,6683,6684,408,<up>,<up>,1,1
101-3-1,P,0,1,L,2,7122,1750,8878,9384,9384,539,<left>,<left>,1,1
101-3-1,P,0,1,D,1,9939,2000,11945,12453,12454,497,<down>,<down>,1,1
101-3-1,P,0,1,L,2,12981,3500,16486,16994,16994,552,<left>,<left>,1,1
101-3-1,P,0,1,D,2,17562,2500,20068,20576,20576,483,<down>,<down>,1,1
101-3-1,P,0,-1,U,2,21081,2250,23336,23842,23842,563,<up>,<up>,1,1
101-3-1,P,0,1,U,2,24417,3500,27922,28430,28431,438,<up>,<up>,1,1
101-3-1,P,0,1,L,2,28898,3000,31903,32409,32409,423,<left>,<left>,1,1
101-3-1,P,0,1,L,2,35607,2000,37612,37818,37818,509,<left>,<left>,1,1
101-3-1,P,0,-1,L,2,38339,2500,40845,41051,41051,555,<left>,<left>,1,1
101-3-1,P,0,-1,U,2,41618,1750,43374,43582,43582,475,<up>,<up>,1,1
101-3-1,P,0,1,L,2,44067,3250,47322,47528,47528,586,<left>,<left>,1,1
101-3-1,P,0,1,U,2,48126,2250,50381,50589,50590,434,<up>,<up>,1,1
101-3-1,P,0,1,R,1,51039,2500,53544,53749,53750,522,<right>,<right>,1,1
101-3-1,P,0,-1,L,1,54284,1500,55789,55997,55998,489,<left>,<left>,1,1
101-3-1,P,0,1,L,2,56500,3500,60006,60212,60213,498,<left>,<left>,1,1
101-3-1,T,1,1,R,1,62155,1750,63911,64117,64117,553,<right>,<right>,1,1
101-3-1,T,2,1,U,2,64684,1750,66439,66645,66646,585,<up>,<up>,1,1
101-3-1,T,3,-1,U,2,67241,3250,70496,70702,70703,460,<up>,<up>,1,1
101-3-1,T,4,1,U,2,71173,3250,74428,74634,74635,449,<up>,<up>,1,1
101-3-1,T,5,-1,L,2,75097,3500,78602,78810,78810,516,<left>,<left>,1,1
101-3-1,T,6,1,D,1,79338,3000,82344,82552,82552,599,<down>,<down>,1,1
101-3-1,T,7,1,L,1,83163,2250,85418,85624,85624,546,<left>,<left>,1,1
101-3-1,T,8,-1,D,1,86182,2750,88938,89144,89144,565,<down>,<down>,1,1
101-3-1,T,9,-1,R,2,89719,2750,92474,92680,92680,582,<right>,<right>,1,1
101-3-1,T,10,1,D,2,93274,2500,95779,95985,95986,615,<down>,<down>,1,1
101-3-1,T,11,1,L,1,96611,3500,100117,100324,100325,608,<left>,<left>,1,1
101-3-1,T,12,1,L,1,100945,3250,104200,104406,104406,502,<left>,<left>,1,1
101-3-1,T,13,-1,R,2,104918,3000,107923,108129,108129,490,<right>,<right>,1,1
101-3-1,T,14,1,U,1,108629,2000,110634,110840,110841,603,<up>,<up>,1,1
101-3-1,T,15,1,D,1,111455,3250,114712,114918,114918,520,<down>,<down>,1,1
101-3-1,T,16,-1,U,1,115449,2500,117954,118160,118161,498,<up>,<up>,1,1
101-3-1,T,17,1,L,1,118669,2500,121174,121381,121381,547,<left>,<left>,1,1
101-3-1,T,18,-1,R,2,121940,3250,125195,125401,125401,588,<right>,<right>,1,1
101-3-1,T,19,-1,L,2,126001,3000,129006,129212,129212,444,<left>,<right>,0,1
101-3-1,T,20,1,L,2,129669,2250,131925,132132,132132,637,<left>,<left>,1,1
101-3-1,T,21,1,L,2,132781,2250,135036,135244,135244,557,<left>,<left>,1,1
101-3-1,T,22,1,U,2,135812,2500,138318,138524,138525,531,<up>,<up>,1,1
101-3-1,T,23,-1,L,2,139069,2000,141074,141280,141281,521,<left>,<left>,1,1
101-3-1,T,24,1,U,2,141815,1500,143321,143528,143529,503,<up>,<up>,1,1
101-3-1,T,25,1,R,2,144045,1750,145801,146007,146008,452,<right>,<left>,0,1
101-3-1,T,26,-1,U,2,146470,2000,148476,148682,148682,547,<up>,<up>,1,1
101-3-1,T,27,-1,U,2,149243,3250,152499,152707,152707,513,<up>,<up>,1,1
101-3-1,T,28,1,L,1,153230,1750,154985,155191,155192,461,<left>,<left>,1,1
101-3-1,T,29,1,D,2,155667,3500,159172,159378,159378,562,<down>,<down>,1,1
101-3-1,T,30,1,U,1,159951,2000,161957,162163,162164,435,<up>,<up>,1,1
101-3-1,T,31,1,R,1,162610,2750,165365,165571,165572,541,<right>,<right>,1,1
101-3-1,T,32,1,R,1,166125,2750,168880,169086,169087,468,<right>,<right>,1,1
101-3-1,T,33,-1,L,1,169569,2250,171825,172033,172033,577,<left>,<left>,1,1
101-3-1,T,34,-1,R,2,172621,3250,175876,176084,176085,588,<right>,<right>,1,1
101-3-1,T,35,-1,U,2,176683,3000,179688,179894,179895,487,<up>,<up>,1,1
101-3-1,T,36,1,L,1,180395,3500,183900,184106,184106,635,<left>,<left>,1,1
101-3-1,T,37,-1,L,2,184752,2750,187508,187716,187716,654,<left>,<left>,1,1
101-3-1,T,38,-1,D,1,188381,2500,190887,191093,191093,586,<down>,<down>,1,1
101-3-1,T,39,-1,R,1,191693,1500,193198,193404,193405,627,<right>,<right>,1,1
