subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
104-4-3,4,1,PRACTICE,-25,1,2,0,1,5386,2,446,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-24,1,1,1,1,7124,1,342,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-23,1,3,1,0,8378,1,477,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-22,1,4,0,0,10177,2,305,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-21,1,3,1,0,11678,1,450,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-20,1,1,1,1,13271,1,475,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-19,1,4,0,0,14892,2,337,1,NA,0,0,0
104-4-3,4,1,PRACTICE,-18,1,2,0,1,16520,2,376,1,NA,0,0,0
104-4-3,4,1,TEST,1,1,2,0,1,18063,2,397,1,NA,0,0,0
104-4-3,4,1,TEST,2,1,3,1,0,19442,1,477,1,NA,0,0,0
104-4-3,4,1,TEST,3,1,1,1,1,20761,1,403,1,NA,0,0,0
104-4-3,4,1,TEST,4,1,4,0,0,21997,2,349,1,NA,0,0,0
104-4-3,4,1,TEST,5,1,1,1,1,23282,1,382,1,NA,0,0,0
104-4-3,4,1,TEST,6,1,3,1,0,24850,1,372,1,NA,0,0,0
104-4-3,4,1,TEST,7,1,4,0,0,26331,2,363,1,NA,0,0,0
104-4-3,4,1,TEST,8,1,2,0,1,27777,2,316,1,NA,0,0,0
104-4-3,4,1,TEST,9,1,4,0,0,29059,2,293,1,NA,0,0,0
104-4-3,4,1,TEST,10,1,3,1,0,30431,1,408,1,NA,0,0,0
104-4-3,4,1,TEST,11,1,2,0,1,32046,2,390,1,NA,0,0,0
104-4-3,4,1,TEST,12,1,1,1,1,33300,1,434,1,NA,0,0,0
104-4-3,4,1,TEST,13,1,2,0,1,34959,2,380,1,NA,0,0,0
104-4-3,4,1,TEST,14,1,1,1,1,36393,1,440,1,NA,0,0,0
104-4-3,4,1,TEST,15,1,3,1,0,38022,1,456,1,NA,0,0,0
104-4-3,4,1,TEST,16,1,4,0,0,39496,2,397,1,NA,0,0,0
104-4-3,4,1,TEST,17,1,2,0,1,40746,2,448,1,NA,0,0,0
104-4-3,4,1,TEST,18,1,4,0,0,42244,2,385,1,NA,0,0,0
104-4-3,4,1,TEST,19,1,3,1,0,43713,1,534,1,NA,0,0,0
104-4-3,4,1,TEST,20,1,1,1,1,45537,1,377,1,NA,0,0,0
104-4-3,4,1,TEST,21,1,2,0,1,46939,2,404,1,NA,0,0,0
104-4-3,4,1,TEST,22,1,1,1,1,48455,1,414,1,NA,0,0,0
104-4-3,4,1,TEST,23,1,4,0,0,50050,2,340,1,NA,0,0,0
104-4-3,4,1,TEST,24,1,3,1,0,51533,1,488,1,NA,0,0,0
104-4-3,4,1,TEST,25,1,4,0,0,53026,2,353,1,NA,0,0,0
104-4-3,4,2,PRACTICE,-25,2,4,0,0,59923,NA,0,0,0,418,1,0
104-4-3,4,2,PRACTICE,-24,2,2,0,1,61410,NA,0,0,9,284,1,0
104-4-3,4,2,PRACTICE,-23,2,1,1,1,62850,NA,0,0,9,392,1,0
104-4-3,4,2,PRACTICE,-22,2,3,1,0,64566,NA,0,0,0,356,1,0
104-4-3,4,2,PRACTICE,-21,2,4,0,0,66024,NA,0,0,0,396,1,0
104-4-3,4,2,PRACTICE,-20,2,1,1,1,67388,NA,0,0,9,342,1,0
104-4-3,4,2,PRACTICE,-19,2,3,1,0,68672,NA,0,0,0,360,1,0
104-4-3,4,2,PRACTICE,-18,2,2,0,1,70076,NA,0,0,9,373,1,0
104-4-3,4,2,TEST,1,2,4,0,0,71610,NA,0,0,0,348,1,0
104-4-3,4,2,TEST,2,2,2,0,1,73266,NA,0,0,9,328,1,0
104-4-3,4,2,TEST,3,2,1,1,1,74884,NA,0,0,9,386,1,0
104-4-3,4,2,TEST,4,2,3,1,0,76345,NA,0,0,0,411,1,0
104-4-3,4,2,TEST,5,2,1,1,1,77616,NA,0,0,9,360,1,0
104-4-3,4,2,TEST,6,2,4,0,0,79282,NA,0,0,0,410,1,0
104-4-3,4,2,TEST,7,2,2,0,1,80887,NA,0,0,9,296,1,0
104-4-3,4,2,TEST,8,2,3,1,0,82423,NA,0,0,0,374,1,0
104-4-3,4,2,TEST,9,2,1,1,1,83916,NA,0,0,9,388,1,0
104-4-3,4,2,TEST,10,2,2,0,1,85519,NA,0,0,9,374,1,0
104-4-3,4,2,TEST,11,2,4,0,0,86882,NA,0,0,0,330,1,0
104-4-3,4,2,TEST,12,2,3,1,0,88159,NA,0,0,0,398,1,0
104-4-3,4,2,TEST,13,2,4,0,0,89654,NA,0,0,0,470,1,0
104-4-3,4,2,TEST,14,2,1,1,1,91343,NA,0,0,9,345,1,0
104-4-3,4,2,TEST,15,2,2,0,1,92681,NA,0,0,0,348,0,0
104-4-3,4,2,TEST,16,2,3,1,0,94521,NA,0,0,0,372,1,0
104-4-3,4,2,TEST,17,2,2,0,1,95954,NA,0,0,9,381,1,0
104-4-3,4,2,TEST,18,2,1,1,1,97605,NA,0,0,9,310,1,0
104-4-3,4,2,TEST,19,2,4,0,0,99156,NA,0,0,0,320,1,0
104-4-3,4,2,TEST,20,2,3,1,0,100710,NA,0,0,0,323,1,0
