subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
112-2-1,4,1,PRACTICE,-25,1,3,1,0,6371,1,380,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-24,1,4,0,0,7992,2,464,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-23,1,2,0,1,9305,2,356,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-22,1,1,1,1,10780,1,293,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-21,1,2,0,1,11924,2,364,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-20,1,1,1,1,13569,1,290,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-19,1,3,1,0,14876,1,304,1,NA,0,0,0
112-2-1,4,1,PRACTICE,-18,1,4,0,0,16408,2,289,1,NA,0,0,0
112-2-1,4,1,TEST,1,1,3,1,0,17872,1,309,1,NA,0,0,0
112-2-1,4,1,TEST,2,1,1,1,1,19063,1,371,1,NA,0,0,0
112-2-1,4,1,TEST,3,1,4,0,0,20441,2,315,1,NA,0,0,0
112-2-1,4,1,TEST,4,1,2,0,1,21723,2,325,1,NA,0,0,0
112-2-1,4,1,TEST,5,1,4,0,0,23113,2,349,1,NA,0,0,0
112-2-1,4,1,TEST,6,1,1,1,1,24554,1,278,1,NA,0,0,0
112-2-1,4,1,TEST,7,1,3,1,0,25906,1,322,1,NA,0,0,0
112-2-1,4,1,TEST,8,1,2,0,1,27304,2,274,1,NA,0,0,0
112-2-1,4,1,TEST,9,1,3,1,0,28701,1,274,1,NA,0,0,0
112-2-1,4,1,TEST,10,1,4,0,0,29906,2,321,1,NA,0,0,0
112-2-1,4,1,TEST,11,1,1,1,1,31257,1,256,1,NA,0,0,0
112-2-1,4,1,TEST,12,1,2,0,1,32790,2,423,1,NA,0,0,0
112-2-1,4,1,TEST,13,1,4,0,0,34545,2,422,1,NA,0,0,0
112-2-1,4,1,TEST,14,1,2,0,1,36216,2,430,1,NA,0,0,0
112-2-1,4,1,TEST,15,1,3,1,0,37792,1,308,1,NA,0,0,0
112-2-1,4,1,TEST,16,1,1,1,1,39127,1,336,1,NA,0,0,0
112-2-1,4,1,TEST,17,1,3,1,0,40312,1,332,1,NA,0,0,0
