subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
101-4-3,4,1,PRACTICE,-25,1,2,0,1,5130,2,410,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-24,1,4,0,0,6760,2,376,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-23,1,1,1,1,8032,1,325,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-22,1,3,1,0,9437,1,295,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-21,1,3,1,0,11031,1,349,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-20,1,2,0,1,12673,2,406,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-19,1,4,0,0,14357,2,323,1,NA,0,0,0
101-4-3,4,1,PRACTICE,-18,1,1,1,1,15601,1,363,1,NA,0,0,0
101-4-3,4,1,TEST,1,1,4,0,0,17281,2,334,1,NA,0,0,0
101-4-3,4,1,TEST,2,1,2,0,1,18725,2,400,1,NA,0,0,0
101-4-3,4,1,TEST,3,1,3,1,0,20315,1,312,1,NA,0,0,0
101-4-3,4,1,TEST,4,1,1,1,1,21726,1,370,1,NA,0,0,0
101-4-3,4,1,TEST,5,1,4,0,0,23226,2,332,1,NA,0,0,0
101-4-3,4,1,TEST,6,1,3,1,0,24445,1,316,1,NA,0,0,0
101-4-3,4,1,TEST,7,1,2,0,1,25701,2,298,1,NA,0,0,0
101-4-3,4,1,TEST,8,1,1,1,1,26981,1,462,1,NA,0,0,0
101-4-3,4,1,TEST,9,1,2,0,1,28451,2,387,1,NA,0,0,0
101-4-3,4,1,TEST,10,1,4,0,0,29818,2,284,1,NA,0,0,0
101-4-3,4,1,TEST,11,1,3,1,0,31239,1,309,1,NA,0,0,0
101-4-3,4,1,TEST,12,1,1,1,1,32515,1,381,1,NA,0,0,0
101-4-3,4,1,TEST,13,1,4,0,0,34185,2,356,1,NA,0,0,0
101-4-3,4,1,TEST,14,1,3,1,0,35444,1,342,1,NA,0,0,0
101-4-3,4,1,TEST,15,1,2,0,1,36703,2,556,1,NA,0,0,0
101-4-3,4,1,TEST,16,1,1,1,1,38121,1,252,1,NA,0,0,0
101-4-3,4,1,TEST,17,1,4,0,0,39593,2,186,1,NA,0,0,0
101-4-3,4,1,TEST,18,1,2,0,1,40620,2,347,1,NA,0,0,0
101-4-3,4,1,TEST,19,1,1,1,1,42197,2,242,0,NA,0,0,0
101-4-3,4,1,TEST,20,1,3,1,0,44021,1,441,1,NA,0,0,0
101-4-3,4,1,TEST,21,1,2,0,1,45454,2,397,1,NA,0,0,0
101-4-3,4,1,TEST,22,1,4,0,0,46956,2,372,1,NA,0,0,0
101-4-3,4,1,TEST,23,1,1,1,1,48583,1,322,1,NA,0,0,0
101-4-3,4,1,TEST,24,1,3,1,0,49865,2,402,0,NA,0,0,0
101-4-3,4,1,TEST,25,1,1,1,1,51971,1,333,1,NA,0,0,0
101-4-3,4,2,PRACTICE,-25,2,3,1,0,57413,NA,0,0,9,542,0,0
