subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
113-3-1,P,0,1,D,2,4895,2750,7649,8152,8152,535,<down>,<down>,1,1
113-3-1,P,0,1,L,2,8702,2750,11456,11961,11961,576,<left>,<left>,1,1
113-3-1,P,0,1,D,2,12551,2250,14805,15310,15310,427,<down>,<up>,0,1
113-3-1,P,0,-1,R,1,15746,1750,17499,18002,18002,530,<right>,<right>,1,1
113-3-1,P,0,-1,U,2,18547,2250,20800,21303,21303,553,<up>,<up>,1,1
113-3-1,P,0,1,U,2,21872,1750,23625,24129,24129,654,<up>,<up>,1,1
113-3-1,P,0,-1,U,2,24802,1500,26305,26809,26809,537,<up>,<up>,1,1
113-3-1,P,0,-1,D,1,27357,2000,29362,29865,29866,519,<down>,<down>,1,1
113-3-1,P,0,1,L,2,33683,1500,35187,35391,35392,546,<left>,<left>,1,1
113-3-1,P,0,-1,R,1,35951,1750,37705,37908,37908,468,<right>,<right>,1,1
113-3-1,P,0,1,L,1,38388,2500,40892,41095,41095,415,<left>,<left>,1,1
113-3-1,P,0,1,D,2,41522,2500,44026,44230,44230,571,<down>,<down>,1,1
113-3-1,P,0,1,R,2,44815,1750,46569,46773,46773,574,<right>,<right>,1,1
113-3-1,P,0,-1,D,1,47359,2250,49614,49819,49820,530,<down>,<down>,1,1
113-3-1,P,0,1,U,1,50362,2250,52618,52825,52825,467,<up>,<up>,1,1
113-3-1,P,0,1,L,1,53307,3500,56812,57018,57019,482,<left>,<left>,1,1
113-3-1,T,1,-1,U,2,58966,1500,60470,60676,60677,999,<up>,<up>,1,1
113-3-1,T,2,1,U,1,61691,2500,64195,64403,64403,444,<up>,<up>,1,1
113-3-1,T,3,-1,L,1,64860,3500,68365,68570,68570,506,<left>,<left>,1,1
113-3-1,T,4,-1,U,1,69089,1500,70593,70797,70798,509,<up>,<up>,1,1
113-3-1,T,5,1,R,1,71322,1750,73078,73285,73285,512,<right>,<right>,1,1
113-3-1,T,6,1,D,2,73811,1500,75317,75522,75523,630,<down>,<down>,1,1
113-3-1,T,7,-1,L,2,76164,2250,78419,78624,78625,578,<left>,<left>,1,1
113-3-1,T,8,-1,D,1,79215,3500,82720,82927,82928,462,<down>,<down>,1,1
113-3-1,T,9,1,D,2,83404,3000,86409,86616,86617,620,<down>,<down>,1,1
113-3-1,T,10,-1,D,2,87252,3000,90257,90463,90463,542,<down>,<down>,1,1
113-3-1,T,11,-1,U,2,91016,2500,93520,93725,93725,652,<up>,<up>,1,1
113-3-1,T,12,-1,U,1,94391,2750,97145,97352,97353,463,<up>,<up>,1,1
113-3-1,T,13,1,U,2,97835,2500,100341,100544,100544,577,<up>,<up>,1,1
113-3-1,T,14,1,L,2,101135,2250,103390,103595,103596,597,<left>,<left>,1,1
113-3-1,T,15,-1,D,1,104212,1750,105967,106174,106174,473,<down>,<down>,1,1
113-3-1,T,16,1,L,2,106659,2250,108915,109122,109123,575,<left>,<left>,1,1
113-3-1,T,17,1,D,1,109708,2000,111714,111920,111920,469,<down>,<down>,1,1
113-3-1,T,18,1,L,2,112403,3250,115658,115864,115864,578,<left>,<left>,1,1
113-3-1,T,19,1,L,1,116452,1500,117957,118162,118163,519,<left>,<left>,1,1
113-3-1,T,20,1,L,2,118694,2500,121199,121403,121403,591,<left>,<left>,1,1
113-3-1,T,21,-1,D,1,122009,3000,125015,125222,125222,516,<down>,<down>,1,1
113-3-1,T,22,-1,U,1,125750,3500,129254,129460,129461,503,<up>,<up>,1,1
113-3-1,T,23,1,R,1,129983,1750,131739,131945,131945,504,<right>,<right>,1,1
113-3-1,T,24,-1,D,1,132462,3250,135718,135924,135925,504,<down>,<down>,1,1
113-3-1,T,25,-1,R,1,136440,3500,139946,140152,140153,490,<right>,<right>,1,1
113-3-1,T,26,-1,D,1,140656,1750,142412,142619,142620,502,<down>,<down>,1,1
113-3-1,T,27,1,U,2,143135,2750,145891,146097,146098,544,<up>,<up>,1,1
113-3-1,T,28,1,U,1,146651,2250,148906,149111,149112,493,<up>,<up>,1,1
113-3-1,T,29,1,D,1,149622,3000,152627,152834,152834,527,<down>,<down>,1,1
113-3-1,T,30,1,R,1,153375,3500,156879,157084,157085,493,<right>,<right>,1,1
113-3-1,T,31,1,U,2,157591,3000,160595,160802,160803,598,<up>,<up>,1,1
113-3-1,T,32,1,R,2,161414,2500,163919,164124,164125,597,<right>,<right>,1,1
