subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
114-2-4,P,0,-1,D,2,4985,3500,8490,8995,8995,604,<down>,<down>,1,1
114-2-4,P,0,1,L,1,9616,1500,11121,11627,11627,1819,<left>,<left>,1,1
114-2-4,P,0,1,R,1,13459,1500,14964,15469,15470,490,<right>,<right>,1,1
114-2-4,P,0,-1,R,1,15982,3000,18987,19492,19493,543,<right>,<right>,1,1
114-2-4,P,0,-1,L,2,20064,2750,22820,23326,23326,717,<left>,<up>,0,0
114-2-4,P,0,-1,D,2,24061,2500,26566,27072,27073,1894,<down>,<down>,1,1
114-2-4,P,0,-1,D,1,28978,2000,30983,31488,31489,515,<down>,<down>,1,1
114-2-4,P,0,-1,U,1,32031,3500,35536,36041,36042,557,<up>,<up>,1,1
114-2-4,P,0,1,D,1,37962,1750,39717,39924,39924,736,<down>,<down>,1,1
114-2-4,P,0,1,U,2,40671,3500,44177,44383,44384,563,<up>,<up>,1,1
114-2-4,P,0,-1,U,2,44962,1500,46467,46674,46674,614,<up>,<up>,1,1
114-2-4,P,0,1,R,2,47299,3500,50804,51010,51010,525,<right>,<right>,1,1
114-2-4,P,0,1,L,2,51547,2250,53804,54013,54014,514,<left>,<right>,0,1
114-2-4,P,0,-1,L,2,54539,1750,56295,56500,56501,985,<left>,<left>,1,1
114-2-4,P,0,1,R,2,57495,2750,60251,60456,60457,441,<right>,<right>,1,1
114-2-4,P,0,-1,R,1,60915,3500,64421,64628,64628,750,<right>,<right>,1,1
114-2-4,T,1,-1,D,1,67026,2500,69531,69738,69739,553,<down>,<down>,1,1
114-2-4,T,2,-1,U,2,70304,1750,72059,72265,72265,667,<up>,<up>,1,1
114-2-4,T,3,-1,L,2,72947,1750,74702,74909,74910,913,<left>,<left>,1,1
114-2-4,T,4,1,R,2,75834,3250,79090,79297,79297,554,<right>,<right>,1,1
114-2-4,T,5,-1,L,2,79862,3000,82867,83073,83073,634,<left>,<left>,1,1
114-2-4,T,6,1,D,1,83721,2000,85727,85934,85934,518,<down>,<down>,1,1
114-2-4,T,7,-1,U,1,86462,2750,89217,89424,89425,467,<up>,<up>,1,1
114-2-4,T,8,-1,D,1,89904,2500,92409,92614,92615,465,<down>,<down>,1,1
114-2-4,T,9,-1,L,2,93096,3500,96602,96808,96808,592,<left>,<left>,1,1
114-2-4,T,10,-1,D,2,97413,3250,100668,100873,100874,546,<down>,<down>,1,1
114-2-4,T,11,1,D,2,101431,2750,104185,104393,104393,698,<down>,<down>,1,1
114-2-4,T,12,1,L,2,105105,2000,107110,107317,107317,610,<left>,<left>,1,1
114-2-4,T,13,-1,U,1,107937,3000,110942,111149,111149,488,<up>,<up>,1,1
114-2-4,T,14,1,L,2,111649,2750,114405,114612,114612,596,<left>,<left>,1,1
114-2-4,T,15,1,U,2,115222,3250,118477,118684,118684,525,<up>,<up>,1,1
114-2-4,T,16,-1,U,1,119234,1500,120740,120947,120947,598,<up>,<up>,1,1
114-2-4,T,17,1,R,2,121555,2250,123810,124015,124016,517,<right>,<right>,1,1
114-2-4,T,18,1,U,2,124549,3000,127554,127761,127761,520,<up>,<up>,1,1
114-2-4,T,19,-1,R,1,128297,3500,131803,132010,132010,633,<right>,<right>,1,1
114-2-4,T,20,-1,L,1,132665,3250,135920,136126,136126,557,<left>,<left>,1,1
114-2-4,T,21,1,R,1,136695,2500,139200,139405,139406,441,<right>,<right>,1,1
114-2-4,T,22,1,U,1,139876,2250,142131,142336,142336,524,<up>,<up>,1,1
114-2-4,T,23,1,D,1,142878,2000,144884,145091,145091,415,<down>,<up>,0,1
114-2-4,T,24,1,L,1,145520,3250,148777,148982,148983,557,<left>,<left>,1,1
