subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
108-3-2,4,1,PRACTICE,-25,1,2,0,1,6467,2,747,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-24,1,1,1,1,8445,1,464,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-23,1,3,1,0,10203,1,412,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-22,1,4,0,0,11661,2,434,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-21,1,1,1,1,13160,1,386,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-20,1,2,0,1,14725,2,561,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-19,1,3,1,0,16482,1,428,1,NA,0,0,0
108-3-2,4,1,PRACTICE,-18,1,4,0,0,18157,2,550,1,NA,0,0,0
108-3-2,4,1,TEST,1,1,2,0,1,19655,2,553,1,NA,0,0,0
108-3-2,4,1,TEST,2,1,1,1,1,21288,1,425,1,NA,0,0,0
108-3-2,4,1,TEST,3,1,3,1,0,22599,1,501,1,NA,0,0,0
108-3-2,4,1,TEST,4,1,4,0,0,24080,2,442,1,NA,0,0,0
108-3-2,4,1,TEST,5,1,1,1,1,25522,1,461,1,NA,0,0,0
108-3-2,4,1,TEST,6,1,2,0,1,27108,2,585,1,NA,0,0,0
108-3-2,4,1,TEST,7,1,4,0,0,28989,2,446,1,NA,0,0,0
108-3-2,4,1,TEST,8,1,3,1,0,30535,1,553,1,NA,0,0,0
108-3-2,4,1,TEST,9,1,1,1,1,32151,1,503,1,NA,0,0,0
108-3-2,4,1,TEST,10,1,4,0,0,33973,2,399,1,NA,0,0,0
108-3-2,4,1,TEST,11,1,2,0,1,35484,2,592,1,NA,0,0,0
108-3-2,4,1,TEST,12,1,3,1,0,37367,1,628,1,NA,0,0,0
108-3-2,4,1,TEST,13,1,4,0,0,38995,2,479,1,NA,0,0,0
108-3-2,4,1,TEST,14,1,2,0,1,40511,2,459,1,NA,0,0,0
108-3-2,4,1,TEST,15,1,1,1,1,42007,1,510,1,NA,0,0,0
108-3-2,4,1,TEST,16,1,3,1,0,43746,1,558,1,NA,0,0,0
108-3-2,4,1,TEST,17,1,1,1,1,45634,1,436,1,NA,0,0,0
108-3-2,4,1,TEST,18,1,2,0,1,47048,2,544,1,NA,0,0,0
108-3-2,4,1,TEST,19,1,3,1,0,48618,1,424,1,NA,0,0,0
108-3-2,4,1,TEST,20,1,4,0,0,50094,2,570,1,NA,0,0,0
108-3-2,4,1,TEST,21,1,1,1,1,51910,1,439,1,NA,0,0,0
108-3-2,4,1,TEST,22,1,2,0,1,53665,2,492,1,NA,0,0,0
108-3-2,4,1,TEST,23,1,3,1,0,55111,1,428,1,NA,0,0,0
108-3-2,4,1,TEST,24,1,4,0,0,56805,2,520,1,NA,0,0,0
108-3-2,4,1,TEST,25,1,2,0,1,58435,2,584,1,NA,0,0,0
108-3-2,4,2,PRACTICE,-25,2,2,0,1,64902,NA,0,0,9,604,1,0
108-3-2,4,2,PRACTICE,-24,2,3,1,0,66369,NA,0,0,0,548,1,0
108-3-2,4,2,PRACTICE,-23,2,1,1,1,67879,NA,0,0,9,567,1,0
108-3-2,4,2,PRACTICE,-22,2,4,0,0,69366,NA,0,0,0,540,1,0
108-3-2,4,2,PRACTICE,-21,2,3,1,0,71135,NA,0,0,0,516,1,0
108-3-2,4,2,PRACTICE,-20,2,1,1,1,72731,NA,0,0,9,483,1,0
108-3-2,4,2,PRACTICE,-19,2,2,0,1,74211,NA,0,0,9,475,1,0
108-3-2,4,2,PRACTICE,-18,2,4,0,0,75828,NA,0,0,0,457,1,0
108-3-2,4,2,TEST,1,2,4,0,0,77548,NA,0,0,0,438,1,0
108-3-2,4,2,TEST,2,2,1,1,1,79272,NA,0,0,9,432,1,0
108-3-2,4,2,TEST,3,2,2,0,1,80938,NA,0,0,9,451,1,0
108-3-2,4,2,TEST,4,2,3,1,0,82493,NA,0,0,0,409,1,0
108-3-2,4,2,TEST,5,2,4,0,0,84187,NA,0,0,0,428,1,0
108-3-2,4,2,TEST,6,2,2,0,1,85920,NA,0,0,9,618,1,0
108-3-2,4,2,TEST,7,2,1,1,1,87552,NA,0,0,9,526,1,0
108-3-2,4,2,TEST,8,2,3,1,0,89102,NA,0,0,0,499,1,0
108-3-2,4,2,TEST,9,2,2,0,1,90776,NA,0,0,9,476,1,0
108-3-2,4,2,TEST,10,2,4,0,0,92409,NA,0,0,0,461,1,0
108-3-2,4,2,TEST,11,2,3,1,0,93930,NA,0,0,0,484,1,0
108-3-2,4,2,TEST,12,2,1,1,1,95403,NA,0,0,9,477,1,0
108-3-2,4,2,TEST,13,2,2,0,1,96810,NA,0,0,9,505,1,0
108-3-2,4,2,TEST,14,2,4,0,0,98538,NA,0,0,0,433,1,0
108-3-2,4,2,TEST,15,2,3,1,0,99838,NA,0,0,0,517,1,0
108-3-2,4,2,TEST,16,2,1,1,1,101412,NA,0,0,9,494,1,0
108-3-2,4,2,TEST,17,2,4,0,0,103184,NA,0,0,0,369,1,0
108-3-2,4,2,TEST,18,2,3,1,0,104564,NA,0,0,0,492,1,0
108-3-2,4,2,TEST,19,2,2,0,1,106145,NA,0,0,9,439,1,0
108-3-2,4,2,TEST,20,2,1,1,1,107504,NA,0,0,9,485,1,0
