subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
201-2-4,P,0,1,D,1,4094,1500,5600,6106,6107,595,<down>,<down>,1,1
201-2-4,P,0,-1,R,1,6725,3500,10230,10736,10736,475,<right>,<right>,1,1
201-2-4,P,0,-1,L,2,11234,2250,13489,13995,13996,483,<left>,<right>,0,1
201-2-4,P,0,1,L,2,14502,2250,16758,17265,17265,569,<left>,<left>,1,1
201-2-4,P,0,-1,D,2,17852,2500,20357,20863,20864,549,<down>,<down>,1,1
201-2-4,P,0,1,R,1,21437,1750,23193,23698,23699,439,<right>,<right>,1,1
201-2-4,P,0,1,R,1,24164,2500,26670,27177,27177,414,<right>,<right>,1,1
201-2-4,P,0,1,D,1,27614,3500,31118,31625,31625,517,<down>,<down>,1,1
201-2-4,P,0,-1,D,1,36004,1750,37759,37966,37966,488,<down>,<down>,1,1
201-2-4,P,0,-1,L,2,38483,2750,41239,41446,41446,541,<left>,<left>,1,1
201-2-4,P,0,1,L,2,42001,2250,44256,44464,44464,576,<left>,<left>,1,1
201-2-4,P,0,1,U,2,45064,2750,47819,48026,48026,482,<up>,<up>,1,1
201-2-4,P,0,-1,U,2,48535,3000,51540,51746,51747,500,<up>,<down>,0,1
201-2-4,P,0,1,R,1,52266,2000,54272,54479,54479,531,<right>,<up>,0,0
201-2-4,P,0,1,R,1,55021,2000,57026,57233,57234,549,<right>,<right>,1,1
201-2-4,P,0,1,R,1,57797,2500,60302,60509,60510,354,<right>,<right>,1,1
201-2-4,T,1,-1,D,2,63983,1500,65487,65692,65693,693,<down>,<down>,1,1
201-2-4,T,2,-1,L,2,66399,3500,69903,70109,70109,679,<left>,<left>,1,1
201-2-4,T,3,1,R,2,70803,1500,72308,72513,72514,467,<right>,<right>,1,1
201-2-4,T,4,1,R,2,72998,1750,74754,74960,74960,381,<right>,<right>,1,1
201-2-4,T,5,1,R,2,75363,3500,78869,79076,79076,417,<right>,<right>,1,1
201-2-4,T,6,-1,L,1,79515,2000,81519,81726,81726,572,<left>,<left>,1,1
201-2-4,T,7,1,L,1,82314,1750,84068,84275,84275,328,<left>,<right>,0,1
201-2-4,T,8,1,R,2,84632,3250,87888,88094,88094,409,<right>,<right>,1,1
201-2-4,T,9,1,D,2,88531,3500,92036,92243,92243,370,<down>,<right>,0,0
201-2-4,T,10,1,R,1,92634,2250,94890,95096,95096,501,<right>,<right>,1,1
201-2-4,T,11,-1,R,2,95608,3250,98864,99070,99071,551,<right>,<left>,0,1
201-2-4,T,12,-1,L,2,99635,2750,102391,102596,102597,445,<left>,<right>,0,1
201-2-4,T,13,-1,D,1,103054,2500,105558,105763,105764,557,<down>,<down>,1,1
201-2-4,T,14,1,U,2,106340,2500,108845,109051,109051,680,<up>,<up>,1,1
201-2-4,T,15,1,U,1,109741,1500,111247,111454,111455,484,<up>,<up>,1,1
201-2-4,T,16,-1,D,2,111964,2000,113970,114175,114176,510,<down>,<up>,0,1
201-2-4,T,17,1,U,1,114702,2000,116706,116911,116912,505,<up>,<up>,1,1
201-2-4,T,18,1,R,1,117431,2750,120186,120391,120392,528,<right>,<right>,1,1
201-2-4,T,19,-1,D,2,120938,3500,124442,124648,124649,574,<down>,<down>,1,1
201-2-4,T,20,1,L,2,125237,2500,127743,127949,127949,459,<left>,<right>,0,1
201-2-4,T,21,-1,R,2,128420,3000,131425,131631,131631,486,<right>,<left>,0,1
201-2-4,T,22,1,R,2,132131,1750,133887,134092,134093,512,<right>,<right>,1,1
201-2-4,T,23,1,U,2,134626,1750,136381,136587,136587,640,<up>,<up>,1,1
201-2-4,T,24,-1,U,2,137241,1750,138996,139202,139203,661,<up>,<up>,1,1
201-2-4,T,25,-1,U,1,139876,2250,142132,142338,142339,614,<up>,<up>,1,1
201-2-4,T,26,1,D,1,142977,1750,144733,144940,144940,594,<down>,<down>,1,1
201-2-4,T,27,-1,R,2,145549,2500,148054,148260,148260,620,<right>,<right>,1,1
201-2-4,T,28,1,D,1,148894,2250,151149,151354,151355,597,<down>,<down>,1,1
201-2-4,T,29,-1,L,2,151968,1750,153724,153928,153928,622,<left>,<left>,1,1
201-2-4,T,30,1,L,1,154567,2000,156572,156777,156778,372,<left>,<right>,0,1
201-2-4,T,31,1,U,2,157165,2250,159420,159625,159626,543,<up>,<up>,1,1
201-2-4,T,32,-1,U,1,160182,1750,161938,162145,162145,517,<up>,<up>,1,1
201-2-4,T,33,-1,D,2,162680,1500,164185,164390,164390,626,<down>,<down>,1,1
201-2-4,T,34,1,R,1,165029,1500,166535,166742,166742,543,<right>,<right>,1,1
201-2-4,T,35,-1,L,2,167301,3250,170556,170763,170763,503,<left>,<left>,1,1
201-2-4,T,36,-1,U,1,171280,3000,174286,174491,174492,553,<up>,<up>,1,1
201-2-4,T,37,-1,L,2,175060,3000,178065,178270,178271,591,<left>,<left>,1,1
201-2-4,T,38,1,L,2,178887,1500,180391,180598,180598,567,<left>,<right>,0,1
201-2-4,T,39,1,D,1,181176,2250,183432,183639,183639,601,<down>,<down>,1,1
201-2-4,T,40,1,L,2,184254,3500,187759,187964,187965,565,<left>,<left>,1,1
201-2-4,T,41,-1,R,1,188548,3250,191803,192008,192009,611,<right>,<right>,1,1
201-2-4,T,42,1,U,2,192639,1750,194393,194599,194599,535,<up>,<up>,1,1
201-2-4,T,43,-1,R,2,195149,1750,196905,197112,197113,572,<right>,<right>,1,1
201-2-4,T,44,-1,D,1,197703,1500,199207,199412,199413,540,<down>,<down>,1,1
201-2-4,T,45,-1,D,2,199982,1500,201487,201694,201694,762,<down>,<down>,1,1
201-2-4,T,46,-1,U,2,202468,2500,204973,205181,205181,624,<up>,<up>,1,1
201-2-4,T,47,-1,U,1,205821,3000,208826,209031,209032,668,<up>,<up>,1,1
201-2-4,T,48,1,L,1,209709,2750,212464,212671,212671,558,<left>,<left>,1,1
201-2-4,T,49,1,D,2,213240,3500,216745,216950,216951,690,<down>,<down>,1,1
201-2-4,T,50,1,D,2,217654,3250,220909,221115,221116,764,<down>,<down>,1,1
