subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
101-2-1,P,0,1,R,2,4548,2250,6805,7311,7312,513,<right>,<right>,1,1
101-2-1,P,0,-1,L,2,7846,3500,11352,11860,11860,440,<left>,<left>,1,1
101-2-1,P,0,-1,U,2,12325,1500,13830,14337,14337,520,<up>,<up>,1,1
101-2-1,P,0,-1,R,1,14886,2750,17642,18151,18151,560,<right>,<right>,1,1
101-2-1,P,0,1,L,2,18733,2750,21488,21997,21997,497,<left>,<left>,1,1
101-2-1,P,0,1,L,1,22518,2750,25274,25781,25782,552,<left>,<left>,1,1
101-2-1,P,0,1,R,2,26354,1750,28110,28617,28617,537,<right>,<right>,1,1
101-2-1,P,0,1,L,1,29174,2000,31179,31685,31686,587,<left>,<left>,1,1
101-2-1,P,0,1,L,1,35317,3250,38572,38779,38779,520,<left>,<left>,1,1
101-2-1,P,0,1,R,1,39318,1750,41074,41280,41281,492,<right>,<right>,1,1
101-2-1,P,0,-1,R,1,41785,1500,43291,43499,43499,484,<right>,<left>,0,1
101-2-1,P,0,-1,R,1,43993,2750,46748,46954,46954,580,<right>,<right>,1,1
101-2-1,P,0,1,U,1,47548,3000,50554,50761,50762,460,<up>,<up>,1,1
101-2-1,P,0,1,R,1,51235,3250,54491,54698,54699,911,<right>,<right>,1,1
101-2-1,P,0,1,R,1,55623,3250,58878,59084,59084,433,<right>,<right>,1,1
101-2-1,P,0,-1,U,1,59534,2750,62289,62495,62496,450,<up>,<up>,1,1
101-2-1,T,1,-1,D,1,65611,3000,68618,68824,68825,575,<down>,<down>,1,1
101-2-1,T,2,1,L,1,69412,1500,70917,71123,71124,521,<left>,<left>,1,1
101-2-1,T,3,-1,R,2,71659,2000,73664,73871,73871,487,<right>,<right>,1,1
101-2-1,T,4,1,D,1,74371,1750,76126,76335,76335,546,<down>,<down>,1,1
101-2-1,T,5,1,U,2,76897,2750,79652,79858,79859,509,<up>,<up>,1,1
101-2-1,T,6,1,D,2,80380,1500,81887,82094,82094,557,<down>,<down>,1,1
101-2-1,T,7,1,D,2,82663,1500,84170,84376,84377,555,<down>,<down>,1,1
101-2-1,T,8,-1,D,2,84947,3250,88203,88409,88410,454,<down>,<up>,0,1
101-2-1,T,9,1,R,1,88876,3500,92381,92587,92588,529,<right>,<right>,1,1
101-2-1,T,10,-1,R,2,93133,2250,95389,95596,95596,584,<right>,<right>,1,1
101-2-1,T,11,-1,D,1,96194,2000,98200,98407,98407,621,<down>,<down>,1,1
101-2-1,T,12,-1,U,1,99041,2250,101296,101503,101503,582,<up>,<up>,1,1
101-2-1,T,13,1,U,1,102096,1750,103852,104061,104061,596,<up>,<up>,1,1
101-2-1,T,14,-1,L,2,104671,3250,107927,108135,108135,668,<left>,<left>,1,1
101-2-1,T,15,1,U,2,108816,3250,112072,112280,112281,537,<up>,<up>,1,1
101-2-1,T,16,-1,D,2,112830,2750,115585,115791,115792,626,<down>,<down>,1,1
101-2-1,T,17,1,D,2,116434,2500,118939,119145,119146,574,<down>,<down>,1,1
101-2-1,T,18,-1,D,2,119733,3250,122990,123198,123198,639,<down>,<down>,1,1
101-2-1,T,19,1,U,2,123853,3250,127108,127317,127317,515,<up>,<up>,1,1
101-2-1,T,20,1,D,1,127847,2500,130353,130559,130560,536,<down>,<down>,1,1
101-2-1,T,21,-1,D,2,131110,3000,134115,134323,134323,569,<down>,<down>,1,1
101-2-1,T,22,-1,R,1,134906,3500,138411,138617,138617,533,<right>,<right>,1,1
101-2-1,T,23,-1,R,2,139162,3250,142418,142624,142625,506,<right>,<right>,1,1
101-2-1,T,24,1,U,1,143146,3250,146401,146607,146607,564,<up>,<up>,1,1
101-2-1,T,25,1,D,2,147186,3500,150692,150899,150899,584,<down>,<down>,1,1
101-2-1,T,26,-1,R,2,151499,3250,154755,154962,154963,460,<right>,<right>,1,1
101-2-1,T,27,1,D,2,155435,2250,157690,157897,157897,565,<down>,<down>,1,1
101-2-1,T,28,1,D,1,158474,3500,161980,162186,162187,502,<down>,<down>,1,1
101-2-1,T,29,1,D,2,162704,1500,164210,164418,164418,705,<down>,<down>,1,1
101-2-1,T,30,1,D,1,165137,3000,168142,168346,168347,478,<down>,<down>,1,1
101-2-1,T,31,1,R,2,168840,3500,172346,172554,172554,510,<right>,<right>,1,1
101-2-1,T,32,1,L,2,173079,3500,176584,176792,176793,515,<left>,<right>,0,1
101-2-1,T,33,-1,D,1,177319,2000,179325,179531,179532,508,<down>,<down>,1,1
101-2-1,T,34,-1,R,2,180052,1500,181557,181763,181764,597,<right>,<right>,1,1
101-2-1,T,35,1,D,2,182375,2250,184630,184836,184837,531,<down>,<down>,1,1
101-2-1,T,36,1,U,2,185381,2750,188136,188342,188342,588,<up>,<up>,1,1
101-2-1,T,37,1,U,2,188944,1750,190700,190907,190908,522,<up>,<up>,1,1
101-2-1,T,38,1,D,2,191442,3000,194449,194655,194656,568,<down>,<down>,1,1
101-2-1,T,39,-1,U,2,195237,3000,198243,198449,198450,631,<up>,<up>,1,1
101-2-1,T,40,1,D,1,199093,2750,201849,202055,202056,671,<down>,<down>,1,1
101-2-1,T,41,1,D,1,202740,3500,206247,206453,206453,443,<down>,<down>,1,1
101-2-1,T,42,-1,U,1,206914,2500,209419,209625,209625,646,<up>,<up>,1,1
101-2-1,T,43,-1,U,2,210285,1500,211790,211997,211997,561,<up>,<up>,1,1
101-2-1,T,44,-1,L,2,212569,2500,215075,215282,215282,658,<left>,<left>,1,1
101-2-1,T,45,1,L,1,215954,3000,218959,219167,219168,566,<left>,<left>,1,1
101-2-1,T,46,1,L,2,219745,1750,221501,221708,221708,613,<left>,<left>,1,1
101-2-1,T,47,-1,U,1,222336,3000,225342,225548,225548,497,<up>,<up>,1,1
101-2-1,T,48,-1,R,2,226061,2250,228317,228523,228523,568,<right>,<right>,1,1
101-2-1,T,49,-1,R,1,229109,2500,231616,231824,231825,438,<right>,<right>,1,1
101-2-1,T,50,1,D,1,232278,1500,233784,233991,233991,538,<down>,<down>,1,1
