subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
109-2-3,4,1,PRACTICE,-25,1,2,0,1,9512,2,695,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-24,1,1,1,1,11364,1,436,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-23,1,4,0,0,13103,2,390,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-22,1,3,1,0,14455,1,476,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-21,1,4,0,0,16067,2,372,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-20,1,1,1,1,17470,1,404,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-19,1,2,0,1,19081,2,293,1,NA,0,0,0
109-2-3,4,1,PRACTICE,-18,1,3,1,0,20420,1,374,1,NA,0,0,0
109-2-3,4,1,TEST,1,1,4,0,0,21648,2,442,1,NA,0,0,0
109-2-3,4,1,TEST,2,1,1,1,1,23054,1,378,1,NA,0,0,0
109-2-3,4,1,TEST,3,1,3,1,0,24764,2,294,0,NA,0,0,0
109-2-3,4,1,TEST,4,1,2,0,1,26596,2,394,1,NA,0,0,0
109-2-3,4,1,TEST,5,1,4,0,0,28023,2,380,1,NA,0,0,0
109-2-3,4,1,TEST,6,1,1,1,1,29647,1,373,1,NA,0,0,0
109-2-3,4,1,TEST,7,1,3,1,0,31205,1,350,1,NA,0,0,0
109-2-3,4,1,TEST,8,1,2,0,1,32488,2,397,1,NA,0,0,0
109-2-3,4,1,TEST,9,1,1,1,1,33781,1,416,1,NA,0,0,0
109-2-3,4,1,TEST,10,1,4,0,0,35088,2,440,1,NA,0,0,0
109-2-3,4,1,TEST,11,1,3,1,0,36506,1,376,1,NA,0,0,0
109-2-3,4,1,TEST,12,1,2,0,1,37990,2,395,1,NA,0,0,0
109-2-3,4,1,TEST,13,1,3,1,0,39372,1,434,1,NA,0,0,0
109-2-3,4,1,TEST,14,1,4,0,0,40763,2,382,1,NA,0,0,0
109-2-3,4,1,TEST,15,1,1,1,1,42320,1,286,1,NA,0,0,0
109-2-3,4,1,TEST,16,1,2,0,1,43631,2,427,1,NA,0,0,0
109-2-3,4,1,TEST,17,1,3,1,0,45213,1,396,1,NA,0,0,0
109-2-3,4,1,TEST,18,1,4,0,0,46569,2,632,1,NA,0,0,0
109-2-3,4,1,TEST,19,1,2,0,1,48522,2,453,1,NA,0,0,0
109-2-3,4,1,TEST,20,1,1,1,1,49933,1,430,1,NA,0,0,0
109-2-3,4,1,TEST,21,1,3,1,0,51282,1,489,1,NA,0,0,0
109-2-3,4,1,TEST,22,1,1,1,1,52854,1,374,1,NA,0,0,0
109-2-3,4,1,TEST,23,1,2,0,1,54227,2,474,1,NA,0,0,0
109-2-3,4,1,TEST,24,1,4,0,0,55875,2,358,1,NA,0,0,0
109-2-3,4,1,TEST,25,1,1,1,1,57239,1,388,1,NA,0,0,0
109-2-3,4,2,PRACTICE,-25,2,1,1,1,61428,NA,0,0,9,539,1,0
109-2-3,4,2,PRACTICE,-24,2,4,0,0,62972,NA,0,0,0,349,1,0
109-2-3,4,2,PRACTICE,-23,2,3,1,0,64388,NA,0,0,0,340,1,0
109-2-3,4,2,PRACTICE,-22,2,2,0,1,65924,NA,0,0,0,442,0,0
109-2-3,4,2,PRACTICE,-21,2,3,1,0,67889,NA,0,0,0,534,1,0
109-2-3,4,2,PRACTICE,-20,2,2,0,1,69584,NA,0,0,9,556,1,0
109-2-3,4,2,PRACTICE,-19,2,1,1,1,71100,NA,0,0,9,524,1,0
