subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
101-1-2,P,0,1,R,2,25568,3500,29073,29578,29579,564,<right>,<right>,1,1
101-1-2,P,0,1,D,1,30165,2750,32920,33427,33427,478,<down>,<down>,1,1
101-1-2,P,0,1,R,2,33928,1750,35682,36189,36190,609,<right>,<right>,1,1
101-1-2,P,0,1,D,1,36816,2000,38822,39329,39329,495,<down>,<down>,1,1
101-1-2,P,0,1,D,1,39848,2000,41852,42360,42360,484,<down>,<down>,1,1
101-1-2,P,0,1,D,1,42867,1750,44621,45129,45129,358,<down>,<down>,1,1
101-1-2,P,0,-1,R,1,45511,2500,48016,48521,48522,484,<right>,<right>,1,1
101-1-2,P,0,1,U,2,49030,3000,52035,52542,52542,674,<up>,<up>,1,1
101-1-2,P,0,1,R,2,57221,3250,60476,60683,60683,506,<right>,<right>,1,1
101-1-2,P,0,1,L,1,61209,3500,64714,64919,64919,549,<left>,<left>,1,1
101-1-2,P,0,1,D,2,65480,3000,68484,68689,68690,495,<down>,<down>,1,1
101-1-2,P,0,1,L,1,69201,1500,70707,70914,70914,444,<left>,<left>,1,1
101-1-2,P,0,-1,R,2,71369,2000,73375,73582,73582,491,<right>,<right>,1,1
101-1-2,P,0,1,D,2,74093,3500,77598,77805,77805,576,<down>,<down>,1,1
101-1-2,P,0,-1,D,2,78393,2250,80649,80856,80857,419,<down>,<down>,1,1
101-1-2,P,0,-1,R,1,81302,3250,84557,84762,84763,552,<right>,<right>,1,1
101-1-2,T,1,1,D,1,88022,2750,90778,90986,90986,459,<down>,<down>,1,1
101-1-2,T,2,-1,L,1,91458,3250,94714,94921,94922,430,<left>,<left>,1,1
101-1-2,T,3,-1,U,1,95361,3250,98615,98820,98821,548,<up>,<up>,1,1
101-1-2,T,4,-1,L,2,99385,3500,102890,103097,103097,689,<left>,<left>,1,1
101-1-2,T,5,-1,L,1,103802,2250,106056,106261,106262,457,<left>,<right>,0,1
101-1-2,T,6,-1,L,2,106740,1750,108494,108700,108700,591,<left>,<left>,1,1
101-1-2,T,7,1,R,2,109305,1750,111060,111267,111267,607,<right>,<right>,1,1
101-1-2,T,8,1,R,2,111888,2750,114643,114848,114849,657,<right>,<right>,1,1
101-1-2,T,9,1,R,2,115518,3000,118523,118730,118730,443,<right>,<right>,1,1
101-1-2,T,10,1,R,2,119193,1500,120697,120904,120905,506,<right>,<right>,1,1
101-1-2,T,11,1,R,1,121425,2250,123682,123888,123889,500,<right>,<right>,1,1
101-1-2,T,12,1,D,1,124402,3500,127906,128111,128112,697,<down>,<down>,1,1
101-1-2,T,13,-1,R,2,128821,1750,130575,130780,130781,488,<right>,<left>,0,1
101-1-2,T,14,1,D,2,131284,2000,133290,133497,133498,501,<down>,<down>,1,1
101-1-2,T,15,1,D,1,134017,2000,136023,136230,136230,1287,<down>,<down>,1,1
101-1-2,T,16,1,L,1,137529,1750,139285,139492,139492,485,<left>,<left>,1,1
101-1-2,T,17,1,R,2,139990,1750,141746,141953,141953,587,<right>,<right>,1,1
101-1-2,T,18,-1,R,1,142554,1500,144059,144266,144267,475,<right>,<left>,0,1
101-1-2,T,19,-1,R,1,144764,2500,147269,147475,147475,480,<right>,<left>,0,1
101-1-2,T,20,-1,L,2,147966,2250,150221,150426,150427,585,<left>,<left>,1,1
101-1-2,T,21,-1,R,1,151026,2750,153781,153986,153987,457,<right>,<left>,0,1
101-1-2,T,22,1,D,2,154462,3000,157468,157675,157676,671,<down>,<down>,1,1
101-1-2,T,23,-1,D,1,158364,2250,160619,160826,160827,471,<down>,<down>,1,1
101-1-2,T,24,1,R,2,161313,2750,164068,164275,164276,545,<right>,<right>,1,1
101-1-2,T,25,-1,R,1,164837,3500,168342,168548,168549,511,<right>,<right>,1,1
101-1-2,T,26,-1,L,2,169079,3500,172585,172792,172792,615,<left>,<left>,1,1
101-1-2,T,27,1,D,2,173420,1750,175176,175383,175383,489,<down>,<down>,1,1
101-1-2,T,28,1,L,1,175893,3500,179399,179605,179605,626,<left>,<left>,1,1
101-1-2,T,29,1,D,2,180245,1500,181749,181954,181955,506,<down>,<down>,1,1
101-1-2,T,30,1,D,1,182485,2500,184991,185198,185198,453,<down>,<down>,1,1
101-1-2,T,31,-1,L,2,185666,2750,188421,188627,188627,581,<left>,<left>,1,1
101-1-2,T,32,1,L,2,189228,2750,191982,192188,192189,619,<left>,<left>,1,1
101-1-2,T,33,1,D,2,192825,3000,195831,196038,196038,502,<down>,<down>,1,1
101-1-2,T,34,1,U,1,196557,1500,198063,198270,198270,613,<up>,<up>,1,1
101-1-2,T,35,1,L,2,198898,2000,200904,201110,201111,556,<left>,<left>,1,1
101-1-2,T,36,-1,U,2,201682,2500,204186,204391,204392,575,<up>,<up>,1,1
101-1-2,T,37,-1,U,2,204982,3500,208486,208692,208693,525,<up>,<up>,1,1
101-1-2,T,38,1,L,1,209239,3250,212494,212700,212700,575,<left>,<left>,1,1
101-1-2,T,39,-1,R,2,213289,1750,215045,215252,215252,485,<right>,<left>,0,1
101-1-2,T,40,1,R,2,215751,2500,218256,218463,218463,594,<right>,<right>,1,1
101-1-2,T,41,-1,U,1,219069,3500,222574,222781,222781,551,<up>,<up>,1,1
101-1-2,T,42,-1,L,1,223344,3500,226849,227055,227055,580,<left>,<left>,1,1
101-1-2,T,43,-1,L,2,227649,2750,230405,230612,230613,544,<left>,<left>,1,1
101-1-2,T,44,1,D,2,231169,3500,234673,234878,234879,844,<down>,<down>,1,1
101-1-2,T,45,1,U,2,235734,2000,237739,237944,237945,646,<up>,<up>,1,1
101-1-2,T,46,-1,D,2,238608,1500,240112,240318,240318,732,<down>,<down>,1,1
101-1-2,T,47,1,U,1,241060,2500,243566,243773,243774,591,<up>,<up>,1,1
101-1-2,T,48,-1,L,2,244379,3000,247384,247591,247591,531,<left>,<left>,1,1
101-1-2,T,49,1,D,2,248140,2750,250896,251103,251104,655,<down>,<down>,1,1
101-1-2,T,50,-1,R,2,251771,2250,254025,254230,254231,563,<right>,<right>,1,1
