subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
110-1-1,P,0,1,L,1,50721,2250,52976,53482,53482,1921,<left>,<left>,1,1
110-1-1,P,0,1,R,2,55414,1750,57170,57676,57676,982,<right>,<right>,1,1
110-1-1,P,0,1,U,1,58669,2500,61174,61680,61680,620,<up>,<up>,1,1
110-1-1,P,0,-1,L,2,62321,1750,64076,64582,64583,651,<left>,<left>,1,1
110-1-1,P,0,1,L,2,65247,2750,68003,68510,68510,574,<left>,<right>,0,1
110-1-1,P,0,1,L,1,69106,3250,72361,72867,72868,427,<left>,<left>,1,1
110-1-1,P,0,-1,U,1,73319,1500,74826,75334,75334,728,<up>,<up>,1,1
110-1-1,P,0,1,U,2,76079,2000,78084,78592,78593,609,<up>,<up>,1,1
110-1-1,P,0,1,R,1,91111,1750,92867,93073,93074,835,<right>,<right>,1,1
110-1-1,P,0,-1,D,1,93919,3500,97424,97630,97630,775,<down>,<down>,1,1
110-1-1,P,0,-1,U,2,98420,1500,99926,100132,100132,847,<up>,<up>,1,1
110-1-1,P,0,-1,R,2,100991,1750,102748,102955,102955,793,<right>,<right>,1,1
110-1-1,P,0,-1,R,2,103761,1750,105516,105723,105724,611,<right>,<right>,1,1
110-1-1,P,0,-1,R,1,106348,2500,108854,109061,109061,739,<right>,<right>,1,1
110-1-1,P,0,-1,D,1,109814,2250,112070,112276,112276,799,<down>,<down>,1,1
110-1-1,P,0,-1,U,1,113088,2000,115093,115299,115300,478,<up>,<up>,1,1
110-1-1,T,1,-1,R,1,121760,3250,125015,125221,125222,656,<right>,<right>,1,1
110-1-1,T,2,-1,D,2,125889,2250,128145,128351,128351,782,<down>,<down>,1,1
110-1-1,T,3,-1,D,2,129144,2500,131649,131856,131857,746,<down>,<down>,1,1
110-1-1,T,4,1,R,1,132616,3250,135873,136080,136080,787,<right>,<left>,0,1
110-1-1,T,5,-1,U,2,136880,3250,140135,140341,140342,672,<up>,<up>,1,1
110-1-1,T,6,-1,D,2,141029,2500,143536,143744,143744,665,<down>,<down>,1,1
110-1-1,T,7,-1,U,1,144422,1500,145928,146134,146135,571,<up>,<up>,1,1
110-1-1,T,8,1,R,2,146719,2750,149474,149680,149681,1688,<right>,<right>,1,1
110-1-1,T,9,-1,L,2,151383,2750,154138,154344,154345,1248,<left>,<left>,1,1
110-1-1,T,10,-1,D,2,155605,1500,157110,157316,157317,825,<down>,<down>,1,1
110-1-1,T,11,-1,L,1,158153,3500,161658,161864,161865,757,<left>,<left>,1,1
110-1-1,T,12,-1,L,1,162636,2000,164642,164848,164849,675,<left>,<left>,1,1
110-1-1,T,13,-1,R,2,165535,2250,167790,167996,167997,826,<right>,<right>,1,1
110-1-1,T,14,-1,L,2,168833,1750,170588,170795,170795,683,<left>,<left>,1,1
110-1-1,T,15,-1,R,1,171491,2750,174247,174453,174454,735,<right>,<right>,1,1
110-1-1,T,16,-1,R,2,175202,3250,178457,178665,178665,678,<right>,<right>,1,1
110-1-1,T,17,-1,L,2,179354,1750,181109,181318,181318,733,<left>,<left>,1,1
110-1-1,T,18,1,U,2,182065,2250,184321,184528,184528,1092,<up>,<down>,0,1
110-1-1,T,19,-1,R,1,185631,3000,188636,188842,188842,755,<right>,<right>,1,1
110-1-1,T,20,-1,U,1,189608,1500,191113,191322,191322,766,<up>,<up>,1,1
110-1-1,T,21,1,U,2,192103,3250,195359,195567,195567,734,<up>,<up>,1,1
110-1-1,T,22,-1,L,1,196315,1500,197821,198029,198029,685,<left>,<left>,1,1
110-1-1,T,23,1,L,2,198725,2250,200981,201188,201188,691,<left>,<left>,1,1
110-1-1,T,24,-1,D,2,201891,3500,205396,205604,205604,835,<down>,<down>,1,1
110-1-1,T,25,-1,D,2,206453,1500,207959,208165,208166,827,<down>,<down>,1,1
110-1-1,T,26,-1,U,1,209004,3000,212009,212216,212216,688,<up>,<up>,1,1
110-1-1,T,27,-1,D,1,212913,3000,215921,216127,216127,787,<down>,<down>,1,1
110-1-1,T,28,-1,U,2,216926,1500,218432,218639,218639,792,<up>,<up>,1,1
110-1-1,T,29,1,U,1,219442,2750,222197,222405,222405,781,<up>,<up>,1,1
110-1-1,T,30,-1,D,1,223199,1500,224705,224911,224912,784,<down>,<down>,1,1
110-1-1,T,31,1,L,2,225710,2500,228216,228422,228423,810,<left>,<left>,1,1
110-1-1,T,32,-1,D,1,229244,3500,232749,232955,232955,831,<down>,<down>,1,1
110-1-1,T,33,1,L,2,233797,2250,236053,236260,236260,742,<left>,<left>,1,1
110-1-1,T,34,-1,U,2,237012,3500,240518,240724,240724,758,<up>,<up>,1,1
110-1-1,T,35,-1,R,2,241496,2750,244253,244459,244460,757,<right>,<right>,1,1
110-1-1,T,36,-1,U,1,245228,2000,247234,247440,247441,601,<up>,<up>,1,1
110-1-1,T,37,1,R,1,248056,2500,250562,250768,250769,650,<right>,<right>,1,1
110-1-1,T,38,1,L,2,251432,2000,253437,253644,253644,1736,<left>,<left>,1,1
110-1-1,T,39,-1,R,1,255394,2750,258149,258355,258356,763,<right>,<right>,1,1
110-1-1,T,40,1,U,1,259129,2500,261634,261840,261840,674,<up>,<up>,1,1
110-1-1,T,41,1,U,1,262523,2000,264528,264735,264735,637,<up>,<up>,1,1
110-1-1,T,42,-1,L,2,265386,3500,268891,269097,269097,843,<left>,<left>,1,1
110-1-1,T,43,1,R,2,269949,3250,273204,273411,273411,701,<right>,<right>,1,1
110-1-1,T,44,1,R,2,274126,1750,275881,276089,276090,686,<right>,<right>,1,1
110-1-1,T,45,-1,D,2,276790,2250,279046,279253,279253,970,<down>,<down>,1,1
110-1-1,T,46,1,L,2,280236,2000,282242,282449,282449,867,<left>,<left>,1,1
110-1-1,T,47,-1,R,2,283329,2500,285835,286041,286041,703,<right>,<right>,1,1
110-1-1,T,48,-1,R,2,286757,2250,289013,289221,289221,690,<right>,<right>,1,1
110-1-1,T,49,-1,D,2,289922,2500,292429,292637,292637,853,<down>,<down>,1,1
110-1-1,T,50,1,D,2,293504,2000,295510,295716,295717,1446,<down>,<down>,1,1
