subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
109-3-3,P,0,-1,U,1,5337,2000,7343,7850,7851,475,<up>,<up>,1,1
109-3-3,P,0,1,U,1,8350,1500,9856,10362,10363,511,<up>,<up>,1,1
109-3-3,P,0,1,U,2,10898,2750,13653,14159,14159,576,<up>,<up>,1,1
109-3-3,P,0,1,D,1,14753,3000,17760,18267,18267,348,<down>,<up>,0,1
109-3-3,P,0,1,R,2,18639,2250,20895,21401,21401,543,<right>,<right>,1,1
109-3-3,P,0,1,L,2,21965,2500,24471,24977,24977,614,<left>,<left>,1,1
109-3-3,P,0,1,L,1,25608,1750,27364,27870,27871,563,<left>,<left>,1,1
109-3-3,P,0,-1,R,1,28454,3500,31961,32468,32468,423,<right>,<right>,1,1
109-3-3,P,0,1,R,2,34612,3000,37619,37826,37827,547,<right>,<right>,1,1
109-3-3,P,0,1,R,1,38387,2250,40643,40849,40850,412,<right>,<right>,1,1
109-3-3,P,0,-1,D,1,41281,3250,44536,44745,44745,340,<down>,<left>,0,0
109-3-3,P,0,-1,D,2,45103,3000,48108,48314,48315,596,<down>,<down>,1,1
109-3-3,P,0,-1,R,1,48930,3000,51936,52144,52145,431,<right>,<right>,1,1
109-3-3,P,0,1,U,2,52591,1500,54097,54303,54303,578,<up>,<up>,1,1
109-3-3,P,0,1,U,1,54895,1500,56402,56608,56608,514,<up>,<up>,1,1
109-3-3,P,0,1,U,1,57149,2750,59905,60111,60112,462,<up>,<up>,1,1
109-3-3,T,1,1,U,1,63821,3000,66827,67034,67034,417,<up>,<up>,1,1
109-3-3,T,2,1,U,2,67473,2750,70230,70438,70438,392,<up>,<up>,1,1
109-3-3,T,3,-1,L,2,70858,2500,73364,73571,73571,583,<left>,<left>,1,1
109-3-3,T,4,1,L,1,74168,2000,76173,76379,76379,527,<left>,<left>,1,1
109-3-3,T,5,1,U,1,76922,2500,79428,79636,79636,426,<up>,<up>,1,1
109-3-3,T,6,1,D,1,80077,2250,82332,82541,82541,518,<down>,<down>,1,1
109-3-3,T,7,1,U,1,83074,2750,85831,86037,86037,450,<up>,<up>,1,1
109-3-3,T,8,1,L,2,86504,2500,89010,89216,89217,664,<left>,<left>,1,1
109-3-3,T,9,-1,L,1,89899,2250,92156,92362,92363,414,<left>,<left>,1,1
109-3-3,T,10,1,U,1,92796,3500,96302,96510,96510,636,<up>,<up>,1,1
109-3-3,T,11,1,U,2,97160,3500,100666,100873,100874,528,<up>,<up>,1,1
109-3-3,T,12,1,D,1,101420,2750,104176,104384,104384,548,<down>,<down>,1,1
109-3-3,T,13,1,U,1,104949,3500,108457,108663,108664,443,<up>,<up>,1,1
109-3-3,T,14,-1,D,1,109128,3500,112634,112840,112840,535,<down>,<down>,1,1
109-3-3,T,15,1,D,2,113391,2750,116147,116353,116354,571,<down>,<down>,1,1
109-3-3,T,16,1,L,2,116939,2000,118944,119150,119151,702,<left>,<left>,1,1
109-3-3,T,17,-1,R,2,119866,1500,121372,121578,121578,621,<right>,<right>,1,1
109-3-3,T,18,1,L,1,122213,2750,124969,125177,125177,514,<left>,<left>,1,1
109-3-3,T,19,1,U,1,125706,3000,128711,128920,128920,508,<up>,<up>,1,1
109-3-3,T,20,-1,L,2,129442,3000,132448,132654,132654,564,<left>,<left>,1,1
109-3-3,T,21,1,R,2,133231,2750,135986,136194,136195,597,<right>,<right>,1,1
109-3-3,T,22,1,D,2,136804,2250,139060,139266,139266,961,<down>,<down>,1,1
109-3-3,T,23,-1,U,2,140241,2500,142746,142953,142954,541,<up>,<up>,1,1
109-3-3,T,24,-1,L,1,143512,2500,146017,146223,146224,472,<left>,<left>,1,1
109-3-3,T,25,-1,U,2,146708,2750,149464,149670,149671,582,<up>,<up>,1,1
109-3-3,T,26,1,L,2,150274,2000,152279,152485,152485,580,<left>,<left>,1,1
109-3-3,T,27,1,D,2,153080,3250,156336,156542,156543,679,<down>,<down>,1,1
109-3-3,T,28,1,D,2,157236,3000,160244,160452,160452,532,<down>,<down>,1,1
109-3-3,T,29,1,D,1,161000,2500,163505,163712,163712,530,<down>,<down>,1,1
109-3-3,T,30,-1,L,1,164253,2750,167008,167214,167215,410,<left>,<left>,1,1
109-3-3,T,31,-1,R,2,167641,2750,170395,170602,170602,637,<right>,<right>,1,1
109-3-3,T,32,1,L,1,171256,2250,173513,173720,173721,495,<left>,<left>,1,1
109-3-3,T,33,1,U,2,174234,3250,177490,177697,177697,653,<up>,<up>,1,1
109-3-3,T,34,-1,L,2,178364,2500,180870,181076,181077,544,<left>,<left>,1,1
109-3-3,T,35,-1,L,2,181639,2250,183895,184101,184102,520,<left>,<left>,1,1
109-3-3,T,36,1,L,2,184640,2000,186646,186852,186853,474,<left>,<left>,1,1
109-3-3,T,37,1,L,1,187341,3000,190346,190552,190553,502,<left>,<left>,1,1
109-3-3,T,38,-1,U,1,191068,1750,192824,193030,193031,509,<up>,<up>,1,1
109-3-3,T,39,1,R,2,193559,3500,197064,197271,197271,599,<right>,<right>,1,1
109-3-3,T,40,-1,L,2,197880,3500,201386,201593,201593,528,<left>,<left>,1,1
109-3-3,T,41,-1,L,1,202136,2000,204141,204348,204349,601,<left>,<left>,1,1
109-3-3,T,42,1,U,1,204968,3250,208223,208429,208430,501,<up>,<up>,1,1
109-3-3,T,43,-1,R,1,208949,2750,211704,211912,211912,494,<right>,<right>,1,1
109-3-3,T,44,-1,D,2,212424,3250,215681,215888,215889,705,<down>,<down>,1,1
109-3-3,T,45,-1,U,1,216618,2250,218874,219081,219081,499,<up>,<up>,1,1
109-3-3,T,46,1,U,2,219598,1500,221103,221309,221309,646,<up>,<up>,1,1
109-3-3,T,47,1,L,1,221966,2250,224221,224428,224428,475,<left>,<left>,1,1
109-3-3,T,48,1,U,1,224923,2000,226929,227136,227136,566,<up>,<up>,1,1
109-3-3,T,49,-1,U,1,227722,1750,229478,229685,229686,1114,<up>,<up>,1,1
109-3-3,T,50,1,D,1,230817,2000,232822,233028,233029,583,<down>,<down>,1,1
