subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
103-1-1,P,0,1,U,2,68768,2000,70774,71279,71280,2573,<up>,<up>,1,1
103-1-1,P,0,-1,R,1,73868,2500,76372,76877,76878,1803,<right>,<right>,1,1
103-1-1,P,0,-1,L,2,78695,3000,81699,82206,82206,1751,<left>,<left>,1,1
103-1-1,P,0,-1,U,2,83969,1750,85724,86230,86230,1123,<up>,<up>,1,1
103-1-1,P,0,1,R,1,87366,3000,90372,90878,90878,1266,<right>,<right>,1,1
103-1-1,P,0,-1,D,2,92159,3000,95163,95668,95668,1253,<down>,<down>,1,1
103-1-1,P,0,-1,U,1,96936,3250,100191,100697,100698,1214,<up>,<up>,1,1
103-1-1,P,0,1,D,1,101930,2750,104686,105193,105193,1074,<down>,<down>,1,1
103-1-1,P,0,-1,D,2,117264,1750,119019,119226,119227,813,<down>,<down>,1,1
103-1-1,P,0,-1,L,1,120050,2750,122805,123012,123012,645,<left>,<left>,1,1
103-1-1,P,0,-1,U,1,123673,2500,126178,126385,126385,673,<up>,<up>,1,1
103-1-1,P,0,1,R,2,127072,1500,128576,128781,128781,968,<right>,<right>,1,1
103-1-1,P,0,-1,L,2,129762,2250,132016,132221,132222,674,<left>,<left>,1,1
103-1-1,P,0,-1,L,2,132908,2000,134913,135120,135120,598,<left>,<left>,1,1
103-1-1,P,0,1,L,2,135730,1500,137235,137442,137443,751,<left>,<right>,0,1
103-1-1,P,0,1,L,2,138207,2250,140461,140669,140669,874,<left>,<right>,0,1
103-1-1,T,1,1,U,1,146436,2250,148691,148897,148897,631,<up>,<up>,1,1
103-1-1,T,2,-1,L,1,149543,1750,151298,151504,151504,555,<left>,<left>,1,1
103-1-1,T,3,1,R,2,152073,1750,153828,154033,154034,542,<right>,<right>,1,1
103-1-1,T,4,-1,R,2,154590,2750,157344,157551,157552,553,<right>,<left>,0,1
103-1-1,T,5,-1,U,1,158118,3250,161373,161579,161580,795,<up>,<up>,1,1
103-1-1,T,6,1,R,1,162385,2250,164639,164844,164845,568,<right>,<right>,1,1
103-1-1,T,7,-1,R,1,165424,2000,167429,167636,167636,690,<right>,<right>,1,1
103-1-1,T,8,1,L,1,168338,2750,171093,171299,171299,984,<left>,<left>,1,1
103-1-1,T,9,-1,U,1,172298,2750,175053,175259,175259,700,<up>,<up>,1,1
103-1-1,T,10,-1,D,1,175969,2000,177973,178178,178179,701,<down>,<down>,1,1
103-1-1,T,11,-1,L,1,178892,3500,182396,182603,182604,986,<left>,<left>,1,1
103-1-1,T,12,-1,D,1,183601,1750,185356,185563,185563,699,<down>,<down>,1,1
103-1-1,T,13,1,R,2,186273,1750,188029,188236,188236,697,<right>,<right>,1,1
103-1-1,T,14,-1,D,2,188949,3500,192455,192662,192662,1433,<down>,<down>,1,1
103-1-1,T,15,-1,L,1,194107,1750,195862,196069,196069,657,<left>,<left>,1,1
103-1-1,T,16,1,L,1,196739,2250,198995,199202,199203,854,<left>,<left>,1,1
103-1-1,T,17,1,U,1,200069,2500,202575,202782,202782,720,<up>,<up>,1,1
103-1-1,T,18,-1,L,1,203514,2000,205519,205726,205726,673,<left>,<left>,1,1
103-1-1,T,19,-1,L,1,206412,2500,208918,209125,209125,562,<left>,<left>,1,1
103-1-1,T,20,-1,L,1,209698,3250,212954,213160,213161,585,<left>,<left>,1,1
103-1-1,T,21,-1,L,2,213756,2250,216011,216218,216219,566,<left>,<left>,1,1
103-1-1,T,22,-1,U,1,216800,1750,218554,218760,218760,591,<up>,<up>,1,1
103-1-1,T,23,-1,L,1,219363,2000,221367,221575,221575,600,<left>,<left>,1,1
103-1-1,T,24,-1,R,1,222188,3000,225193,225399,225400,844,<right>,<right>,1,1
103-1-1,T,25,-1,U,1,226259,3250,229515,229722,229722,642,<up>,<up>,1,1
103-1-1,T,26,-1,D,2,230374,3500,233880,234087,234088,1921,<down>,<down>,1,1
103-1-1,T,27,1,R,2,236020,3250,239275,239480,239481,884,<right>,<right>,1,1
103-1-1,T,28,1,L,2,240384,1750,242139,242346,242347,846,<left>,<left>,1,1
103-1-1,T,29,-1,U,1,243205,2000,245210,245415,245416,653,<up>,<up>,1,1
103-1-1,T,30,-1,U,1,246083,3000,249088,249295,249295,569,<up>,<up>,1,1
103-1-1,T,31,-1,L,1,249877,3250,253131,253336,253337,635,<left>,<left>,1,1
103-1-1,T,32,1,R,1,253984,1750,255739,255946,255947,612,<right>,<right>,1,1
103-1-1,T,33,1,U,2,256573,1500,258077,258282,258283,655,<up>,<up>,1,1
103-1-1,T,34,-1,R,1,258955,2000,260961,261168,261168,936,<right>,<right>,1,1
103-1-1,T,35,-1,L,2,262115,3500,265620,265826,265826,717,<left>,<left>,1,1
103-1-1,T,36,1,L,1,266555,3000,269560,269765,269766,889,<left>,<left>,1,1
103-1-1,T,37,-1,R,1,270668,2750,273422,273628,273628,776,<right>,<right>,1,1
103-1-1,T,38,-1,R,1,274416,2500,276921,277128,277128,885,<right>,<right>,1,1
103-1-1,T,39,-1,L,2,278026,3500,281531,281738,281739,746,<left>,<left>,1,1
103-1-1,T,40,-1,D,1,282496,2000,284502,284709,284709,647,<down>,<down>,1,1
103-1-1,T,41,1,R,2,285370,2750,288125,288332,288332,916,<right>,<right>,1,1
103-1-1,T,42,1,D,1,289260,3000,292265,292472,292473,749,<down>,<down>,1,1
103-1-1,T,43,1,R,2,293233,2250,295488,295694,295695,738,<right>,<right>,1,1
103-1-1,T,44,1,R,1,296444,3500,299949,300155,300156,668,<right>,<right>,1,1
103-1-1,T,45,1,U,2,300835,3000,303841,304048,304048,715,<up>,<up>,1,1
103-1-1,T,46,-1,D,1,304775,2750,307531,307737,307737,656,<down>,<down>,1,1
103-1-1,T,47,1,U,2,308407,2500,310912,311119,311119,692,<up>,<up>,1,1
103-1-1,T,48,1,D,1,311822,2000,313826,314031,314032,752,<down>,<down>,1,1
103-1-1,T,49,-1,L,2,314799,1500,316305,316512,316512,821,<left>,<left>,1,1
103-1-1,T,50,1,R,2,317345,2500,319850,320057,320058,757,<right>,<right>,1,1
